인크로스(216050),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-10-31,27091,28011,18968,18968,1427065,139310.0,2939035.0
2016-11-01,18207,20328,16326,16707,1240311,122705.0,2939035.0
2016-11-02,16947,17067,13685,13886,485422,101985.0,2939035.0
2016-11-03,14246,15106,13845,14006,384383,102866.0,2939035.0
2016-11-04,13965,14266,13245,13846,194965,101691.0,2939035.0
2016-11-07,14065,14386,13825,13846,109579,101691.0,2939035.0
2016-11-08,14125,16607,14045,15286,660047,112271.0,2939035.0
2016-11-09,15446,15466,12465,13866,277322,101838.0,2939035.0
2016-11-10,14406,15146,14145,14926,114938,109626.0,2939035.0
2016-11-11,14646,14886,14246,14506,67789,106540.0,2939035.0
2016-11-14,14546,14926,14406,14866,36073,109185.0,2939035.0
2016-11-15,14866,14926,14586,14866,36334,109185.0,2939035.0
2016-11-16,15006,16326,14986,15507,138497,113888.0,2939035.0
2016-11-17,16046,16607,15606,15627,119094,114769.0,2939035.0
2016-11-18,15646,15886,14986,15487,53539,113741.0,2939035.0
2016-11-21,15346,16246,15126,16147,54146,118590.0,2939035.0
2016-11-22,16086,16546,15926,16327,49962,119913.0,2939035.0
2016-11-23,16306,16446,15766,15847,38422,116386.0,2939035.0
2016-11-24,16126,16126,15246,15366,30348,112859.0,2939035.0
2016-11-25,15206,15906,15206,15887,20464,116680.0,2939035.0
2016-11-28,15846,15886,15466,15527,12600,114035.0,2939035.0
2016-11-29,15686,15726,14906,15126,22948,111096.0,2939035.0
2016-11-30,14946,15146,14566,14746,29611,108303.0,2939035.0
2016-12-01,14646,15246,14606,15246,23040,111977.0,2939035.0
2016-12-02,15086,15306,14866,15006,14303,110214.0,2939035.0
2016-12-05,14526,15726,14526,15366,28371,112859.0,2939035.0
2016-12-06,15266,16006,15266,16007,29010,117561.0,2939035.0
2016-12-07,16206,16266,15646,15747,24740,115651.0,2939035.0
2016-12-08,15886,16166,15686,15967,21776,117267.0,2939035.0
2016-12-09,16126,16126,15706,15847,11401,116386.0,2939035.0
2016-12-12,15926,16126,15526,15727,16424,115504.0,2939035.0
2016-12-13,15626,15846,15486,15687,12051,115210.0,2939035.0
2016-12-14,15726,16587,15606,16547,48270,121529.0,2939035.0
2016-12-15,16286,16867,16286,16607,20326,121970.0,2939035.0
2016-12-16,16607,16967,16426,16567,17563,121676.0,2939035.0
2016-12-19,16807,17627,16747,17087,55520,125497.0,2939035.0
2016-12-20,17147,17567,16807,16807,22375,123439.0,2939035.0
2016-12-21,16647,17107,16466,16747,22243,122999.0,2939035.0
2016-12-22,17187,17187,16567,16567,13006,121676.0,2939035.0
2016-12-23,16567,16907,16386,16567,10972,121676.0,2939035.0
2016-12-26,16747,17287,16486,17207,19399,126379.0,2939035.0
2016-12-27,17407,17427,16867,16867,9487,123880.0,2939035.0
2016-12-28,16907,17307,16847,16947,8778,124468.0,2939035.0
2016-12-29,17207,18087,17007,18048,29639,132550.0,2939035.0
2017-01-02,18127,18727,17727,17727,25606,130199.0,2939035.0
2017-01-03,17647,17767,17287,17287,15599,126966.0,2939035.0
2017-01-04,17287,18087,17287,17968,20317,131963.0,2939035.0
2017-01-05,18247,18547,17447,17988,48532,132110.0,2939035.0
2017-01-06,17727,18147,16607,16907,62420,124174.0,2939035.0
2017-01-09,16727,17007,16607,16787,14426,123293.0,2939035.0
2017-01-10,16787,16967,16687,16767,8204,123146.0,2939035.0
2017-01-11,16807,16927,16206,16467,21157,120941.0,2939035.0
2017-01-12,16627,16707,16066,16107,12882,118296.0,2939035.0
2017-01-13,16026,16607,16006,16607,13376,121970.0,2939035.0
2017-01-16,16406,16647,16226,16287,8176,119619.0,2939035.0
2017-01-17,16206,16747,16186,16487,8032,121088.0,2939035.0
2017-01-18,16366,16667,16206,16287,6864,119619.0,2939035.0
2017-01-19,16326,16526,16066,16067,6847,118002.0,2939035.0
2017-01-20,16126,16146,15346,15447,25109,113447.0,2939035.0
2017-01-23,15426,16166,15426,16047,9889,117855.0,2939035.0
2017-01-24,16006,16206,15486,15687,9308,115210.0,2939035.0
2017-01-25,15666,16366,15666,16007,6291,117561.0,2939035.0
2017-01-26,15846,16146,15826,15927,5851,116974.0,2939035.0
2017-01-31,15686,15986,15586,15807,8011,116092.0,2939035.0
2017-02-01,15646,16546,15626,16367,14140,120207.0,2939035.0
2017-02-02,16366,16506,15826,16007,9972,117561.0,2939035.0
2017-02-03,15846,16166,15326,15467,19367,113594.0,2939035.0
2017-02-06,15526,15726,15366,15467,8792,113594.0,2939035.0
2017-02-07,15486,15746,15086,15387,19354,113006.0,2939035.0
2017-02-08,15266,17027,15266,16927,93875,124321.0,2939035.0
2017-02-09,17187,17727,17067,17487,57279,128436.0,2939035.0
2017-02-10,17567,17647,16807,17287,26551,126966.0,2939035.0
2017-02-13,17287,17907,16807,17908,37972,131522.0,2939035.0
2017-02-14,17907,18427,17707,18208,35338,133726.0,2939035.0
