에스디생명공학(217480),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-03-02,15200,16000,12050,12200,11610730,269186.0,22064400.0
2017-03-03,12650,12700,11350,11550,3201898,254844.0,22064400.0
2017-03-06,11550,12100,11200,11200,2348367,247121.0,22064400.0
2017-03-07,11000,11300,10400,10600,2322556,233883.0,22064400.0
2017-03-08,10700,10950,10500,10750,1679410,237192.0,22064400.0
2017-03-09,10700,10950,10100,10150,1794601,223954.0,22064400.0
2017-03-10,10400,11000,10000,10500,2868531,231676.0,22064400.0
2017-03-13,10900,11250,10750,10800,1760774,238296.0,22064400.0
2017-03-14,10800,10950,10450,10500,1018366,231676.0,22064400.0
2017-03-15,10550,10650,9970,10050,1723880,221747.0,22064400.0
2017-03-16,10150,10350,9960,10000,837923,220644.0,22064400.0
2017-03-17,10050,10650,9990,10650,1324659,234986.0,22064400.0
2017-03-20,10800,10800,10200,10250,799697,226160.0,22064400.0
2017-03-21,10250,10350,10050,10100,588345,222850.0,22064400.0
2017-03-22,10100,10350,10000,10100,581292,222850.0,22064400.0
2017-03-23,10200,10500,10050,10200,799936,225057.0,22064400.0
2017-03-24,10300,10700,10250,10300,1156953,227263.0,22064400.0
2017-03-27,10400,10450,10050,10100,479623,222850.0,22064400.0
2017-03-28,10200,10250,9990,10050,595923,221747.0,22064400.0
2017-03-29,10150,10150,10000,10050,335357,221747.0,22064400.0
2017-03-30,10150,10250,10000,10200,386441,225057.0,22064400.0
2017-03-31,10200,10350,10100,10150,373855,223954.0,22064400.0
2017-04-03,10250,10500,10200,10500,707264,231676.0,22064400.0
2017-04-04,10500,10900,10300,10500,923770,231676.0,22064400.0
2017-04-05,10650,11000,10600,10700,1101776,236089.0,22064400.0
2017-04-06,10700,10800,10350,10450,574929,230573.0,22064400.0
2017-04-07,10500,10650,10350,10450,532491,230573.0,22064400.0
2017-04-10,10400,10400,10050,10050,658385,221747.0,22064400.0
2017-04-11,10100,10300,9910,10050,492705,221747.0,22064400.0
2017-04-12,10100,10150,9910,10100,334387,222850.0,22064400.0
2017-04-13,10000,10200,10000,10150,293694,223954.0,22064400.0
2017-04-14,10100,10150,9980,10000,329539,220644.0,22064400.0
2017-04-17,10050,10500,10000,10500,906082,231676.0,22064400.0
2017-04-18,10500,10550,10300,10400,421057,229470.0,22064400.0
2017-04-19,10350,10500,10200,10300,398361,227263.0,22064400.0
2017-04-20,10300,10600,10150,10500,619547,231676.0,22064400.0
2017-04-21,10600,10650,10300,10350,427555,228367.0,22064400.0
2017-04-24,10300,10350,10000,10100,433810,222850.0,22064400.0
2017-04-25,10150,10200,10050,10100,316719,222850.0,22064400.0
2017-04-26,10150,10150,10000,10000,372732,220644.0,22064400.0
2017-04-27,10050,10050,9950,10000,361994,220644.0,22064400.0
2017-04-28,10050,10100,9950,10050,294828,221747.0,22064400.0
2017-05-02,10050,10100,9960,9960,238308,219761.0,22064400.0
2017-05-04,9990,10150,9980,10100,166351,222850.0,22064400.0
2017-05-08,10100,10200,10000,10200,312823,225057.0,22064400.0
2017-05-10,10300,10350,10050,10100,270111,222850.0,22064400.0
2017-05-11,10100,10200,10050,10200,155641,225057.0,22064400.0
2017-05-12,10250,10250,10050,10100,252672,222850.0,22064400.0
2017-05-15,10150,10250,10050,10150,255463,223954.0,22064400.0
2017-05-16,10100,10150,9970,9970,319280,219982.0,22064400.0
2017-05-17,10000,10300,9990,10250,465354,226160.0,22064400.0
2017-05-18,10200,13300,10200,12300,15276202,271392.0,22064400.0
2017-05-19,12400,13850,12150,13000,7551804,286837.0,22064400.0
2017-05-22,13300,14100,12900,13000,3179310,286837.0,22064400.0
2017-05-23,12900,15200,12700,14450,9402854,318831.0,22064400.0
2017-05-24,14350,14650,13650,14500,2458274,319934.0,22064400.0
2017-05-25,14650,14800,13900,14100,1608396,311108.0,22064400.0
2017-05-26,13550,14000,13100,13350,1918321,294560.0,22064400.0
2017-05-29,13350,13550,12750,13150,1536053,290147.0,22064400.0
2017-05-30,13100,13400,12850,13300,1306555,293457.0,22064400.0
2017-05-31,13150,13650,12900,13650,1383817,301179.0,22064400.0
2017-06-01,13450,13500,13150,13150,914094,290147.0,22064400.0
2017-06-02,13200,13300,12700,12750,808867,281321.0,22064400.0
2017-06-05,12650,12900,12450,12650,829752,279115.0,22064400.0
2017-06-07,12800,16250,12600,15600,10942358,344205.0,22064400.0
2017-06-08,15600,15750,14600,14750,3356182,325450.0,22064400.0
2017-06-09,15000,15500,14550,14900,2882046,328760.0,22064400.0
2017-06-12,14850,15400,14600,15150,1385662,334276.0,22064400.0
2017-06-13,15350,16750,14200,14350,5746627,316624.0,22064400.0
2017-06-14,14650,14650,14150,14450,912090,318831.0,22064400.0
2017-06-15,14350,15600,14300,14600,2132494,322140.0,22064400.0
2017-06-16,14550,14900,14250,14400,791134,317727.0,22064400.0
