유티아이(179900),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-09-27,7561,7561,6217,6268,1215588,99445.0,5332145.0
2017-09-28,6351,6553,6166,6285,282884,99711.0,5332145.0
2017-09-29,6267,6385,5965,5965,172433,94646.0,5332145.0
2017-10-10,6015,6032,5797,5848,75719,92779.0,5332145.0
2017-10-11,5898,6150,5881,5982,80557,94912.0,5332145.0
2017-10-12,6133,6334,6099,6234,112435,98911.0,5332145.0
2017-10-13,6267,6586,6267,6486,133308,102910.0,5332145.0
2017-10-16,6536,6536,6183,6352,45985,100778.0,5332145.0
2017-10-17,6351,6536,6351,6503,31924,103177.0,5332145.0
2017-10-18,6519,6637,6318,6369,46232,101044.0,5332145.0
2017-10-19,6385,6469,6183,6184,29970,98111.0,5332145.0
2017-10-20,6200,7007,6200,6553,131210,103977.0,5332145.0
2017-10-23,6654,6956,6553,6889,61714,109309.0,5332145.0
2017-10-24,6906,8233,6738,7394,197066,117307.0,5332145.0
2017-10-25,7494,7796,7309,7646,94041,121306.0,5332145.0
2017-10-26,7645,8300,7645,7864,134648,124772.0,5332145.0
2017-10-27,7880,8317,7780,7931,71401,125839.0,5332145.0
2017-10-30,8048,8149,7847,7881,43492,125039.0,5332145.0
2017-10-31,7864,8183,7578,7629,55551,121040.0,5332145.0
2017-11-01,7712,8132,7393,7646,69123,121306.0,5332145.0
2017-11-02,7527,7628,7208,7377,59438,117041.0,5332145.0
2017-11-03,7427,7645,7158,7646,46785,121306.0,5332145.0
2017-11-06,7611,7998,7611,7914,35206,125572.0,5332145.0
2017-11-07,7914,7914,7645,7713,26151,122373.0,5332145.0
2017-11-08,7712,7813,7561,7679,14447,121840.0,5332145.0
2017-11-09,7948,7948,7561,7562,19983,119973.0,5332145.0
2017-11-10,7494,7830,7494,7763,27427,123173.0,5332145.0
2017-11-13,7780,7880,7662,7730,25397,122639.0,5332145.0
2017-11-14,7746,7847,7494,7629,25579,121040.0,5332145.0
2017-11-15,7897,7897,7175,7410,53149,117574.0,5332145.0
2017-11-16,7494,7494,7158,7377,33040,117041.0,5332145.0
2017-11-17,7443,7628,7124,7629,39346,121040.0,5332145.0
2017-11-20,7763,7864,7645,7746,40995,122906.0,5332145.0
2017-11-21,7729,7729,7527,7545,21869,119707.0,5332145.0
2017-11-22,7527,7763,7427,7595,27225,120506.0,5332145.0
2017-11-23,7679,8099,7595,7730,84580,122639.0,5332145.0
2017-11-24,7880,7981,7696,7730,54123,122639.0,5332145.0
2017-11-27,7830,7830,7494,7528,24998,119440.0,5332145.0
2017-11-28,7578,7628,7124,7125,38305,113041.0,5332145.0
2017-11-29,7124,7393,6956,7041,27828,111708.0,5332145.0
2017-11-30,7158,7158,6670,6688,49667,106110.0,5332145.0
2017-12-01,6788,6889,6486,6856,22708,108776.0,5332145.0
2017-12-04,6855,6956,6234,6721,21521,106643.0,5332145.0
2017-12-05,6687,6889,6670,6873,20937,109042.0,5332145.0
2017-12-06,6872,7275,6755,7125,32071,113041.0,5332145.0
2017-12-07,7242,7259,6704,6990,19349,110909.0,5332145.0
2017-12-08,6990,7074,6755,6839,10186,108509.0,5332145.0
2017-12-11,6738,7040,6721,6839,6657,108509.0,5332145.0
2017-12-12,6990,7057,6771,6839,9828,108509.0,5332145.0
2017-12-13,6956,7057,6805,6805,24596,107976.0,5332145.0
2017-12-14,6788,6872,6704,6755,10178,107176.0,5332145.0
2017-12-15,6872,6872,6637,6688,18054,106110.0,5332145.0
2017-12-18,6906,6906,6570,6789,38154,107709.0,5332145.0
2017-12-19,6889,7091,6721,6822,42180,108243.0,5332145.0
2017-12-20,6755,6755,6553,6587,106971,104510.0,5332145.0
2017-12-21,6570,6704,6200,6369,48998,101044.0,5332145.0
2017-12-22,6217,6418,6150,6369,42637,101044.0,5332145.0
2017-12-26,6385,6486,6217,6419,21891,101844.0,5332145.0
2017-12-27,6553,6553,6385,6436,16819,102111.0,5332145.0
2017-12-28,6385,6469,6368,6469,23040,102644.0,5332145.0
2018-01-02,6721,6990,6435,6570,100515,104243.0,5332145.0
2018-01-03,6570,7023,6553,7024,52628,111442.0,5332145.0
2018-01-04,7057,7897,7007,7528,174479,119440.0,5332145.0
2018-01-05,7578,8099,7477,7847,98275,124506.0,5332145.0
2018-01-08,7897,8082,7729,7730,65461,122639.0,5332145.0
2018-01-09,8048,8048,7544,7629,73844,121040.0,5332145.0
2018-01-10,7712,8166,7595,8066,65378,127971.0,5332145.0
2018-01-11,8166,8435,7948,8267,92351,131171.0,5332145.0
2018-01-12,8317,8401,7981,8200,40189,130104.0,5332145.0
2018-01-15,8200,8267,7830,8015,41225,127172.0,5332145.0
2018-01-16,8065,8082,7796,7898,21583,125305.0,5332145.0
2018-01-17,7931,8048,7813,7914,13810,125572.0,5332145.0
