제노레이(122310),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-05-28,45900,45900,36050,37350,1703604,150472.0,4028700.0
2018-05-29,35500,37750,33300,33500,980165,134961.0,4028700.0
2018-05-30,33750,35000,30000,31250,790030,125897.0,4028700.0
2018-05-31,31700,32000,29750,29950,461739,120660.0,4028700.0
2018-06-01,30000,31350,29150,29450,416263,118645.0,4028700.0
2018-06-04,29900,30600,29150,29800,312137,120055.0,4028700.0
2018-06-05,29800,30400,28250,28300,280719,114012.0,4028700.0
2018-06-07,28800,30000,28550,28700,280913,115624.0,4028700.0
2018-06-08,28750,29850,28250,29800,242891,120055.0,4028700.0
2018-06-11,30000,30100,28300,28300,194662,114012.0,4028700.0
2018-06-12,27650,28350,26200,26350,287688,106156.0,4028700.0
2018-06-14,26450,26500,25450,25800,96308,103940.0,4028700.0
2018-06-15,25800,26650,25750,26000,75435,108609.0,4177256.0
2018-06-18,25800,26000,23750,23750,241484,99210.0,4177256.0
2018-06-19,23600,24000,22150,22150,136590,92526.0,4177256.0
2018-06-20,22200,26550,22150,24000,690805,100254.0,4177256.0
2018-06-21,24000,24200,22950,23000,107598,96077.0,4177256.0
2018-06-22,22750,23800,22750,23050,62893,96286.0,4177256.0
2018-06-25,23200,26450,23100,26000,316594,108609.0,4177256.0
2018-06-26,25600,27100,24900,26700,154399,111533.0,4177256.0
2018-06-27,26900,27750,25900,26200,168536,109444.0,4177256.0
2018-06-28,25350,25900,24100,24100,167847,100672.0,4177256.0
2018-06-29,24150,24400,22900,23450,96173,97957.0,4177256.0
2018-07-02,23450,24300,22500,22850,101208,95450.0,4177256.0
2018-07-03,23300,23300,22150,22800,64425,95241.0,4177256.0
2018-07-04,22700,23050,22450,22950,39745,95868.0,4177256.0
2018-07-05,22750,23850,22650,23700,71196,99001.0,4177256.0
2018-07-06,23950,23950,22900,23300,55173,97330.0,4177256.0
2018-07-09,23450,23500,22700,22950,54713,95868.0,4177256.0
2018-07-10,23500,25000,23200,24550,181033,102552.0,4177256.0
2018-07-11,24500,26450,24100,24650,292759,102969.0,4177256.0
2018-07-12,24750,25500,24250,25500,90541,106520.0,4177256.0
2018-07-13,25350,25700,25050,25250,53977,105476.0,4177256.0
2018-07-16,25000,25250,24000,24300,74001,101507.0,4177256.0
2018-07-17,24300,26100,23450,26100,210471,109026.0,4177256.0
