유진스팩5호(331380),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-10-02,2045,2055,2045,2045,2172353,8200.0,4010000.0
2019-10-04,2050,2060,2050,2055,266384,8241.0,4010000.0
2019-10-07,2055,2065,2055,2060,218908,,
