상상인이안제2호스팩(329560),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-08-30,2150,2190,2030,2035,5443009,7835.0,3850000.0
2019-09-02,2045,2075,2035,2070,615236,7970.0,3850000.0
2019-09-03,2065,2075,2035,2035,382549,7835.0,3850000.0
2019-09-04,2045,2055,2040,2045,126862,7873.0,3850000.0
2019-09-05,2045,2055,2040,2050,132530,7892.0,3850000.0
2019-09-06,2050,2060,2035,2040,221187,7854.0,3850000.0
2019-09-09,2045,2045,2030,2040,185861,7854.0,3850000.0
2019-09-10,2045,2050,2035,2050,124492,7892.0,3850000.0
2019-09-11,2045,2055,2045,2050,30509,7892.0,3850000.0
2019-09-16,2055,2055,2045,2050,30115,7892.0,3850000.0
2019-09-17,2050,2060,2045,2055,99267,7912.0,3850000.0
2019-09-18,2055,2055,2050,2055,31606,7912.0,3850000.0
2019-09-19,2050,2060,2045,2055,71362,7912.0,3850000.0
2019-09-20,2055,2060,2055,2055,8613,7912.0,3850000.0
2019-09-23,2055,2060,2055,2060,21910,7931.0,3850000.0
2019-09-24,2060,2060,2050,2060,51553,7931.0,3850000.0
2019-09-25,2055,2065,2050,2055,55671,7912.0,3850000.0
2019-09-26,2055,2060,2050,2055,26177,7912.0,3850000.0
2019-09-27,2055,2070,2055,2055,45857,7912.0,3850000.0
2019-09-30,2060,2060,2050,2060,23959,7931.0,3850000.0
2019-10-01,2060,2095,2060,2070,126961,7970.0,3850000.0
2019-10-02,2065,2075,2065,2070,9975,7970.0,3850000.0
2019-10-04,2070,2075,2065,2070,9167,7970.0,3850000.0
2019-10-07,2065,2070,2060,2060,30350,7931.0,3850000.0
