나노신소재(121600),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-02-09,11700,11866,9966,9967,4163864,106384.0,7116000.0
2011-02-10,10200,11033,9966,10400,1862393,111010.0,7116000.0
2011-02-11,10500,10633,9400,9700,783912,103538.0,7116000.0
2011-02-14,9866,10366,9666,9867,495471,105317.0,7116000.0
2011-02-15,9866,9966,9366,9367,441355,99980.0,7116000.0
2011-02-16,9533,10466,9366,9700,684858,103538.0,7116000.0
2011-02-17,9766,10066,9200,9200,448321,98201.0,7116000.0
2011-02-18,9233,9800,9100,9467,423111,101047.0,7116000.0
2011-02-21,9533,10233,9533,9733,577843,103894.0,7116000.0
2011-02-22,9666,9966,9499,9633,195404,102826.0,7116000.0
2011-02-23,9733,10099,9433,9433,344699,100691.0,7116000.0
2011-02-24,9333,9533,9133,9167,317705,97845.0,7116000.0
2011-02-25,9266,9333,8933,9133,215297,97489.0,7116000.0
2011-02-28,9600,10066,9266,9300,498531,99268.0,7116000.0
2011-03-02,9300,9866,9200,9867,324823,105317.0,7116000.0
2011-03-03,9966,10433,9766,9800,424126,104605.0,7116000.0
2011-03-04,10000,10300,9900,10200,234073,108875.0,7116000.0
2011-03-07,10200,10466,10066,10400,242427,111010.0,7116000.0
2011-03-08,10433,10900,10166,10900,337236,116347.0,7116000.0
2011-03-09,11000,11200,10800,10933,252290,116702.0,7116000.0
2011-03-10,11033,11266,10766,11000,226382,117414.0,7116000.0
2011-03-11,10633,10966,10600,10700,104705,114212.0,7116000.0
2011-03-14,10600,10699,9800,10233,194855,109231.0,7116000.0
2011-03-15,10433,11566,9433,10500,709507,112077.0,7116000.0
2011-03-16,10733,10866,10033,10467,219217,111721.0,7116000.0
2011-03-17,10166,10333,10000,10100,175815,107807.0,7116000.0
2011-03-18,10266,10766,10233,10500,231901,112077.0,7116000.0
2011-03-21,10733,11033,10500,11033,182303,117770.0,7116000.0
2011-03-22,11066,11600,10933,11267,332107,120260.0,7116000.0
2011-03-23,11333,11366,11066,11067,147474,118126.0,7116000.0
2011-03-24,11166,11566,10966,11267,222417,120260.0,7116000.0
2011-03-25,11366,11466,11066,11100,164088,118481.0,7116000.0
2011-03-28,11133,12433,11033,12067,694852,128800.0,7116000.0
2011-03-29,12366,12466,11933,11933,482426,127376.0,7116000.0
2011-03-30,12000,12900,12000,12200,526744,130223.0,7116000.0
2011-03-31,12533,12766,12166,12333,231196,131646.0,7116000.0
2011-04-01,12466,12533,12166,12267,180276,130934.0,7116000.0
2011-04-04,12333,13066,12266,12533,306457,133781.0,7116000.0
2011-04-05,12700,12900,12500,12867,152691,137339.0,7116000.0
2011-04-06,12866,12866,12300,12567,190963,134137.0,7116000.0
2011-04-07,12566,12566,11800,12033,321656,128444.0,7116000.0
2011-04-08,12033,12400,11600,12033,187508,128444.0,7116000.0
2011-04-11,11933,12366,11900,12067,114782,128800.0,7116000.0
2011-04-12,11966,12433,11766,12400,160096,132358.0,7116000.0
2011-04-13,12400,12500,12066,12167,150259,129867.0,7116000.0
2011-04-14,12166,12200,11766,12033,157363,128444.0,7116000.0
2011-04-15,12200,13433,12133,13200,544326,140897.0,7116000.0
2011-04-18,13200,14333,12966,13633,649683,145522.0,7116000.0
2011-04-19,13466,14066,12933,13833,292813,147657.0,7116000.0
2011-04-20,14133,14766,13666,13767,411662,146945.0,7116000.0
2011-04-21,13800,14633,13366,14467,321289,154417.0,7116000.0
2011-04-22,14533,14533,14000,14067,204586,150148.0,7116000.0
2011-04-25,14099,14299,13400,13533,270809,144455.0,7116000.0
2011-04-26,13533,13766,13033,13033,224561,139118.0,7116000.0
2011-04-27,13333,13900,13200,13867,323200,148013.0,7116000.0
2011-04-28,13333,13700,11800,11800,534152,125953.0,7116000.0
2011-04-29,12066,12900,11466,11900,345499,127021.0,7116000.0
2011-05-02,12233,12266,11633,12000,162089,128088.0,7116000.0
2011-05-03,11933,11966,11500,11733,222468,125242.0,7116000.0
2011-05-04,11700,12366,11700,12367,219882,132002.0,7116000.0
2011-05-06,12766,12766,12400,12767,161324,136271.0,7116000.0
2011-05-09,12866,12966,12366,12467,86239,133069.0,7116000.0
2011-05-11,12533,12666,11766,11833,122034,126309.0,7116000.0
2011-05-12,11700,12133,11233,11833,127094,126309.0,7116000.0
2011-05-13,11900,12566,11900,12333,126362,131646.0,7116000.0
2011-05-16,12200,13266,12200,12900,272863,139943.0,7232222.0
2011-05-17,12666,12966,12366,12500,87297,135604.0,7232222.0
2011-05-18,12600,12700,12000,12100,108669,131265.0,7232222.0
2011-05-19,12100,12400,11633,11800,105059,128010.0,7232222.0
2011-05-20,11633,12133,11233,11900,130708,129095.0,7232222.0
2011-05-23,11600,11900,11233,11367,69335,123309.0,7232222.0
2011-05-24,11100,11533,11100,11533,45086,125117.0,7232222.0
2011-05-25,11533,11800,11166,11167,53631,121140.0,7232222.0
2011-05-26,11200,12066,11200,11533,97457,125117.0,7232222.0
2011-05-27,11533,11700,11266,11533,85560,125117.0,7232222.0
2011-05-30,11600,11800,11233,11600,65977,125841.0,7232222.0
2011-05-31,11766,12066,11466,11600,155366,125841.0,7232222.0
2011-06-01,11600,12233,11600,12233,150309,132711.0,7232222.0
2011-06-02,11900,12266,11766,12000,99975,130180.0,7232222.0
2011-06-03,12166,12200,11600,11733,75203,127287.0,7232222.0
2011-06-07,11533,11733,11333,11667,86141,126564.0,7232222.0
2011-06-08,11600,12033,11600,11900,59669,129095.0,7232222.0
