하나마이크론(067310),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-10-11,7702,8857,6931,8857,1589914,122188.0,10625000.0
2005-10-12,10011,10127,8894,9243,1475409,127500.0,10625000.0
2005-10-13,9319,9358,8279,8857,438015,122188.0,10625000.0
2005-10-14,9164,9395,8394,8665,440614,119531.0,10625000.0
2005-10-17,8472,8664,7548,7856,513061,108375.0,10625000.0
2005-10-18,7648,7856,7332,7340,218968,101256.0,10625000.0
2005-10-19,7084,7269,6545,6547,356221,90312.0,10625000.0
2005-10-20,6593,7524,6593,7186,470956,99131.0,10625000.0
2005-10-21,6839,7124,6731,6870,232756,94775.0,10625000.0
2005-10-24,6893,7548,6893,7340,221450,101256.0,10625000.0
2005-10-25,7331,7470,7069,7140,153876,98494.0,10625000.0
2005-10-26,7124,7155,6739,6739,262707,92969.0,10625000.0
2005-10-27,6707,6853,6391,6424,217956,88612.0,10625000.0
2005-10-28,6283,6422,6206,6316,80388,87125.0,10625000.0
2005-10-31,6353,6507,6268,6270,93498,86488.0,10625000.0
2005-11-01,6192,6369,6192,6254,137300,86275.0,10625000.0
2005-11-02,6315,6700,6277,6454,120836,89038.0,10625000.0
2005-11-03,6623,6916,6438,6762,292926,93288.0,10625000.0
2005-11-04,6699,6923,6699,6855,150047,94562.0,10625000.0
2005-11-07,6854,7008,6562,6562,132131,90525.0,10625000.0
2005-11-08,6585,6623,6469,6593,89557,90950.0,10625000.0
2005-11-09,6662,7101,6616,6955,281018,95944.0,10625000.0
2005-11-10,6954,7007,6753,6940,113824,95731.0,10625000.0
2005-11-11,6930,7061,6746,7063,208920,97431.0,10625000.0
2005-11-14,6993,7116,6931,6970,174031,96156.0,10625000.0
2005-11-15,7007,7007,6761,6778,146932,93500.0,10625000.0
2005-11-16,6645,6807,6430,6547,120379,90312.0,10625000.0
2005-11-17,6569,6723,6546,6585,144144,90844.0,10625000.0
2005-11-18,6599,7038,6592,7009,339519,96688.0,10625000.0
2005-11-21,7023,7192,6915,6932,378790,95625.0,10625000.0
2005-11-22,7032,7032,6539,6539,316926,90206.0,10625000.0
2005-11-23,6622,6838,6576,6709,216227,92544.0,10625000.0
2005-11-24,6730,7161,6645,7163,389582,98812.0,10625000.0
2005-11-25,7424,8202,7394,7625,1661011,105188.0,10625000.0
2005-11-28,7817,7817,7293,7617,417676,105081.0,10625000.0
2005-11-29,7470,7693,7208,7302,584955,100725.0,10625000.0
2005-11-30,7240,7517,7209,7317,577604,100938.0,10625000.0
2005-12-01,7317,8395,7317,8087,1950385,111562.0,10625000.0
2005-12-02,8317,8548,7893,8049,1114249,111031.0,10625000.0
2005-12-05,8202,9204,8087,9204,1408131,126969.0,10625000.0
2005-12-06,9088,9704,8818,9281,1169744,128031.0,10625000.0
2005-12-07,9165,9358,8318,8626,841529,119000.0,10625000.0
2005-12-08,8318,8857,8164,8857,505928,122188.0,10625000.0
2005-12-09,8510,9011,8395,8395,488559,115812.0,10625000.0
2005-12-12,8241,8433,7779,8010,565100,110500.0,10625000.0
2005-12-13,8010,8241,7856,8010,374124,110500.0,10625000.0
2005-12-14,8125,8510,8010,8318,750782,114750.0,10625000.0
2005-12-15,8394,8432,8009,8126,444080,112094.0,10625000.0
2005-12-16,7701,7893,7369,7533,457320,103912.0,10625000.0
2005-12-19,7470,7685,7470,7587,271445,104656.0,10625000.0
2005-12-20,7509,7640,7101,7101,321958,97962.0,10625000.0
2005-12-21,7169,7239,6792,7009,283183,96688.0,10625000.0
2005-12-22,7007,7092,6468,6624,413682,91375.0,10625000.0
2005-12-23,6562,6816,6315,6816,280168,94031.0,10625000.0
2005-12-26,6777,6916,6700,6716,175126,92650.0,10625000.0
2005-12-27,6738,7354,6738,7279,456389,100406.0,10625000.0
2005-12-28,7269,7554,7131,7556,231611,104231.0,10625000.0
2005-12-29,7432,7740,7432,7679,213776,105931.0,10625000.0
2006-01-02,7702,7933,7509,7933,198260,109438.0,10625000.0
2006-01-03,7933,8202,7679,8010,463896,110500.0,10625000.0
2006-01-04,8086,8086,7739,7741,176492,106781.0,10625000.0
2006-01-05,7702,7740,7494,7494,179961,103381.0,10625000.0
2006-01-06,7508,7893,7508,7741,198039,106781.0,10625000.0
2006-01-09,7893,7893,7585,7587,137656,104656.0,10625000.0
2006-01-10,7585,7739,7123,7302,170239,100725.0,10625000.0
2006-01-11,7240,7301,7047,7240,206087,99875.0,10625000.0
2006-01-12,7317,7971,7317,7625,457699,105188.0,10625000.0
2006-01-13,7631,7970,7431,7895,272385,108906.0,10625000.0
2006-01-16,8125,8395,7971,8010,467201,110500.0,10625000.0
2006-01-17,8164,8318,7817,7856,619773,108375.0,10625000.0
2006-01-18,7933,8010,7124,7240,391552,99875.0,10625000.0
2006-01-19,7332,7471,7101,7317,219845,100938.0,10625000.0
2006-01-20,7363,8202,7340,7548,656876,104125.0,10625000.0
2006-01-23,7470,7693,6615,6778,368591,93500.0,10625000.0
2006-01-24,6715,7069,5929,7071,264047,97538.0,10625000.0
2006-01-25,6955,7447,6955,7240,226016,99875.0,10625000.0
2006-01-26,7247,7586,7093,7471,132688,103062.0,10625000.0
2006-01-27,7702,7702,7494,7694,185984,106144.0,10625000.0
2006-01-31,7894,8010,7617,7625,185107,105188.0,10625000.0
2006-02-01,7570,7570,7131,7433,230192,102531.0,10625000.0
2006-02-02,7694,8510,7632,8318,1672458,114750.0,10625000.0
2006-02-03,8087,8164,7679,7933,517741,109438.0,10625000.0
2006-02-06,7933,8318,7471,8318,361952,114750.0,10625000.0
2006-02-07,8240,8471,7970,8049,386082,111031.0,10625000.0
2006-02-08,7933,8241,7594,7594,371174,104762.0,10625000.0
2006-02-09,7740,7817,7517,7679,199274,105931.0,10625000.0
2006-02-10,7594,7686,7340,7471,167505,103062.0,10625000.0
2006-02-13,7739,8047,7639,7641,501070,105400.0,10625000.0
2006-02-14,7663,7740,7563,7602,118586,104869.0,10625000.0
2006-02-15,7663,7779,6931,7232,192790,99769.0,10625000.0
2006-02-16,7132,7286,6931,7124,196781,98281.0,10625000.0
2006-02-17,7139,7317,7139,7155,133162,98706.0,10625000.0
2006-02-20,7155,7394,7132,7332,118239,101150.0,10625000.0
2006-02-21,7394,7455,7278,7332,76293,101150.0,10625000.0
2006-02-22,7292,7362,7161,7217,82297,99556.0,10625000.0
2006-02-23,7255,7394,7240,7394,143731,102000.0,10625000.0
2006-02-24,7354,7562,7277,7510,200686,103594.0,10625000.0
2006-02-27,7585,7662,7416,7433,99040,102531.0,10625000.0
2006-02-28,7585,7739,7477,7687,180387,106038.0,10625000.0
2006-03-02,7816,7816,7562,7587,157158,104656.0,10625000.0
2006-03-03,7548,7555,7193,7201,188621,99344.0,10625000.0
2006-03-06,7162,7232,7078,7201,107240,99344.0,10625000.0
2006-03-07,7209,7209,6970,7186,81890,99131.0,10625000.0
2006-03-08,6938,7146,6930,7086,106181,97750.0,10625000.0
2006-03-09,7070,7116,6970,7101,94273,97962.0,10625000.0
2006-03-10,7047,7147,7008,7047,65987,97219.0,10625000.0
2006-03-13,7046,7146,6961,6963,112303,96050.0,10625000.0
2006-03-14,6978,7008,6754,6770,113523,93394.0,10625000.0
2006-03-15,6784,7084,6776,6855,120638,94562.0,10625000.0
2006-03-16,6892,6930,6676,6778,105017,93500.0,10625000.0
2006-03-17,6661,6823,6645,6778,69619,93500.0,10625000.0
2006-03-20,6731,6885,6731,6824,43129,94138.0,10625000.0
2006-03-21,6816,7008,6731,6847,71747,94456.0,10625000.0
2006-03-22,6915,6915,6699,6809,40831,93925.0,10625000.0
2006-03-23,6800,6854,6662,6762,68741,93288.0,10625000.0
2006-03-24,6723,6793,6562,6639,39901,91588.0,10625000.0
2006-03-27,6593,6670,6462,6462,72114,89144.0,10625000.0
2006-03-28,6469,6469,6200,6246,128481,86169.0,10625000.0
