뉴트리(270870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-06-07,17250,17650,17000,17450,207393,157612.0,9032224.0
2019-06-10,18000,18800,17450,18650,371810,168451.0,9032224.0
2019-06-11,18800,20700,18650,20400,604791,184257.0,9032224.0
2019-06-12,20100,20500,19250,20100,247656,181548.0,9032224.0
2019-06-13,19950,21150,19600,20950,306683,189225.0,9032224.0
2019-06-14,21000,21700,20650,20750,190875,187419.0,9032224.0
2019-06-17,21150,21250,19100,20450,173373,184709.0,9032224.0
2019-06-18,20550,20900,19450,20000,163812,180644.0,9032224.0
2019-06-19,20400,20400,19800,20000,121367,180644.0,9032224.0
2019-06-20,20100,20450,19850,20050,106785,181096.0,9032224.0
2019-06-21,20050,20150,19350,19350,99356,174774.0,9032224.0
2019-06-24,19600,20300,19100,19300,183851,174322.0,9032224.0
2019-06-25,19250,19400,17850,18650,339703,168451.0,9032224.0
2019-06-26,18450,18700,17750,17800,181184,160774.0,9032224.0
2019-06-27,17850,18250,17550,17700,106144,159870.0,9032224.0
2019-06-28,17700,18050,17350,17700,107377,159870.0,9032224.0
2019-07-01,17950,18600,17650,18200,167868,164386.0,9032224.0
2019-07-02,18050,18250,17600,17850,54505,161225.0,9032224.0
2019-07-03,17900,18300,17900,18100,79729,163483.0,9032224.0
2019-07-04,18000,18200,17650,18050,95651,163032.0,9032224.0
2019-07-05,18150,19350,18050,19150,192546,172967.0,9032224.0
2019-07-08,19150,19850,18450,18450,220232,166645.0,9032224.0
2019-07-09,18450,19150,18300,18550,122213,167548.0,9032224.0
2019-07-10,18550,18800,18050,18450,75518,166645.0,9032224.0
2019-07-11,18450,19100,18450,18850,86345,170257.0,9032224.0
2019-07-12,19350,19350,18800,18900,97921,170709.0,9032224.0
2019-07-15,19150,19150,17500,17700,172511,159870.0,9032224.0
2019-07-16,17800,18100,16900,17150,124942,154903.0,9032224.0
2019-07-17,17200,17250,16100,16250,165676,146774.0,9032224.0
2019-07-18,16250,16950,16100,16600,80470,149935.0,9032224.0
2019-07-19,16600,17050,16550,16700,61424,150838.0,9032224.0
2019-07-22,16750,16800,16250,16400,41269,148128.0,9032224.0
2019-07-23,16600,16700,16150,16300,73019,147225.0,9032224.0
2019-07-24,16300,16550,15250,15650,92175,141354.0,9032224.0
2019-07-25,15600,16150,15350,15550,57140,140451.0,9032224.0
2019-07-26,15550,15650,14800,15100,94050,136387.0,9032224.0
2019-07-29,15100,15300,14050,14050,113550,126903.0,9032224.0
2019-07-30,13450,15800,13450,15300,198847,138193.0,9032224.0
2019-07-31,14950,15400,14350,15300,78688,138193.0,9032224.0
2019-08-01,15000,15500,14800,14900,49715,134580.0,9032224.0
2019-08-02,14400,15400,14250,15250,84884,137741.0,9032224.0
2019-08-05,15450,15550,14200,14200,146898,128258.0,9032224.0
2019-08-06,14150,15100,13350,14350,159051,129612.0,9032224.0
2019-08-07,14450,15550,14400,14950,113039,135032.0,9032224.0
2019-08-08,15050,16200,15050,15800,128461,142709.0,9032224.0
2019-08-09,15900,16600,15600,15800,131643,142709.0,9032224.0
2019-08-12,15750,15900,15250,15800,57906,142709.0,9032224.0
2019-08-13,15950,15950,15250,15300,51784,138193.0,9032224.0
2019-08-14,15400,16200,14150,14900,223591,134580.0,9032224.0
2019-08-16,14900,14900,14050,14400,76054,130064.0,9032224.0
2019-08-19,14400,14450,14000,14250,56802,128709.0,9032224.0
2019-08-20,14500,15850,14500,15600,403805,140903.0,9032224.0
2019-08-21,15500,15900,15400,15900,60710,143612.0,9032224.0
2019-08-22,15800,16000,15150,15400,103812,139096.0,9032224.0
2019-08-23,15000,15250,14650,14650,82269,132322.0,9032224.0
2019-08-26,14000,14750,13750,13800,96889,124645.0,9032224.0
2019-08-27,14200,14400,13900,14000,76863,126451.0,9032224.0
2019-08-28,14000,14400,14000,14250,57490,128709.0,9032224.0
2019-08-29,14550,14900,13950,14400,89879,130064.0,9032224.0
2019-08-30,14550,14950,14500,14800,75043,133677.0,9032224.0
2019-09-02,14750,15650,14400,15500,133531,139999.0,9032224.0
2019-09-03,15300,15700,15000,15450,65647,139548.0,9032224.0
2019-09-04,15300,15850,15100,15850,80994,143161.0,9032224.0
2019-09-05,15950,16000,15600,15700,60873,141806.0,9032224.0
2019-09-06,16100,16400,15750,15900,141859,143612.0,9032224.0
2019-09-09,16150,16150,15250,15350,60525,138645.0,9032224.0
2019-09-10,15050,15550,15000,15050,42379,135935.0,9032224.0
2019-09-11,15050,15400,15050,15300,33777,138193.0,9032224.0
2019-09-16,15600,15700,15450,15500,60462,139999.0,9032224.0
2019-09-17,15450,15800,15300,15700,65121,141806.0,9032224.0
2019-09-18,15950,16600,15550,16500,166521,149032.0,9032224.0
2019-09-19,16450,16700,16200,16200,100687,146322.0,9032224.0
2019-09-20,16300,16800,16300,16600,111709,149935.0,9032224.0
2019-09-23,16450,16650,16300,16600,38282,149935.0,9032224.0
2019-09-24,16550,16550,16000,16100,70119,145419.0,9032224.0
2019-09-25,15900,16200,15550,15600,60020,140903.0,9032224.0
2019-09-26,15650,16050,15450,15500,54714,139999.0,9032224.0
2019-09-27,15650,15950,15400,15550,42395,140451.0,9032224.0
2019-09-30,15500,15500,14800,14900,78207,134580.0,9032224.0
2019-10-01,14900,15250,14800,15150,34708,136838.0,9032224.0
2019-10-02,14950,15150,14900,14950,38142,135032.0,9032224.0
2019-10-04,14800,14950,14500,14650,25929,132322.0,9032224.0
2019-10-07,14700,15100,14650,15000,31142,135483.0,9032224.0
