메디톡스(086900),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-01-16,12761,14651,12336,14652,2094307,78414.0,5059000.0
2009-01-19,15502,16825,15408,16827,659898,90050.0,5059000.0
2009-01-20,17818,19095,16873,17252,2088228,92327.0,5059000.0
2009-01-21,17015,18196,15408,16827,1354483,90050.0,5059000.0
2009-01-22,17393,17488,14793,14983,780928,80185.0,5059000.0
2009-01-23,14746,15124,13470,13470,811816,72091.0,5059000.0
2009-01-28,13801,15454,13139,15456,1131471,82715.0,5059000.0
2009-01-29,15881,15927,14084,14085,733668,75379.0,5059000.0
2009-01-30,13801,15881,13801,14652,710443,78414.0,5059000.0
2009-02-02,14746,16400,14557,15172,874272,81197.0,5059000.0
2009-02-03,15408,16494,15313,15787,729956,84485.0,5059000.0
2009-02-04,16211,16353,15029,15172,645355,81197.0,5059000.0
2009-02-05,15124,15454,14462,14464,286863,84096.0,5496500.0
2009-02-06,14746,15502,14510,15267,339793,88768.0,5496500.0
2009-02-09,15360,15502,14841,14889,163400,86570.0,5496500.0
2009-02-10,15171,15219,14699,14747,118666,85745.0,5496500.0
2009-02-11,14416,15597,14368,15172,331706,88219.0,5496500.0
2009-02-12,15454,16117,15266,15314,584185,89043.0,5496500.0
2009-02-13,15408,16448,15171,16117,520455,93715.0,5496500.0
2009-02-16,16258,18432,16069,17961,1816885,104434.0,5496500.0
2009-02-17,18432,19331,17534,17630,1635783,102510.0,5496500.0
2009-02-18,18196,20229,17960,20230,1721219,117625.0,5496500.0
2009-02-19,21269,22214,17346,17678,2608454,102785.0,5496500.0
2009-02-20,17865,18338,16164,16874,927006,98113.0,5496500.0
2009-02-23,17346,19378,17109,19379,1060202,112678.0,5496500.0
2009-02-24,18480,20135,18480,18953,1018496,110205.0,5496500.0
2009-02-25,20135,20606,17960,18434,998651,107182.0,5496500.0
2009-02-26,19331,20039,18101,19379,863484,112678.0,5496500.0
2009-02-27,19756,20418,19425,19757,757909,114877.0,5496500.0
2009-03-02,19851,20418,18622,18622,664470,108281.0,5496500.0
2009-03-03,17771,18905,17204,18906,635844,109930.0,5496500.0
2009-03-04,18953,21221,18574,20891,1076044,121473.0,5496500.0
2009-03-05,21600,23348,20843,20986,1815866,122022.0,5496500.0
2009-03-06,20512,22025,20418,21506,771513,125045.0,5496500.0
2009-03-09,22403,24624,21742,23632,1331604,137412.0,5496500.0
2009-03-10,23348,23868,21552,21648,832733,125870.0,5496500.0
2009-03-11,22072,23348,21221,22877,841832,133015.0,5496500.0
2009-03-12,23301,23916,22734,23019,564669,133840.0,5496500.0
2009-03-13,23348,23584,21600,21931,637872,127519.0,5496500.0
2009-03-16,22261,22544,21221,21411,370330,124496.0,5496500.0
2009-03-17,21836,22356,21316,22215,396904,129168.0,5496500.0
2009-03-18,22356,23301,21930,21931,671364,127519.0,5496500.0
2009-03-19,22214,22261,21269,21458,258753,124771.0,5496500.0
2009-03-20,21742,21977,21363,21837,186708,126969.0,5496500.0
2009-03-23,21977,22167,21646,21979,296487,127794.0,5496500.0
2009-03-24,22403,22828,21410,21600,545819,125595.0,5496500.0
2009-03-25,21788,23112,21505,22971,677416,133565.0,5496500.0
2009-03-26,23253,23632,22734,23302,483266,135489.0,5496500.0
2009-03-27,23538,23632,22167,22782,601698,132466.0,5496500.0
2009-03-30,22970,23253,21174,21175,495903,123122.0,5496500.0
2009-03-31,21458,22450,20985,22215,451892,129168.0,5496500.0
2009-04-01,22403,23207,22214,22877,407501,133015.0,5496500.0
2009-04-02,23584,26279,23112,26279,1514136,152803.0,5496500.0
2009-04-03,26846,27650,25617,26327,1086603,153078.0,5496500.0
