사람인에이치알(143240),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-02-21,9142,10513,9142,10513,1819575,101200.0,8800000.0
2012-02-22,9964,12067,9096,11016,6110379,106040.0,8800000.0
2012-02-23,11153,12661,11061,12662,1309624,121880.0,8800000.0
2012-02-24,14535,14535,14535,14536,54921,139920.0,8800000.0
2012-02-27,16684,16684,16684,16684,33711,160600.0,8800000.0
2012-02-28,19152,19152,15998,19153,2308263,184360.0,8800000.0
2012-02-29,19883,21209,17415,18513,2742918,178200.0,8800000.0
2012-03-02,19335,21255,17964,21255,1478878,204600.0,8800000.0
2012-03-05,22855,23312,20340,21209,1987121,204160.0,8800000.0
2012-03-06,21026,21163,18055,18284,1430746,176000.0,8800000.0
2012-03-07,17461,18923,16135,17096,1087108,164560.0,8800000.0
2012-03-08,17004,17369,14535,15084,2027647,145200.0,8800000.0
2012-03-09,15221,15495,13621,14444,1301174,139040.0,8800000.0
2012-03-12,14398,15267,14078,14993,1098828,144320.0,8800000.0
2012-03-13,14901,15450,14444,15450,779817,148720.0,8800000.0
2012-03-14,15678,15724,14261,14993,909549,144320.0,8800000.0
2012-03-15,15450,16958,15221,15816,2159879,152240.0,8800000.0
2012-03-16,15587,16135,14444,14490,824874,139480.0,8800000.0
2012-03-19,14078,14627,13713,14079,652707,135520.0,8800000.0
2012-03-20,14398,16181,14352,16181,1496653,155760.0,8800000.0
2012-03-21,15815,17826,15541,15679,2567716,150920.0,8800000.0
2012-03-22,15541,16181,15312,15999,854603,154000.0,8800000.0
2012-03-23,16227,16867,15815,16547,1112821,159280.0,8800000.0
2012-03-26,16501,17049,16135,16181,581688,155760.0,8800000.0
2012-03-27,16638,16729,14764,15221,771429,146520.0,8800000.0
2012-03-28,15084,16089,15084,15221,667922,147577.0,8863500.0
2012-03-29,15175,15267,14032,14444,479412,140043.0,8863500.0
2012-03-30,14352,14947,14261,14764,333366,143146.0,8863500.0
2012-04-02,14718,14764,13575,13804,339296,133839.0,8863500.0
2012-04-03,13804,14901,13347,13622,696012,132066.0,8863500.0
2012-04-04,13758,13895,12250,12616,651779,122316.0,8863500.0
2012-04-05,12615,12890,11747,12067,799784,116998.0,8863500.0
2012-04-06,12387,12615,11884,12022,639772,116555.0,8863500.0
2012-04-09,12067,12067,10513,10605,485323,102817.0,8863500.0
2012-04-10,10924,11838,10330,11062,703574,107248.0,8863500.0
2012-04-12,11838,12707,11610,12707,1340476,123203.0,8863500.0
2012-04-13,12844,13073,12067,12250,824537,118771.0,8863500.0
2012-04-16,12890,14078,12478,14079,1676720,136498.0,8863500.0
2012-04-17,13713,14215,12844,13896,1127746,134725.0,8863500.0
2012-04-18,14170,14215,13393,14079,545802,136498.0,8863500.0
2012-04-19,13895,16181,13850,14947,2145325,144918.0,8863500.0
2012-04-20,15038,16501,14672,15130,1608217,146691.0,8863500.0
2012-04-23,15541,16089,14627,15541,1056715,150680.0,8863500.0
2012-04-24,15175,15450,14307,14353,650184,139157.0,8863500.0
2012-04-25,14764,14901,14352,14444,570159,140043.0,8863500.0
2012-04-26,14490,16592,14398,16044,3096803,155554.0,8863500.0
2012-04-27,16318,17598,15907,17050,1972243,165304.0,8863500.0
2012-04-30,17735,18055,15998,16638,1231409,161316.0,8863500.0
2012-05-02,17004,18695,16958,17873,2038034,173281.0,8863500.0
2012-05-03,17872,18055,17095,17781,665068,172395.0,8863500.0
2012-05-04,18101,18421,17415,17736,646786,171952.0,8863500.0
2012-05-07,17095,17506,16318,16318,510437,158213.0,8863500.0
2012-05-08,16684,17141,16044,16090,574071,155998.0,8863500.0
2012-05-09,16089,16867,15724,16776,608769,162645.0,8863500.0
2012-05-10,16821,17049,16181,16730,463885,162202.0,8863500.0
2012-05-11,17186,17415,15724,16273,507465,157770.0,8863500.0
2012-05-14,16272,16638,15404,15724,377109,152452.0,8863500.0
2012-05-15,15404,15678,14490,15221,499201,147577.0,8863500.0
2012-05-16,15769,16227,15130,15176,677953,147134.0,8863500.0
