코오롱생명과학(102940),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-04-07,23087,26526,23087,26528,23078,184680.0,3420000.0
2009-04-08,30505,30505,30505,30507,21391,212382.0,3420000.0
2009-04-09,35073,35073,35073,35075,228920,244188.0,3420000.0
2009-04-10,40330,40330,40330,40331,50626,280782.0,3420000.0
2009-04-13,46372,46372,46372,46374,21610,322848.0,3420000.0
2009-04-14,53300,53300,47158,53301,1626881,371070.0,3420000.0
2009-04-15,51580,54527,45341,45342,1295989,315666.0,3420000.0
2009-04-16,44210,50106,40478,41905,2227280,291726.0,3420000.0
2009-04-17,43719,44162,39102,39399,759759,274284.0,3420000.0
2009-04-20,38905,43130,37432,39350,1213665,273942.0,3420000.0
2009-04-21,37923,40428,37677,38219,562197,266076.0,3420000.0
2009-04-22,40035,43523,40035,41905,930795,291726.0,3420000.0
2009-04-23,41755,41853,40035,40331,333098,280782.0,3420000.0
2009-04-24,40771,41460,37972,38514,276966,268128.0,3420000.0
2009-04-27,39053,41264,38266,38367,515361,267102.0,3420000.0
2009-04-28,38611,39102,33108,33896,384007,235980.0,3420000.0
2009-04-29,34582,35369,33157,34436,176138,280491.0,4001300.0
2009-04-30,36105,37087,34435,35075,179278,285693.0,4001300.0
2009-05-04,35073,35073,33648,34093,165864,277690.0,4001300.0
2009-05-06,34042,36105,33305,35665,241884,290494.0,4001300.0
2009-05-07,35662,35712,32617,32914,669652,268087.0,4001300.0
2009-05-08,33256,34141,31389,31931,340932,260084.0,4001300.0
2009-05-11,32568,33797,32519,33012,331261,268887.0,4001300.0
2009-05-12,33157,34632,33157,34191,259683,278490.0,4001300.0
2009-05-13,34582,34828,32666,32914,191970,268087.0,4001300.0
2009-05-14,32765,33501,31881,32030,159973,260885.0,4001300.0
2009-05-15,32126,32421,30652,30851,250190,251282.0,4001300.0
2009-05-18,30554,32470,29621,32472,326995,264486.0,4001300.0
2009-05-19,32519,32715,31439,32373,273902,263686.0,4001300.0
2009-05-20,32912,34091,32814,33306,319919,271288.0,4001300.0
2009-05-21,33355,33599,32028,32227,158862,262485.0,4001300.0
2009-05-22,31585,35171,31585,34093,498470,277690.0,4001300.0
2009-05-25,34435,34877,30701,33896,315358,276090.0,4001300.0
2009-05-26,34386,37038,33698,35861,832208,292095.0,4001300.0
2009-05-27,36596,37432,33403,33405,422359,272088.0,4001300.0
2009-05-28,33403,34141,31339,32569,216959,265286.0,4001300.0
