내츄럴엔도텍(168330),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-10-31,22222,25555,22222,23528,1114445,445532.0,5260120.0
2013-11-01,23694,23916,22361,22917,331217,433960.0,5260120.0
2013-11-04,22833,23416,21500,23028,237932,436064.0,5260120.0
2013-11-05,23305,26361,23111,25694,397783,486561.0,5260120.0
2013-11-06,26111,26222,24888,25111,89648,475515.0,5260120.0
2013-11-07,25111,26111,24361,26111,79116,494451.0,5260120.0
2013-11-08,25611,26666,25305,25778,46185,488139.0,5260120.0
2013-11-11,26583,26861,24444,24444,65472,462891.0,5260120.0
2013-11-12,24722,25138,23499,24806,53311,469729.0,5260120.0
2013-11-13,24722,24861,24111,24111,19872,456578.0,5260120.0
2013-11-14,24527,24527,23250,23472,42562,444480.0,5260120.0
2013-11-15,23472,23750,22500,22583,53865,428461.0,5270120.0
2013-11-18,22972,23416,22388,22583,49721,428461.0,5270120.0
2013-11-19,22916,23027,22250,22250,38289,422137.0,5270120.0
2013-11-20,22333,22527,21694,22222,38462,421610.0,5270120.0
2013-11-21,22027,22305,21694,21694,22059,411596.0,5270120.0
2013-11-22,21861,23527,21861,22833,70099,433204.0,5270120.0
2013-11-25,22972,23694,22722,23667,54437,449014.0,5270120.0
2013-11-26,23638,24444,23194,23889,84943,453230.0,5270120.0
2013-11-27,23888,24555,23833,23861,40426,452703.0,5270120.0
2013-11-28,23833,24305,23638,23917,43749,453757.0,5270120.0
2013-11-29,23916,24555,23611,24500,62352,464825.0,5270120.0
2013-12-02,23888,24972,23694,24500,172080,464825.0,5270120.0
2013-12-03,24444,24805,23666,23889,68802,453230.0,5270120.0
2013-12-04,23916,24166,23444,23528,27543,446379.0,5270120.0
2013-12-05,23444,23694,23055,23500,19396,445852.0,5270120.0
2013-12-06,23361,23722,23222,23250,15986,441109.0,5270120.0
2013-12-09,23305,23500,21861,22000,80274,417394.0,5270120.0
2013-12-10,21805,22222,20972,21750,125315,412650.0,5270120.0
2013-12-11,22083,22722,21722,22083,72874,418975.0,5270120.0
2013-12-12,21805,22083,21027,21111,62982,400529.0,5270120.0
2013-12-13,21333,21833,21138,21667,46531,411069.0,5270120.0
2013-12-16,21666,22250,21416,21417,25346,406326.0,5270120.0
2013-12-17,21444,21722,20194,20278,75798,384719.0,5270120.0
2013-12-18,20305,21944,19972,21639,168282,410542.0,5270120.0
2013-12-19,21916,22833,21722,22361,89170,424245.0,5270120.0
2013-12-20,22361,23055,22194,22917,41918,434785.0,5270120.0
2013-12-23,22777,22916,22388,22500,30935,426880.0,5270120.0
2013-12-24,22555,23361,22361,23333,65440,442690.0,5270120.0
2013-12-26,24750,24888,23250,23306,397736,442163.0,5270120.0
2013-12-27,23666,26444,23527,25278,184677,479581.0,5270120.0
2013-12-30,25972,27361,25166,27278,147535,517526.0,5270120.0
2014-01-02,27750,27861,26527,26806,104974,508567.0,5270120.0
2014-01-03,26582,26638,25694,26528,82445,503296.0,5270120.0
2014-01-06,26527,26666,25805,26500,46591,502769.0,5270120.0
2014-01-07,26111,27444,25971,27361,68715,519107.0,5270120.0
2014-01-08,27361,27638,26194,26194,89125,496972.0,5270120.0
2014-01-09,26138,26777,25611,26139,56660,495918.0,5270120.0
2014-01-10,26333,26583,25888,26583,37365,504350.0,5270120.0
2014-01-13,26777,28000,26388,27444,133098,520688.0,5270120.0
2014-01-14,27722,28055,27221,27778,100427,527012.0,5270120.0
2014-01-15,29888,30222,27499,27778,264083,263506.0,5270120.0
2014-01-16,28277,28777,27722,27778,103635,263506.0,5270120.0
2014-01-17,28111,28722,27638,28056,75642,266141.0,5270120.0
2014-01-20,27833,29111,27777,29000,106145,275100.0,5270120.0
2014-01-21,29055,29222,28388,29111,56635,276154.0,5270120.0
2014-01-22,29111,32388,28722,31500,180059,298816.0,5270120.0
2014-01-23,31500,35111,30999,33833,268396,320950.0,5270120.0
2014-01-24,34000,35888,33333,34056,206534,323058.0,5270120.0
2014-01-27,33111,35055,33055,33556,125931,318315.0,5270120.0
2014-01-28,33944,34166,31888,32056,120994,304086.0,5270120.0
2014-01-29,32388,33222,32055,32833,87850,311464.0,5270120.0
2014-02-03,31944,32277,30833,31722,120944,300924.0,5270120.0
2014-02-04,31111,31722,30722,31111,95099,295127.0,5270120.0
2014-02-05,31555,33555,31555,33000,148023,313045.0,5270120.0
2014-02-06,33055,34055,32999,33333,141335,316207.0,5270120.0
2014-02-07,32666,34388,32388,34389,260238,652441.0,10540240.0
