미래에셋대우스팩2호(310200),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-21,2015,2015,2010,2010,658167,6130.0,3050000.0
2018-12-24,2015,2025,2015,2020,183500,6161.0,3050000.0
2018-12-26,2025,2035,2025,2030,40448,6192.0,3050000.0
2018-12-27,2030,2045,2030,2040,22374,6222.0,3050000.0
2018-12-28,2040,2045,2040,2045,9969,6237.0,3050000.0
2019-01-02,2040,2045,2040,2040,15059,6222.0,3050000.0
2019-01-03,2040,2045,2035,2045,18174,6237.0,3050000.0
2019-01-04,2040,2040,2035,2035,6401,6207.0,3050000.0
2019-01-07,2035,2040,2035,2035,6590,6207.0,3050000.0
2019-01-08,2030,2045,2030,2045,19109,6237.0,3050000.0
2019-01-09,2045,2070,2045,2065,32541,6298.0,3050000.0
2019-01-10,2045,2060,2045,2045,3201,6237.0,3050000.0
2019-01-11,2045,2050,2035,2050,23919,6252.0,3050000.0
2019-01-14,2050,2050,2050,2050,1,6252.0,3050000.0
2019-01-15,2050,2050,2040,2050,492,6252.0,3050000.0
2019-01-16,2035,2055,2035,2055,110,6268.0,3050000.0
2019-01-17,2055,2055,2045,2055,1356,6268.0,3050000.0
2019-01-18,2050,2055,2050,2050,3121,6252.0,3050000.0
2019-01-21,2050,2055,2050,2055,5628,6268.0,3050000.0
2019-01-22,2050,2050,2050,2050,99,6252.0,3050000.0
2019-01-23,2050,2060,2050,2060,5001,6283.0,3050000.0
2019-01-24,2050,2060,2050,2060,105,6283.0,3050000.0
2019-01-25,2055,2065,2055,2065,18108,6298.0,3050000.0
2019-01-28,2060,2070,2060,2065,40985,6298.0,3050000.0
2019-01-29,2060,2070,2060,2065,3295,6298.0,3050000.0
2019-01-30,2070,2100,2070,2090,18242,6374.0,3050000.0
2019-01-31,2090,2100,2085,2090,22868,6374.0,3050000.0
2019-02-01,2090,2100,2085,2100,10580,6405.0,3050000.0
2019-02-07,2100,2100,2080,2095,498,6390.0,3050000.0
2019-02-08,2090,2090,2090,2090,500,6374.0,3050000.0
2019-02-11,2085,2090,2085,2090,8703,6374.0,3050000.0
2019-02-12,2090,2090,2090,2090,0,6374.0,3050000.0
2019-02-13,2070,2085,2070,2085,1106,6359.0,3050000.0
2019-02-14,2090,2100,2090,2090,9202,6374.0,3050000.0
2019-02-15,2075,2095,2075,2095,1298,6390.0,3050000.0
2019-02-18,2070,2090,2070,2085,25001,6359.0,3050000.0
2019-02-19,2075,2080,2075,2075,186,6329.0,3050000.0
2019-02-20,2070,2085,2060,2085,18304,6359.0,3050000.0
2019-02-21,2085,2115,2085,2115,11012,6451.0,3050000.0
2019-02-22,2090,2115,2090,2090,170,6374.0,3050000.0
2019-02-25,2090,2090,2090,2090,0,,
2019-02-26,2090,2090,2070,2090,5289,6374.0,3050000.0
2019-02-27,2090,2090,2090,2090,4936,6374.0,3050000.0
2019-02-28,2090,2090,2090,2090,3942,6374.0,3050000.0
2019-03-04,2070,2100,2070,2100,5138,6405.0,3050000.0
2019-03-05,2100,2100,2100,2100,3,6405.0,3050000.0
2019-03-06,2095,2095,2095,2095,0,6390.0,3050000.0
2019-03-07,2090,2090,2090,2090,0,6374.0,3050000.0
2019-03-08,2100,2140,2075,2120,26983,6466.0,3050000.0
2019-03-11,2120,2160,2080,2135,23624,6512.0,3050000.0
2019-03-12,2105,2145,2085,2135,7394,6512.0,3050000.0
2019-03-13,2135,2135,2105,2125,12550,6481.0,3050000.0
2019-03-14,2145,2145,2125,2130,2224,6496.0,3050000.0
2019-03-15,2130,2135,2130,2135,334,6512.0,3050000.0
2019-03-18,2100,2120,2100,2120,302,6466.0,3050000.0
2019-03-19,2120,2120,2095,2095,2763,6390.0,3050000.0
2019-03-20,2105,2135,2100,2100,9209,6405.0,3050000.0
2019-03-21,2105,2115,2085,2100,9261,6405.0,3050000.0
2019-03-22,2125,2125,2090,2090,9608,6374.0,3050000.0
2019-03-25,2110,2125,2110,2125,3,6481.0,3050000.0
2019-03-26,2090,2090,2090,2090,178,6374.0,3050000.0
2019-03-27,2080,2140,2080,2135,10273,6512.0,3050000.0
2019-03-28,2120,2120,2100,2120,14050,6466.0,3050000.0
2019-03-29,2120,2120,2120,2120,5100,6466.0,3050000.0
2019-04-01,2140,2140,2075,2140,158,6527.0,3050000.0
2019-04-02,2130,2140,2130,2140,759,6527.0,3050000.0
2019-04-03,2140,2140,2140,2140,0,6527.0,3050000.0
2019-04-04,2100,2130,2100,2100,1973,6405.0,3050000.0
2019-04-05,2135,2135,2100,2100,2701,6405.0,3050000.0
2019-04-08,2135,2135,2135,2135,200,6512.0,3050000.0
2019-04-09,2135,2135,2135,2135,4,6512.0,3050000.0
2019-04-10,2130,2130,2130,2130,4431,6496.0,3050000.0
2019-04-11,2145,2155,2110,2155,3034,6573.0,3050000.0
2019-04-12,2155,2165,2130,2165,1478,6603.0,3050000.0
2019-04-15,2160,2160,2160,2160,679,6588.0,3050000.0
