스튜디오드래곤(253450),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-11-24,55300,71800,55300,71800,6531671,2013074.0,28037240.0
2017-11-27,75000,81300,69900,71300,5421002,1999055.0,28037240.0
2017-11-28,70700,70700,64000,64000,1682370,1794383.0,28037240.0
2017-11-29,65600,67800,61100,62800,1150710,1760739.0,28037240.0
2017-11-30,63000,65900,60100,64500,1039417,1808402.0,28037240.0
2017-12-01,64200,65200,61200,64100,684438,1797187.0,28037240.0
2017-12-04,66300,66800,63000,64100,513036,1797187.0,28037240.0
2017-12-05,64500,65100,62600,63300,292824,1774757.0,28037240.0
2017-12-06,63300,64000,60000,60400,374562,1693449.0,28037240.0
2017-12-07,60000,60500,55800,57800,483900,1620552.0,28037240.0
2017-12-08,57700,62800,55800,60200,604302,1687842.0,28037240.0
2017-12-11,60400,64100,60200,63500,509388,1780365.0,28037240.0
2017-12-12,63600,63800,61300,62200,221848,1743916.0,28037240.0
2017-12-13,61800,63100,61000,62000,198113,1738309.0,28037240.0
2017-12-14,62600,62700,61000,61200,141395,1715879.0,28037240.0
2017-12-15,61800,61800,59500,59700,138850,1673823.0,28037240.0
2017-12-18,59700,64900,59000,64100,469126,1797187.0,28037240.0
2017-12-19,64500,66100,62000,65100,264963,1825224.0,28037240.0
2017-12-20,64500,65800,63500,65600,191312,1839243.0,28037240.0
2017-12-21,65900,65900,61700,62200,166337,1743916.0,28037240.0
2017-12-22,62000,63100,61000,62100,133700,1741113.0,28037240.0
2017-12-26,59100,60800,59000,60300,448787,1690646.0,28037240.0
2017-12-27,60300,62100,59000,62000,254801,1738309.0,28037240.0
2017-12-28,62000,65600,61400,65000,328115,1822421.0,28037240.0
2018-01-02,64000,66000,63500,65800,243933,1844850.0,28037240.0
2018-01-03,65500,65500,63000,63400,231444,1777561.0,28037240.0
2018-01-04,63000,63100,59500,60000,536708,1682234.0,28037240.0
2018-01-05,60700,60800,59000,59700,297646,1673823.0,28037240.0
2018-01-08,60300,60500,58000,58700,238067,1645786.0,28037240.0
2018-01-09,59000,59400,58100,58400,184615,1637375.0,28037240.0
2018-01-10,60400,62500,59500,62400,435674,1749524.0,28037240.0
2018-01-11,62900,64100,62000,63600,303519,1783168.0,28037240.0
2018-01-12,64200,68500,62600,68500,820943,1920551.0,28037240.0
2018-01-15,69500,70900,67100,69700,571029,1954196.0,28037240.0
2018-01-16,70000,74300,68200,72100,649957,2021485.0,28037240.0
2018-01-17,73000,77000,71900,74400,527685,2085971.0,28037240.0
2018-01-18,78100,81500,76000,76100,650908,2133634.0,28037240.0
2018-01-19,76200,80000,73500,79400,478723,2226157.0,28037240.0
2018-01-22,81000,85700,74000,77000,724471,2158867.0,28037240.0
2018-01-23,77300,82800,74700,82000,442446,2299054.0,28037240.0
2018-01-24,83100,87400,81800,87000,458076,2439240.0,28037240.0
2018-01-25,86800,88200,81600,83500,402983,2341110.0,28037240.0
2018-01-26,83000,85700,80800,85200,290011,2388773.0,28037240.0
2018-01-29,81000,83400,78600,79600,628754,2231764.0,28037240.0
2018-01-30,79600,81600,78100,78300,250194,2195316.0,28037240.0
2018-01-31,77600,81000,77400,79100,231302,2217746.0,28037240.0
2018-02-01,79100,85000,77300,84700,351417,2374754.0,28037240.0
2018-02-02,84300,84500,81400,83300,188298,2335502.0,28037240.0
2018-02-05,80200,81400,77100,77100,229594,2161671.0,28037240.0
2018-02-06,72800,78500,70200,75000,420516,2102793.0,28037240.0
