아미노로직스(074430),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-06-04,2502,2595,2205,2215,924679,47800.0,4000000.0
2004-06-07,2242,2363,2103,2289,329050,49400.0,4000000.0
2004-06-08,2354,2372,2187,2206,136467,47600.0,4000000.0
2004-06-09,2205,2289,2140,2159,157594,46600.0,4000000.0
2004-06-10,2122,2205,2103,2169,69229,46800.0,4000000.0
2004-06-11,2140,2150,1909,1909,103184,41200.0,4000000.0
2004-06-14,1853,1909,1686,1798,162643,38800.0,4000000.0
2004-06-15,1853,1890,1612,1696,281497,36600.0,4000000.0
2004-06-16,1679,1705,1547,1600,98945,34520.0,4000000.0
2004-06-17,1579,1649,1506,1538,128684,33200.0,4000000.0
2004-06-18,1521,1594,1484,1594,97447,34400.0,4000000.0
2004-06-21,1631,1649,1486,1487,134385,32080.0,4000000.0
2004-06-22,1488,1488,1319,1483,123818,32000.0,4000000.0
2004-06-23,1557,1660,1547,1603,295325,34600.0,4000000.0
2004-06-24,1594,1621,1488,1498,70918,32320.0,4000000.0
2004-06-25,1482,1501,1425,1450,48623,31280.0,4000000.0
2004-06-28,1427,1455,1360,1361,54767,29360.0,4000000.0
2004-06-29,1353,1421,1353,1364,54891,29440.0,4000000.0
2004-06-30,1388,1527,1379,1527,145042,32960.0,4000000.0
2004-07-01,1571,1597,1466,1466,120946,31640.0,4000000.0
2004-07-02,1453,1453,1358,1394,42852,30080.0,4000000.0
2004-07-05,1395,1418,1342,1375,26284,29680.0,4000000.0
2004-07-06,1353,1386,1334,1346,33884,29040.0,4000000.0
2004-07-07,1316,1347,1297,1323,38769,28560.0,4000000.0
2004-07-08,1334,1343,1278,1283,38117,27680.0,4000000.0
2004-07-09,1267,1323,1267,1292,28564,27880.0,4000000.0
2004-07-12,1297,1345,1288,1288,39986,27800.0,4000000.0
2004-07-13,1303,1399,1288,1338,70856,28880.0,4000000.0
2004-07-14,1356,1356,1241,1246,39699,26880.0,4000000.0
2004-07-15,1245,1267,1164,1183,39367,25520.0,4000000.0
2004-07-16,1169,1186,1114,1147,43215,24760.0,4000000.0
2004-07-19,1147,1173,1130,1144,24880,24680.0,4000000.0
2004-07-20,1141,1149,1093,1094,30510,23600.0,4000000.0
2004-07-21,1102,1126,1093,1110,29104,23960.0,4000000.0
2004-07-22,1065,1091,1012,1012,36512,21840.0,4000000.0
2004-07-23,1013,1047,986,990,26269,21360.0,4000000.0
2004-07-26,963,1010,939,1010,82972,21800.0,4000000.0
