네이블커뮤니케이션즈(153460),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-07-19,9261,10643,7963,8151,3813851,37771.0,4326601.0
2012-07-20,8337,8869,7758,8216,1697256,38074.0,4326601.0
2012-07-23,8542,8701,7926,7927,887403,36733.0,4326601.0
2012-07-24,7842,7907,6871,6965,1151128,32276.0,4326601.0
2012-07-25,6927,7310,6619,6619,633059,30676.0,4326601.0
2012-07-26,6731,6815,6283,6405,468195,29680.0,4326601.0
2012-07-27,6778,7356,6600,7357,750759,34094.0,4326601.0
2012-07-30,7609,8169,7160,7432,2225485,34440.0,4326601.0
2012-07-31,7356,7553,7235,7525,612325,34872.0,4326601.0
2012-08-01,7487,7553,7198,7264,336681,33661.0,4326601.0
2012-08-02,7207,7235,6703,6722,360269,31376.0,4357801.0
2012-08-03,6628,6852,6432,6778,197276,31638.0,4357801.0
2012-08-06,6955,7282,6750,6778,164840,31638.0,4357801.0
2012-08-07,7002,7786,6908,7376,1221101,34427.0,4357801.0
2012-08-08,7469,7786,7216,7282,331988,33991.0,4357801.0
2012-08-09,7394,7571,7235,7469,238403,34862.0,4357801.0
2012-08-10,7562,7655,7300,7488,209664,34950.0,4357801.0
2012-08-13,7562,7683,7450,7590,160453,35429.0,4357801.0
2012-08-14,7702,7926,7562,7796,500065,36388.0,4357801.0
2012-08-16,7935,7954,7553,7618,231747,35560.0,4357801.0
2012-08-17,7655,8253,7487,8132,867535,37956.0,4357801.0
2012-08-20,8206,8206,7982,8123,208778,37913.0,4357801.0
2012-08-21,8178,8804,7991,8627,487920,40266.0,4357801.0
2012-08-22,8682,9018,8468,8860,275526,41356.0,4357801.0
2012-08-23,8860,8906,8626,8804,161112,41094.0,4357801.0
2012-08-24,8794,8813,8327,8655,142074,40397.0,4357801.0
2012-08-27,8542,8608,8309,8403,127514,39220.0,4357801.0
2012-08-28,8383,8962,8374,8907,268061,41573.0,4357801.0
2012-08-29,9149,9336,8897,9187,344628,42881.0,4357801.0
2012-08-30,9289,10550,9214,10550,871789,49243.0,4357801.0
2012-08-31,11016,11950,10550,10597,1651817,49461.0,4357801.0
2012-09-03,10596,11063,10409,11063,429932,51640.0,4357801.0
2012-09-04,11063,11717,10550,10923,525941,50986.0,4357801.0
2012-09-05,11016,11110,10223,10223,293808,47718.0,4357801.0
2012-09-06,10409,11063,10316,10737,319878,50115.0,4357801.0
2012-09-07,11156,11156,10409,10690,355491,49897.0,4357801.0
2012-09-10,10596,11343,10363,11063,396407,51640.0,4357801.0
2012-09-11,10923,11390,10830,10970,245401,51204.0,4357801.0
2012-09-12,11296,12183,10923,11204,906902,52294.0,4357801.0
2012-09-13,11296,11623,10876,11157,301038,52106.0,4360366.0
2012-09-14,11250,11250,10269,10457,348496,48836.0,4360366.0
2012-09-17,10409,10596,10129,10410,198589,48618.0,4360366.0
2012-09-18,10409,10736,10176,10737,170015,50144.0,4360366.0
2012-09-19,10736,10876,10409,10597,161227,49490.0,4360366.0
2012-09-20,10643,11530,10550,11390,505118,53196.0,4360366.0
2012-09-21,11483,11810,11250,11810,289465,55159.0,4360366.0
2012-09-24,11903,12090,11530,11530,263598,53851.0,4360366.0
2012-09-25,11436,11950,10596,11017,247107,51452.0,4360366.0
2012-09-26,10970,11203,10783,11017,141214,51452.0,4360366.0
2012-09-27,10923,11016,10176,10223,197377,47746.0,4360366.0
