메디아나(041920),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-07-01,3120,3120,3120,3120,2000,17901.0,5737580.0
2013-07-02,0,0,0,3385,0,19422.0,5737580.0
2013-07-03,3000,3000,3000,3000,1000,17213.0,5737580.0
2013-07-04,0,0,0,3000,0,17213.0,5737580.0
2013-07-05,0,0,0,3000,0,,
2013-07-08,0,0,0,3000,0,,
2013-07-09,0,0,0,3000,0,,
2013-07-10,0,0,0,3000,0,,
2013-07-11,0,0,0,3000,0,,
2013-07-12,0,0,0,3000,0,,
2013-07-15,0,0,0,3000,0,,
2013-07-16,0,0,0,3000,0,,
2013-07-17,0,0,0,3000,0,,
2013-07-18,3400,3400,3400,3400,100,19508.0,5737580.0
2013-07-19,0,0,0,3400,0,19508.0,5737580.0
2013-07-22,3400,3400,3400,3400,1000,19508.0,5737580.0
2013-07-23,0,0,0,3400,0,,
2013-07-24,0,0,0,3400,0,,
2013-07-25,0,0,0,3400,0,,
2013-07-26,3400,3400,3400,3400,1000,,
2013-07-29,0,0,0,3400,0,,
2013-07-30,3400,3400,3400,3400,2000,19508.0,5737580.0
2013-07-31,0,0,0,3400,0,,
2013-08-01,0,0,0,3400,0,,
2013-08-02,0,0,0,3400,0,,
2013-08-05,0,0,0,3400,0,,
2013-08-06,0,0,0,3400,0,,
2013-08-07,0,0,0,3400,0,,
2013-08-08,3100,3910,3100,3450,396200,19795.0,5737580.0
2013-08-09,3800,3800,3800,3800,42000,21803.0,5737580.0
2013-08-12,3600,3700,3600,3700,3000,21229.0,5737580.0
2013-08-13,4250,4250,3700,3700,2200,21229.0,5737580.0
2013-08-14,0,0,0,3710,0,21286.0,5737580.0
2013-08-16,0,0,0,3715,0,21315.0,5737580.0
2013-08-19,0,0,0,3800,0,21803.0,5737580.0
2013-08-20,0,0,0,3800,0,21803.0,5737580.0
2013-08-21,0,0,0,3800,0,,
2013-08-22,3510,3510,3510,3510,100,20139.0,5737580.0
2013-08-23,0,0,0,3700,0,21229.0,5737580.0
2013-08-26,3550,3550,3550,3550,550,20368.0,5737580.0
