켐트로닉스(089010),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-01-17,4773,5481,4446,5483,1513499,36313.0,3227820.0
2007-01-18,5358,5407,4676,4678,653237,30987.0,3227820.0
2007-01-19,4504,4510,4041,4118,334196,27275.0,3227820.0
2007-01-22,4213,4334,4090,4133,220008,27372.0,3227820.0
2007-01-23,4089,4270,3968,4022,147991,26630.0,3227820.0
2007-01-24,4028,4086,3962,4022,89705,26630.0,3227820.0
2007-01-25,4041,4266,4017,4118,109600,27275.0,3227820.0
2007-01-26,4168,4202,4057,4168,64567,27598.0,3227820.0
2007-01-29,4213,4261,4148,4178,60510,27662.0,3227820.0
2007-01-30,4140,4198,4032,4056,72167,31231.0,3753750.0
2007-01-31,3998,4174,3998,4037,70170,31081.0,3753750.0
2007-02-01,4032,4067,4017,4042,28376,31119.0,3753750.0
2007-02-02,4056,4056,3988,4022,41273,30968.0,3753750.0
2007-02-05,4061,4143,3997,4148,68306,31944.0,3753750.0
2007-02-06,4194,4432,4182,4280,120580,32958.0,3753750.0
2007-02-07,4282,4462,4243,4392,106355,33821.0,3753750.0
2007-02-08,4364,4555,4364,4475,87907,34459.0,3753750.0
2007-02-09,4412,4616,4412,4512,71328,34760.0,3753750.0
2007-02-12,4450,4519,4432,4512,39506,34760.0,3753750.0
2007-02-13,4476,4749,4476,4684,161307,36074.0,3753750.0
2007-02-14,4749,4773,4562,4612,77997,35510.0,3753750.0
2007-02-15,4539,4623,4539,4596,30682,39396.0,4177750.0
2007-02-16,4714,4968,4603,4776,131167,40942.0,4177750.0
2007-02-20,4734,5480,4734,5460,544564,46791.0,4177750.0
2007-02-21,5307,5601,5236,5264,252422,45120.0,4177750.0
2007-02-22,5261,5431,5163,5362,137845,45955.0,4177750.0
2007-02-23,5358,5676,5261,5507,318627,47209.0,4177750.0
2007-02-26,5601,5820,5454,5460,256012,46791.0,4177750.0
2007-02-27,5407,5554,5114,5119,210473,43866.0,4177750.0
2007-02-28,4796,5016,4627,4875,125109,41778.0,4177750.0
2007-03-02,4773,4943,4773,4850,95476,41569.0,4177750.0
2007-03-05,4749,4846,4642,4656,112428,39898.0,4177750.0
2007-03-06,4627,4967,4627,4948,75923,42404.0,4177750.0
2007-03-07,4967,5090,4895,4923,84331,42195.0,4177750.0
2007-03-08,5017,5237,5017,5215,126762,44702.0,4177750.0
2007-03-09,5212,5407,5138,5190,82318,44493.0,4177750.0
2007-03-12,5189,5261,5017,5143,146786,44075.0,4177750.0
2007-03-13,5189,5308,5138,5143,112835,44075.0,4177750.0
2007-03-14,5065,5113,4895,5020,87256,43031.0,4177750.0
2007-03-15,5042,5261,5042,5190,145820,44493.0,4177750.0
2007-03-16,5189,5261,5091,5095,107337,43657.0,4177750.0
2007-03-19,5091,5308,5042,5167,294151,44284.0,4177750.0
2007-03-20,5261,5919,5211,5923,793385,50760.0,4177750.0
2007-03-21,6162,6553,5868,6240,1089789,53475.0,4177750.0
2007-03-22,6186,6722,6089,6727,570203,57653.0,4177750.0
2007-03-23,6820,6967,6113,6118,616517,52431.0,4177750.0
2007-03-26,6113,6308,5968,6191,331789,53057.0,4177750.0
2007-03-27,6259,6429,6113,6386,375887,54729.0,4177750.0
2007-03-28,6356,6456,5943,6167,413075,52849.0,4177750.0
2007-03-29,6309,6479,6162,6434,304171,55146.0,4177750.0
2007-03-30,6601,7113,6504,6604,804054,56609.0,4177750.0
2007-04-02,6722,6846,6553,6824,396594,58488.0,4177750.0
