아바코(083930),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-10-11,5503,6326,5206,6327,1418679,68060.0,8200000.0
2005-10-12,6632,6951,6097,6442,1255659,69290.0,8200000.0
2005-10-13,6448,6479,5739,5946,344265,63960.0,8200000.0
2005-10-14,5945,6136,5412,5565,212049,59860.0,8200000.0
2005-10-17,5274,5488,4734,4764,350772,51250.0,8200000.0
2005-10-18,4764,4878,4466,4688,218227,50430.0,8200000.0
2005-10-19,4520,4726,4360,4391,137229,47232.0,8200000.0
2005-10-20,4398,5038,4398,4688,245612,50430.0,8200000.0
2005-10-21,4451,4802,4451,4559,97843,49036.0,8200000.0
2005-10-24,4573,4947,4558,4719,139419,50758.0,8200000.0
2005-10-25,4771,4771,4504,4528,91300,48708.0,8200000.0
2005-10-26,4535,4634,4360,4635,86006,49856.0,8200000.0
2005-10-27,4558,4687,4496,4498,39272,48380.0,8200000.0
2005-10-28,4383,4512,4268,4269,66412,45920.0,8200000.0
2005-10-31,4383,4383,4154,4155,40691,44690.0,8200000.0
2005-11-01,4054,4268,4054,4140,63779,44526.0,8200000.0
2005-11-02,4116,4360,4116,4216,52245,45346.0,8200000.0
2005-11-03,4230,4710,4215,4528,112066,48708.0,8200000.0
2005-11-04,4726,4878,4535,4567,62500,49118.0,8200000.0
2005-11-07,4611,4817,4581,4726,73690,50840.0,8200000.0
2005-11-08,4665,4764,4573,4650,54393,50020.0,8200000.0
2005-11-09,4718,5084,4718,5001,187990,53792.0,8200000.0
2005-11-10,5176,5397,5046,5336,135784,57400.0,8200000.0
2005-11-11,5297,5404,4687,4734,257977,50922.0,8200000.0
2005-11-14,5183,5183,4764,4803,149242,51660.0,8200000.0
2005-11-15,4847,4870,4611,4688,117704,50430.0,8200000.0
2005-11-16,4649,4802,4649,4726,69043,50840.0,8200000.0
2005-11-17,4955,4962,4695,4803,183616,51660.0,8200000.0
2005-11-18,4832,4855,4680,4772,73883,51332.0,8200000.0
2005-11-21,4771,4908,4695,4696,152642,50512.0,8200000.0
2005-11-22,4726,4786,4436,4505,133669,48462.0,8200000.0
2005-11-23,4496,4855,4496,4719,154479,50758.0,8200000.0
2005-11-24,4802,4908,4649,4780,234912,51414.0,8200000.0
2005-11-25,4840,5160,4840,4849,534830,52152.0,8200000.0
2005-11-28,4970,5282,4886,5191,563019,55842.0,8200000.0
2005-11-29,5221,5313,4939,5070,276927,54530.0,8200000.0
2005-11-30,5007,5259,4893,5222,265068,56170.0,8200000.0
2005-12-01,5373,5892,5252,5336,805808,57400.0,8200000.0
2005-12-02,5381,5450,5084,5230,333651,56252.0,8200000.0
2005-12-05,5313,5412,5183,5344,291219,57482.0,8200000.0
2005-12-06,5480,5648,5335,5527,456564,59450.0,8200000.0
2005-12-07,5526,5594,5107,5107,378738,54940.0,8200000.0
2005-12-08,5046,5099,4649,4879,292195,52480.0,8200000.0
2005-12-09,4771,4947,4764,4772,166151,51332.0,8200000.0
2005-12-12,4687,5221,4687,5107,340203,54940.0,8200000.0
2005-12-13,5176,5701,5107,5641,1204929,60680.0,8200000.0
2005-12-14,5793,6090,5602,5946,752039,63960.0,8200000.0
2005-12-15,6097,6097,5731,5832,693902,62730.0,8200000.0
2005-12-16,5724,6037,5633,5710,278039,61418.0,8200000.0
2005-12-19,5572,5892,5549,5679,265311,61090.0,8200000.0
2005-12-20,5640,5816,5442,5641,283745,60680.0,8200000.0
2005-12-21,5572,5854,5564,5794,339285,62320.0,8200000.0
2005-12-22,5793,5869,4923,4925,515688,52972.0,8200000.0
2005-12-23,4810,4862,4268,4574,401528,49200.0,8200000.0
2005-12-26,4581,4779,4581,4650,178414,50020.0,8200000.0
2005-12-27,4626,4741,4444,4574,184697,49200.0,8200000.0
2005-12-28,4436,4680,4436,4658,135172,50102.0,8200000.0
2005-12-29,4581,4802,4573,4803,163901,51660.0,8200000.0
2006-01-02,4893,4901,4741,4764,142913,51250.0,8200000.0
2006-01-03,4764,4810,4611,4650,145785,50020.0,8200000.0
2006-01-04,4726,4756,4619,4628,118716,49774.0,8200000.0
2006-01-05,4726,4726,4535,4551,119319,48954.0,8200000.0
2006-01-06,4596,4734,4535,4711,261523,50676.0,8200000.0
2006-01-09,4771,4771,4596,4612,119448,49610.0,8200000.0
2006-01-10,4604,4604,4283,4299,300248,46248.0,8200000.0
2006-01-11,4245,4390,4154,4346,149172,46740.0,8200000.0
2006-01-12,4383,4573,4306,4574,240815,49200.0,8200000.0
