노랑풍선(104620),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-01-30,30350,39350,30350,34150,5458981,162747.0,4765650.0
2019-01-31,34850,37300,31500,31900,1555169,152024.0,4765650.0
2019-02-01,32050,32150,28900,29200,644078,139157.0,4765650.0
2019-02-07,29450,29500,27900,28200,241057,134391.0,4765650.0
2019-02-08,28500,29250,28200,28600,332090,136298.0,4765650.0
2019-02-11,29900,33900,29250,31500,1539205,150118.0,4765650.0
2019-02-12,31700,32300,30100,30650,293843,146067.0,4765650.0
2019-02-13,30650,31000,30050,31000,171100,147735.0,4765650.0
2019-02-14,30500,30650,29600,29800,173346,142016.0,4765650.0
2019-02-15,29500,30250,29300,29400,97777,140110.0,4765650.0
2019-02-18,29650,29700,28600,29250,108571,139395.0,4765650.0
2019-02-19,29600,30700,29450,30700,292922,146305.0,4765650.0
2019-02-20,30400,30550,29900,30450,120777,145114.0,4765650.0
2019-02-21,30600,30950,30200,30900,143110,147259.0,4765650.0
2019-02-22,30850,30900,29950,30000,122005,142970.0,4765650.0
2019-02-25,30000,30300,29400,29400,79758,140110.0,4765650.0
2019-02-26,29500,29800,29450,29600,42513,141063.0,4765650.0
2019-02-27,29800,29950,29350,29700,45811,141540.0,4765650.0
2019-02-28,29950,30100,27000,28450,76839,135583.0,4765650.0
2019-03-04,28450,28850,28300,28400,68946,135344.0,4765650.0
2019-03-05,28250,28550,27750,28000,65174,133438.0,4765650.0
2019-03-06,28400,28400,27600,27850,43317,132723.0,4765650.0
2019-03-07,27850,28000,27550,27700,43988,132009.0,4765650.0
2019-03-08,27500,27850,27150,27750,44712,132247.0,4765650.0
2019-03-11,27950,27950,26950,27100,50163,129149.0,4765650.0
2019-03-12,27100,27350,26950,27100,35223,129149.0,4765650.0
2019-03-13,27300,27300,26800,26900,38635,128196.0,4765650.0
2019-03-14,26900,27300,26850,27200,28900,129626.0,4765650.0
2019-03-15,27350,28750,27350,28200,146222,134391.0,4765650.0
2019-03-18,28400,28600,27750,28250,62296,134630.0,4765650.0
2019-03-19,28400,29150,28300,29000,134663,138204.0,4765650.0
2019-03-20,29400,29400,28400,29000,92822,138204.0,4765650.0
2019-03-21,29200,29300,28500,28900,56791,137727.0,4765650.0
2019-03-22,28700,28950,28500,28700,28586,136774.0,4765650.0
2019-03-25,28250,28350,27400,27800,50944,132485.0,4765650.0
2019-03-26,27650,28050,27550,28050,23348,133676.0,4765650.0
2019-03-27,27700,28100,27200,27200,31565,129626.0,4765650.0
