한국제6호스팩(281410),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-12-21,1965,1995,1965,1975,3876,8907.0,4510000.0
2017-12-22,1975,1975,1955,1970,106290,8885.0,4510000.0
2017-12-26,1965,1970,1950,1965,16878,8862.0,4510000.0
2017-12-27,1960,1960,1945,1960,12656,8840.0,4510000.0
2017-12-28,1950,1965,1950,1965,10256,8862.0,4510000.0
2018-01-02,1970,1970,1955,1970,1380,8885.0,4510000.0
2018-01-03,1970,1970,1950,1960,23353,8840.0,4510000.0
2018-01-04,1960,1975,1950,1975,15748,8907.0,4510000.0
2018-01-05,1960,2000,1950,1980,21903,8930.0,4510000.0
2018-01-08,1990,1990,1970,1985,36694,8952.0,4510000.0
2018-01-09,1975,1985,1975,1985,7433,8952.0,4510000.0
2018-01-10,1985,2085,1985,1990,53694,8975.0,4510000.0
2018-01-11,1990,2010,1990,2010,8910,9065.0,4510000.0
2018-01-12,1985,2000,1960,1990,94163,8975.0,4510000.0
2018-01-15,1960,1990,1960,1975,66018,8907.0,4510000.0
2018-01-16,1970,1975,1960,1965,63618,8862.0,4510000.0
2018-01-17,1960,1965,1960,1965,8372,8862.0,4510000.0
2018-01-18,1965,1970,1965,1965,13966,8862.0,4510000.0
2018-01-19,1965,1970,1965,1965,5211,8862.0,4510000.0
2018-01-22,1965,1975,1955,1970,7941,8885.0,4510000.0
2018-01-23,1960,1970,1960,1970,5397,8885.0,4510000.0
2018-01-24,1970,1985,1970,1980,8301,8930.0,4510000.0
2018-01-25,1975,1980,1975,1975,4346,8907.0,4510000.0
2018-01-26,1970,1985,1970,1985,6476,8952.0,4510000.0
2018-01-29,1985,1985,1975,1975,6422,8907.0,4510000.0
2018-01-30,1975,1985,1960,1970,119629,8885.0,4510000.0
2018-01-31,1980,1980,1970,1980,5003,8930.0,4510000.0
2018-02-01,1980,1985,1975,1985,7509,8952.0,4510000.0
2018-02-02,1985,1990,1965,1970,49355,8885.0,4510000.0
2018-02-05,1990,1990,1965,1985,7556,8952.0,4510000.0
2018-02-06,1980,1990,1965,1965,43269,8862.0,4510000.0
2018-02-07,1970,1985,1965,1965,27938,8862.0,4510000.0
2018-02-08,1985,1985,1980,1985,603,8952.0,4510000.0
2018-02-09,1985,1985,1980,1985,3282,8952.0,4510000.0
2018-02-12,1970,1985,1970,1980,1777,8930.0,4510000.0
2018-02-13,1985,1990,1975,1980,19128,8930.0,4510000.0
2018-02-14,1985,1985,1970,1970,55,8885.0,4510000.0
2018-02-19,1985,1990,1970,1985,8154,8952.0,4510000.0
2018-02-20,1985,1990,1985,1985,7596,8952.0,4510000.0
2018-02-21,1985,1995,1985,1990,5684,8975.0,4510000.0
2018-02-22,1995,2000,1990,1990,16242,8975.0,4510000.0
2018-02-23,1995,2000,1990,1995,4054,8997.0,4510000.0
2018-02-26,1995,1995,1990,1990,946,8975.0,4510000.0
2018-02-27,1995,2000,1995,1995,13182,8997.0,4510000.0
2018-02-28,2000,2000,1995,1995,1592,8997.0,4510000.0
2018-03-02,2000,2000,1995,1995,983,8997.0,4510000.0
2018-03-05,2000,2005,1995,2000,6911,9020.0,4510000.0
2018-03-06,2000,2005,2000,2000,43752,9020.0,4510000.0
2018-03-07,2005,2005,1990,2005,451,9043.0,4510000.0
2018-03-08,2000,2000,2000,2000,50,9020.0,4510000.0
2018-03-09,2000,2005,1995,2005,18377,9043.0,4510000.0
2018-03-12,1995,2005,1995,2000,1249,9020.0,4510000.0
2018-03-13,1995,2005,1995,2005,6185,9043.0,4510000.0
2018-03-14,1995,2005,1995,2000,7053,9020.0,4510000.0
2018-03-15,2000,2000,1995,2000,5210,9020.0,4510000.0
2018-03-16,2000,2350,1995,1995,270014,8997.0,4510000.0
2018-03-19,2020,2025,2000,2020,56663,9110.0,4510000.0
2018-03-20,2015,2015,2000,2005,8528,9043.0,4510000.0
2018-03-21,2015,2025,2010,2010,4561,9065.0,4510000.0
2018-03-22,2010,2020,2000,2005,17597,9043.0,4510000.0
2018-03-23,2005,2040,2005,2025,3477,9133.0,4510000.0
2018-03-26,2005,2030,2005,2025,10032,9133.0,4510000.0
2018-03-27,2005,2020,2005,2020,7168,9110.0,4510000.0
2018-03-28,2020,2025,2020,2025,3510,9133.0,4510000.0
2018-03-29,2020,2020,2020,2020,0,9110.0,4510000.0
2018-03-30,2005,2020,2000,2020,10101,9110.0,4510000.0
2018-04-02,1995,2020,1995,2000,39533,9020.0,4510000.0
2018-04-03,2000,2010,2000,2010,324,9065.0,4510000.0
2018-04-04,2015,2015,2000,2010,10854,9065.0,4510000.0
