알엔투테크놀로지(148250),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-12-24,6000,6000,6000,6000,200,14321.0,2386828.0
2013-12-26,0,0,0,6000,0,14321.0,2386828.0
2013-12-27,0,0,0,6000,0,,
2013-12-30,0,0,0,6000,0,,
2014-01-02,0,0,0,6000,0,,
2014-01-03,0,0,0,6000,0,,
2014-01-06,0,0,0,6000,0,,
2014-01-07,0,0,0,6000,0,,
2014-01-08,0,0,0,6000,0,,
2014-01-09,0,0,0,6000,0,,
2014-01-10,0,0,0,6000,0,,
2014-01-13,0,0,0,6000,0,,
2014-01-14,0,0,0,6000,0,,
2014-01-15,0,0,0,6000,0,,
2014-01-16,0,0,0,6000,0,,
2014-01-17,0,0,0,6000,0,,
2014-01-20,0,0,0,6000,0,,
2014-01-21,0,0,0,6000,0,,
2014-01-22,0,0,0,6000,0,,
2014-01-23,0,0,0,6000,0,,
2014-01-24,0,0,0,6000,0,,
2014-01-27,0,0,0,6000,0,,
2014-01-28,0,0,0,6000,0,,
2014-01-29,0,0,0,6000,0,,
2014-02-03,5670,5670,5670,5670,200,13533.0,2386828.0
2014-02-04,5670,5670,5670,5670,200,13533.0,2386828.0
2014-02-05,5670,5670,5670,5670,200,,
2014-02-06,0,0,0,5670,0,13533.0,2386828.0
2014-02-07,5350,5350,5350,5350,200,12770.0,2386828.0
2014-02-10,5000,5000,5000,5000,200,11934.0,2386828.0
2014-02-11,4720,4720,4720,4720,300,11266.0,2386828.0
2014-02-12,0,0,0,4700,0,11218.0,2386828.0
2014-02-13,4435,4435,4435,4435,300,10586.0,2386828.0
2014-02-14,4180,4180,4180,4180,300,9977.0,2386828.0
2014-02-17,3925,3925,3925,3925,300,9368.0,2386828.0
2014-02-18,3340,3340,3340,3340,300,7972.0,2386828.0
2014-02-19,0,0,0,3010,0,7184.0,2386828.0
2014-02-20,0,0,0,3010,0,7184.0,2386828.0
2014-02-21,0,0,0,3010,0,,
2014-02-24,0,0,0,3010,0,,
2014-02-25,0,0,0,3010,0,,
2014-02-26,0,0,0,3010,0,,
2014-02-27,0,0,0,3450,0,8235.0,2386828.0
2014-02-28,0,0,0,3960,0,9452.0,2386828.0
2014-03-03,0,0,0,3960,0,9452.0,2386828.0
2014-03-04,4550,4550,4550,4550,100,10860.0,2386828.0
2014-03-05,0,0,0,5220,0,12459.0,2386828.0
2014-03-06,0,0,0,5220,0,12459.0,2386828.0
2014-03-07,0,0,0,5220,0,,
2014-03-10,0,0,0,5220,0,,
2014-03-11,0,0,0,5220,0,,
2014-03-12,0,0,0,5220,0,,
2014-03-13,0,0,0,5220,0,,
2014-03-14,0,0,0,5220,0,,
2014-03-17,0,0,0,5220,0,,
2014-03-18,0,0,0,5220,0,,
2014-03-19,0,0,0,5220,0,,
2014-03-20,0,0,0,5220,0,,
2014-03-21,0,0,0,5220,0,,
2014-03-24,0,0,0,5220,0,,
2014-03-25,0,0,0,5220,0,,
2014-03-26,0,0,0,5220,0,,
2014-03-27,0,0,0,5220,0,,
2014-03-28,0,0,0,5220,0,,
2014-03-31,0,0,0,5220,0,,
2014-04-01,0,0,0,5220,0,,
2014-04-02,0,0,0,5220,0,,
2014-04-03,0,0,0,5220,0,,
2014-04-04,5220,5220,5220,5220,1500,12459.0,2386828.0
2014-04-07,5500,5500,5500,5500,2000,13128.0,2386828.0
2014-04-08,0,0,0,5990,0,14297.0,2386828.0
2014-04-09,6000,6000,6000,6000,2000,14321.0,2386828.0
2014-04-10,0,0,0,6000,0,,
2014-04-11,0,0,0,6000,0,,
2014-04-14,0,0,0,6000,0,,
2014-04-15,0,0,0,6000,0,,
2014-04-16,6000,6000,6000,6000,100,14321.0,2386828.0
2014-04-17,6900,6900,6900,6900,200,16469.0,2386828.0
2014-04-18,0,0,0,6900,0,16469.0,2386828.0
2014-04-21,0,0,0,6900,0,,
2014-04-22,0,0,0,6900,0,,
2014-04-23,0,0,0,6900,0,,
2014-04-24,0,0,0,6900,0,,
2014-04-25,0,0,0,6900,0,,
2014-04-28,0,0,0,6900,0,,
2014-04-29,0,0,0,6900,0,,
2014-04-30,0,0,0,6900,0,,
2014-05-02,0,0,0,6900,0,,
2014-05-07,0,0,0,6900,0,,
2014-05-08,0,0,0,6900,0,,
2014-05-09,0,0,0,6900,0,,
2014-05-12,0,0,0,6900,0,,
2014-05-13,0,0,0,6900,0,,
2014-05-14,0,0,0,6900,0,,
2014-05-15,0,0,0,6900,0,,
2014-05-16,0,0,0,6900,0,,
2014-05-19,0,0,0,6900,0,,
2014-05-20,0,0,0,6900,0,,
2014-05-21,0,0,0,6900,0,,
2014-05-22,0,0,0,6900,0,,
2014-05-23,0,0,0,6900,0,,
2014-05-26,0,0,0,6900,0,,
2014-05-27,0,0,0,6900,0,,
2014-05-28,0,0,0,6900,0,,
2014-05-29,0,0,0,6900,0,,
2014-05-30,0,0,0,6900,0,,
2014-06-02,0,0,0,6900,0,,
2014-06-03,0,0,0,6900,0,,
2014-06-05,0,0,0,6900,0,,
2014-06-09,0,0,0,6900,0,,
2014-06-10,0,0,0,6900,0,,
2014-06-11,0,0,0,6900,0,,
2014-06-12,0,0,0,6900,0,,
2014-06-13,0,0,0,6900,0,,
2014-06-16,0,0,0,6900,0,,
2014-06-17,0,0,0,6900,0,,
2014-06-18,0,0,0,6900,0,,
2014-06-19,0,0,0,6900,0,,
2014-06-20,0,0,0,6900,0,,
2014-06-23,6900,6900,6900,6900,0,,
2014-06-24,6900,6900,6900,6900,0,,
2014-06-25,6900,6900,6900,6900,0,,
2014-06-26,6900,6900,6900,6900,0,,
2014-06-27,6900,6900,6900,6900,0,,
2014-06-30,6900,6900,6900,6900,0,,
2014-07-01,6900,6900,6900,6900,0,,
2014-07-02,6900,6900,6900,6900,0,,
2014-07-03,6900,6900,6900,6900,0,,
2014-07-04,6900,6900,6900,6900,0,,
2014-07-07,6900,6900,6900,6900,0,,
2014-07-08,6900,6900,6900,6900,0,,
2014-07-09,6900,6900,6900,6900,0,,
2014-07-10,6900,6900,6900,6900,0,,
2014-07-11,6900,6900,6900,6900,0,,
