알파홀딩스(117670),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-09-17,14592,16757,14262,15581,2577291,66472.0,4016448.0
2010-09-20,16474,16710,13274,13651,1143613,58238.0,4016448.0
2010-09-24,13885,13885,12426,12427,398656,53017.0,4016448.0
2010-09-27,12662,12756,11956,12238,186768,52214.0,4016448.0
2010-09-28,12238,12473,11814,11909,199491,50808.0,4016448.0
2010-09-29,11956,13415,11765,12474,400319,53218.0,4016448.0
2010-09-30,12285,12567,11814,11815,143525,50406.0,4016448.0
2010-10-01,11720,12003,11577,11627,85741,49603.0,4016448.0
2010-10-04,11673,13368,11391,13368,517622,57034.0,4016448.0
2010-10-05,14025,14968,12426,12662,1172103,54021.0,4016448.0
2010-10-06,12756,12756,12144,12568,236101,53620.0,4016448.0
2010-10-07,12707,13368,12567,12568,386610,53620.0,4016448.0
2010-10-08,12473,12662,12050,12050,144958,51411.0,4016448.0
2010-10-11,12050,12285,11767,11862,92103,50607.0,4016448.0
2010-10-12,11908,12144,11767,12003,66319,51210.0,4016448.0
2010-10-13,12050,12567,11908,12427,126448,53017.0,4016448.0
2010-10-14,12567,12615,12191,12238,45991,52214.0,4016448.0
2010-10-15,12473,12473,11908,12050,101279,51411.0,4016448.0
2010-10-18,12050,12332,12050,12144,52375,51812.0,4016448.0
2010-10-19,12285,12803,12191,12238,97314,52214.0,4016448.0
2010-10-20,12144,12285,11956,12050,67858,51411.0,4016448.0
2010-10-21,12238,12238,11908,11956,47534,51009.0,4016448.0
2010-10-22,12003,12050,11720,11909,57306,50808.0,4016448.0
2010-10-25,11908,11956,11673,11721,43101,50005.0,4016448.0
2010-10-26,11767,12283,11673,12144,79263,51812.0,4016448.0
2010-10-27,12238,12285,11626,11815,57454,50406.0,4016448.0
2010-10-28,11954,11954,11577,11627,74543,49603.0,4016448.0
2010-10-29,11720,12142,11720,11721,47944,50005.0,4016448.0
2010-11-01,11767,11767,11532,11627,50123,49603.0,4016448.0
2010-11-02,11673,12850,11532,12662,222777,54021.0,4016448.0
2010-11-03,12662,13415,12615,12615,163285,53820.0,4016448.0
2010-11-04,12615,14497,12520,13368,878273,57034.0,4016448.0
2010-11-05,13368,13650,12803,13321,203189,56833.0,4016448.0
2010-11-08,13648,14168,13368,13980,222436,59644.0,4016448.0
2010-11-09,14121,14121,13601,13651,117830,58238.0,4016448.0
2010-11-10,13744,13744,12803,13274,115652,56632.0,4016448.0
2010-11-11,13368,13509,12991,13368,63235,57034.0,4016448.0
2010-11-12,13509,13556,12426,12897,118616,55025.0,4016448.0
2010-11-15,12895,13179,12615,13039,41017,55628.0,4016448.0
2010-11-16,12803,13038,12332,12474,55886,53218.0,4016448.0
2010-11-17,12189,12709,11767,12709,61605,54222.0,4016448.0
2010-11-18,12803,13368,12756,13227,64210,56431.0,4016448.0
2010-11-19,13226,13321,12850,12992,48791,55427.0,4016448.0
2010-11-22,13321,13321,12379,12521,66307,53419.0,4016448.0
2010-11-23,12519,12756,12097,12097,59964,51611.0,4016448.0
2010-11-24,11108,11767,11014,11579,109698,49402.0,4016448.0
2010-11-25,11861,11908,11438,11532,43785,49201.0,4016448.0
2010-11-26,11438,11579,10543,10921,68897,46591.0,4016448.0
2010-11-29,11014,11250,10638,10732,39605,45788.0,4016448.0
2010-11-30,10685,10967,10543,10921,54046,46591.0,4016448.0
2010-12-01,10920,11532,10732,11485,35285,49001.0,4016448.0
2010-12-02,11579,11673,11153,11391,26430,48599.0,4016448.0
2010-12-03,11673,12003,11344,11862,64716,50607.0,4016448.0
2010-12-06,12050,12050,11626,11721,18646,50005.0,4016448.0
2010-12-07,11767,11767,11485,11579,17427,49402.0,4016448.0
2010-12-08,11438,11626,10826,11109,45890,47394.0,4016448.0
2010-12-09,11061,11485,10873,11250,34382,47997.0,4016448.0
2010-12-10,11297,12238,11297,11391,293849,48599.0,4016448.0
2010-12-13,11438,11579,11155,11156,52144,47595.0,4016448.0
2010-12-14,11201,11438,11155,11438,28198,48800.0,4016448.0
2010-12-15,11436,11908,11202,11579,77823,49402.0,4016448.0
2010-12-16,11673,12050,11438,11768,80210,50206.0,4016448.0
2010-12-17,11908,11956,11532,11579,36799,49402.0,4016448.0
2010-12-20,11344,11438,11014,11109,55617,47394.0,4016448.0
2010-12-21,11297,11814,11297,11768,66617,50206.0,4016448.0
2010-12-22,11765,11814,11579,11721,30831,50005.0,4016448.0
2010-12-23,11765,12850,11765,12286,209388,52415.0,4016448.0
2010-12-24,12520,13509,12285,12803,419857,54624.0,4016448.0
2010-12-27,12566,13226,12566,13086,111562,55829.0,4016448.0
2010-12-28,13132,13179,12520,12615,97453,53820.0,4016448.0
2010-12-29,12897,12944,12379,12803,61151,54624.0,4016448.0
2010-12-30,12991,13415,12615,13086,122570,55829.0,4016448.0
2011-01-03,13179,13791,12897,13509,146021,57636.0,4016448.0
2011-01-04,13509,13650,13038,13133,83567,56029.0,4016448.0
2011-01-05,13509,14168,13415,13745,134606,58640.0,4016448.0
2011-01-06,13791,14262,13368,13368,153977,57034.0,4016448.0
2011-01-07,13603,14780,13321,14121,397443,60247.0,4016448.0
2011-01-10,13980,14450,13744,13886,97512,59243.0,4016448.0
2011-01-11,13933,14025,13272,13415,101498,57234.0,4016448.0
2011-01-12,13415,13603,13038,13227,85914,56431.0,4016448.0
2011-01-13,13415,13415,13132,13180,51902,56230.0,4016448.0
2011-01-14,13274,13556,12944,13509,60921,57636.0,4016448.0
2011-01-17,13509,13603,12473,12615,101446,53820.0,4016448.0
2011-01-18,12709,12991,12426,12474,55233,53218.0,4016448.0
