제이엔케이히터(126880),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-01-31,8509,9760,8509,9761,1781870,112400.0,8000000.0
2011-02-01,9447,9586,8301,8510,3166897,98000.0,8000000.0
2011-02-07,8683,8787,7745,7781,869448,89600.0,8000000.0
2011-02-08,7884,8336,7502,7781,681818,89600.0,8000000.0
2011-02-09,7884,8023,7711,7850,399132,90400.0,8000000.0
2011-02-10,8058,8336,7919,7989,541063,92000.0,8000000.0
2011-02-11,8058,8336,7919,8024,523000,92400.0,8000000.0
2011-02-14,8197,8579,7954,8024,357199,92400.0,8000000.0
2011-02-15,8058,8162,7815,8024,247833,92400.0,8000000.0
2011-02-16,8301,9204,8232,9205,1184574,106000.0,8000000.0
2011-02-17,9343,9377,8058,8302,558263,95600.0,8000000.0
2011-02-18,8405,8579,8197,8510,258189,98000.0,8000000.0
2011-02-21,8648,8787,8371,8719,262534,100400.0,8000000.0
2011-02-22,8822,9377,8579,9275,492621,106800.0,8000000.0
2011-02-23,9377,9586,9134,9344,447453,107600.0,8000000.0
2011-02-24,9377,9655,9169,9483,409224,109200.0,8000000.0
2011-02-25,9516,9586,8995,9553,281863,110000.0,8000000.0
2011-02-28,9482,10142,9377,9935,356288,114400.0,8000000.0
2011-03-02,10142,10281,9864,10178,445238,117200.0,8000000.0
2011-03-03,10767,11670,10698,11671,1448403,134400.0,8000000.0
2011-03-04,11566,11948,11115,11914,1106051,137200.0,8000000.0
2011-03-07,11809,11948,11427,11636,750683,134000.0,8000000.0
2011-03-08,11705,11844,11184,11706,579852,134800.0,8000000.0
2011-03-09,11705,12469,10976,12018,1441825,138400.0,8000000.0
2011-03-10,11948,12157,11636,11984,366288,138000.0,8000000.0
2011-03-11,11705,12122,11323,12053,462149,138800.0,8000000.0
2011-03-14,11809,12122,10767,11601,392484,133600.0,8000000.0
2011-03-15,11323,11740,10420,11671,502174,134400.0,8000000.0
2011-03-16,11670,12573,11462,12470,920265,143600.0,8000000.0
2011-03-17,11948,12886,11844,12783,1059823,147200.0,8000000.0
2011-03-18,12782,12955,12400,12783,584985,147200.0,8000000.0
2011-03-21,12816,12955,12539,12574,430301,144800.0,8000000.0
2011-03-22,12539,12573,12122,12574,428019,144800.0,8000000.0
2011-03-23,12469,12851,12365,12748,251917,146800.0,8000000.0
2011-03-24,12851,12955,12539,12713,331194,146400.0,8000000.0
2011-03-25,12782,13129,12539,13130,477308,151200.0,8000000.0
2011-03-28,12990,13407,12990,13026,641640,150000.0,8000000.0
2011-03-29,13094,13129,12608,12609,400161,145200.0,8000000.0
2011-03-30,12608,12747,12296,12748,334465,146800.0,8000000.0
2011-03-31,12747,12990,12573,12713,326220,146400.0,8000000.0
2011-04-01,12643,12712,12157,12644,427147,145600.0,8000000.0
2011-04-04,12504,12712,12331,12609,283107,145200.0,8000000.0
2011-04-05,12573,12573,12296,12296,183265,141600.0,8000000.0
2011-04-06,12192,12192,11636,12018,388902,138400.0,8000000.0
2011-04-07,11844,11983,11115,11115,860848,128000.0,8000000.0
2011-04-08,11219,11497,11080,11219,351566,129200.0,8000000.0
2011-04-11,11323,11566,11045,11046,152234,127200.0,8000000.0
2011-04-12,11045,11045,10385,10386,308538,119600.0,8000000.0
2011-04-13,10593,10732,10420,10525,110409,121200.0,8000000.0
2011-04-14,10663,10663,10003,10247,234167,118000.0,8000000.0
2011-04-15,10246,11184,10246,10768,367582,124000.0,8000000.0
2011-04-18,10941,10941,10176,10247,189928,118000.0,8000000.0
2011-04-19,9933,10211,9586,9657,208619,111200.0,8000000.0
2011-04-20,10350,11080,10281,10594,849465,122000.0,8000000.0
2011-04-21,10767,10837,9899,9935,373273,114400.0,8000000.0
2011-04-22,9968,10072,9621,9692,154725,111600.0,8000000.0
2011-04-25,9725,10037,9516,10004,145983,115200.0,8000000.0
2011-04-26,9899,10315,9829,9969,128363,114800.0,8000000.0
2011-04-27,10142,10211,9586,9692,153458,111600.0,8000000.0
2011-04-28,9690,10246,9655,10247,161305,118000.0,8000000.0
2011-04-29,10315,11115,10142,10733,542564,123600.0,8000000.0
2011-05-02,10802,11080,10454,10837,180756,124800.0,8000000.0
2011-05-03,10837,11566,10802,11358,337188,130800.0,8000000.0
2011-05-04,11115,11497,11115,11185,134520,128800.0,8000000.0
2011-05-06,10976,11288,10698,11115,105686,128000.0,8000000.0
2011-05-09,11254,11705,10732,10768,408067,124000.0,8000000.0
2011-05-11,10871,11045,10385,10802,152612,124400.0,8000000.0
2011-05-12,10698,11809,10628,11601,358782,133600.0,8000000.0
2011-05-13,11809,12087,11323,11949,224854,137600.0,8000000.0
2011-05-16,11914,12539,11775,12331,205205,142000.0,8000000.0
2011-05-17,12296,12400,12053,12123,89924,139600.0,8000000.0
2011-05-18,12122,12331,11670,11949,82230,137600.0,8000000.0
2011-05-19,11879,12296,11601,12192,134553,140400.0,8000000.0
2011-05-20,12087,12296,11775,12227,117315,140800.0,8000000.0
2011-05-23,11948,12192,11670,12157,86759,140000.0,8000000.0
2011-05-24,12122,12331,11740,11740,91693,135200.0,8000000.0
2011-05-25,11740,11914,11219,11254,62901,129600.0,8000000.0
2011-05-26,11393,11566,10837,10907,104744,125600.0,8000000.0
2011-05-27,10976,11254,10767,10872,67400,125200.0,8000000.0
2011-05-30,10976,11288,10837,10907,58110,125600.0,8000000.0
2011-05-31,11080,11601,10976,11324,81602,130400.0,8000000.0
2011-06-01,11393,12192,11219,12018,155337,138400.0,8000000.0
2011-06-02,11809,12226,11601,12192,99597,140400.0,8000000.0
2011-06-03,12053,12226,11809,11984,76972,138000.0,8000000.0
2011-06-07,11948,12435,11879,12435,148539,143200.0,8000000.0
2011-06-08,12539,12608,12122,12470,92426,143600.0,8000000.0
2011-06-09,12469,12747,12296,12470,82597,143600.0,8000000.0
2011-06-10,12504,12504,11879,11879,87103,136800.0,8000000.0
2011-06-13,11740,12053,11184,11254,65483,129600.0,8000000.0
2011-06-14,11254,11636,11254,11497,53192,132400.0,8000000.0
2011-06-15,11705,12018,11566,11810,58704,136000.0,8000000.0
2011-06-16,11705,11914,11462,11567,29724,133200.0,8000000.0
2011-06-17,11844,11844,11358,11393,38503,131200.0,8000000.0
2011-06-20,11462,11601,11115,11115,43717,128000.0,8000000.0
2011-06-21,11219,11636,11149,11393,40104,131200.0,8000000.0
2011-06-22,11740,11740,11393,11462,41179,132000.0,8000000.0
2011-06-23,11427,11566,11149,11324,27472,130400.0,8000000.0
2011-06-24,11358,11636,11254,11532,45436,132800.0,8000000.0
2011-06-27,11948,12226,11601,11671,160499,134400.0,8000000.0
2011-06-28,11705,11775,11219,11219,67060,129200.0,8000000.0
2011-06-29,11427,11497,11288,11324,39598,130400.0,8000000.0
2011-06-30,11393,11601,11254,11324,39124,130400.0,8000000.0
2011-07-01,11636,11879,11358,11428,45152,131600.0,8000000.0
2011-07-04,11531,12122,11531,12123,133549,139600.0,8000000.0
2011-07-05,12296,12296,11844,12157,67154,140000.0,8000000.0
2011-07-06,12157,12816,12087,12679,313504,146000.0,8000000.0
2011-07-07,12886,13685,12712,13269,365258,152800.0,8000000.0
2011-07-08,13268,13372,12886,13234,119401,152400.0,8000000.0
2011-07-11,13268,14171,13094,13686,471266,157600.0,8000000.0
2011-07-12,13685,14032,13198,13686,235220,157600.0,8000000.0
2011-07-13,13963,15457,13754,14589,613385,168000.0,8000000.0
2011-07-14,14762,15318,14345,14901,256048,171600.0,8000000.0
2011-07-15,14935,15352,14518,14971,186046,172400.0,8000000.0
2011-07-18,14762,15700,14588,15283,221821,176000.0,8000000.0
2011-07-19,15283,15908,15109,15874,123304,182800.0,8000000.0
2011-07-20,16186,16290,15630,15631,160431,180000.0,8000000.0
2011-07-21,15700,15978,15005,15283,122380,176000.0,8000000.0
2011-07-22,15630,17575,15387,16743,444907,192800.0,8000000.0
2011-07-25,16915,18200,16742,18028,385166,207600.0,8000000.0
2011-07-26,18305,18305,17193,17715,227562,204000.0,8000000.0
2011-07-27,17471,18270,17228,18202,191943,209600.0,8000000.0
2011-07-28,17714,18513,17679,18063,138209,208000.0,8000000.0
2011-07-29,18061,18305,17610,17750,123346,204400.0,8000000.0
2011-08-01,17957,18096,17228,17611,176597,202800.0,8000000.0
2011-08-02,17922,19034,17610,18549,202486,213600.0,8000000.0
2011-08-03,18409,18860,17888,18757,157353,216000.0,8000000.0
2011-08-04,19416,19416,17575,17576,196655,202400.0,8000000.0
2011-08-05,16360,17158,15596,16291,204699,187600.0,8000000.0
2011-08-08,16256,16811,13893,15839,279662,182400.0,8000000.0
2011-08-09,15422,18166,14032,17403,396766,200400.0,8000000.0
2011-08-10,18478,18756,17749,17820,208842,205200.0,8000000.0
2011-08-11,17019,18652,16672,18306,181063,210800.0,8000000.0
2011-08-12,18826,20042,18374,18653,306856,214800.0,8000000.0
2011-08-16,19451,19660,18791,18826,131066,216800.0,8000000.0
2011-08-17,18826,19138,18166,18930,122609,218000.0,8000000.0
2011-08-18,18860,18860,17471,17507,190805,201600.0,8000000.0
2011-08-19,16360,16603,15700,15839,207641,182400.0,8000000.0
2011-08-22,15839,16533,14553,14727,221155,169600.0,8000000.0
2011-08-23,14831,16464,14623,16465,187064,189600.0,8000000.0
2011-08-24,16880,16880,15318,15804,149327,182000.0,8000000.0
2011-08-25,16568,16568,15144,15735,98032,181200.0,8000000.0
2011-08-26,15318,15873,15213,15631,62731,180000.0,8000000.0
2011-08-29,15943,16429,15804,16048,64948,184800.0,8000000.0
2011-08-30,16533,16672,15630,15700,90971,180800.0,8000000.0
2011-08-31,15700,15908,15248,15770,73079,181600.0,8000000.0
2011-09-01,15978,16568,15873,16013,94568,184400.0,8000000.0
2011-09-02,15700,16256,15352,15770,64738,181600.0,8000000.0
2011-09-05,15179,15526,14449,14485,112133,166800.0,8000000.0
2011-09-06,13928,14345,13059,13756,147115,158400.0,8000000.0
2011-09-07,14171,15526,13963,15144,165981,174400.0,8000000.0
2011-09-08,15318,15318,14449,14727,105296,169600.0,8000000.0
2011-09-09,14727,15665,14449,14589,141818,168000.0,8000000.0
2011-09-14,14518,15318,13928,13929,95133,160400.0,8000000.0
2011-09-15,14657,14727,13059,13651,119823,157200.0,8000000.0
2011-09-16,14136,14310,13302,13512,133115,155600.0,8000000.0
2011-09-19,13511,13789,12539,12540,168007,144400.0,8000000.0
2011-09-20,12296,13233,11983,13234,221893,152400.0,8000000.0
2011-09-21,13233,13650,12816,13026,203395,150000.0,8000000.0
2011-09-22,12504,12886,11914,12505,198190,144000.0,8000000.0
2011-09-23,11809,12053,11393,11393,151292,131200.0,8000000.0
2011-09-26,11670,11914,9690,10178,172384,117200.0,8000000.0
2011-09-27,10732,11670,10732,11671,166797,134400.0,8000000.0
2011-09-28,12053,13407,11184,12922,247811,148800.0,8000000.0
2011-09-29,12886,13685,12504,13373,198897,154000.0,8000000.0
2011-09-30,13407,13615,13094,13339,73744,153600.0,8000000.0
2011-10-04,12851,12990,12400,12991,69007,149600.0,8000000.0
2011-10-05,13337,14102,12365,12574,156000,144800.0,8000000.0
2011-10-06,13302,13302,12365,12783,98013,147200.0,8000000.0
2011-10-07,13129,13198,12539,12748,70511,146800.0,8000000.0
2011-10-10,12747,14553,12747,14242,228582,164000.0,8000000.0
2011-10-11,14935,15526,14379,14380,245424,165600.0,8000000.0
2011-10-12,14588,14727,14136,14485,82771,166800.0,8000000.0
2011-10-13,14727,15179,14136,14276,131682,164400.0,8000000.0
2011-10-14,14310,14310,13476,14172,66168,163200.0,8000000.0
2011-10-17,14241,14588,14102,14311,64778,164800.0,8000000.0
2011-10-18,13893,14032,13302,13895,49054,160000.0,8000000.0
2011-10-19,14102,15040,13754,14485,147388,166800.0,8000000.0
2011-10-20,14484,14796,13129,13200,103131,152000.0,8000000.0
2011-10-21,13546,13858,13233,13651,66712,157200.0,8000000.0
2011-10-24,13997,14275,13824,13999,49664,161200.0,8000000.0
2011-10-25,14032,15283,13685,14450,402219,166400.0,8000000.0
2011-10-26,14727,15387,14449,14936,173780,172000.0,8000000.0
2011-10-27,15213,15422,14484,14832,89775,170800.0,8000000.0
2011-10-28,15422,15804,14379,14519,254305,167200.0,8000000.0
2011-10-31,14588,15040,14379,14971,74558,172400.0,8000000.0
2011-11-01,14588,15387,14588,14762,105548,170000.0,8000000.0
2011-11-02,14379,14379,13858,14207,99559,163600.0,8000000.0
2011-11-03,14518,14518,13268,13443,113270,154800.0,8000000.0
2011-11-04,13719,13963,13476,13790,128454,158800.0,8000000.0
2011-11-07,13824,13997,13441,13582,73655,156400.0,8000000.0
2011-11-08,13615,13824,12886,12887,73617,148400.0,8000000.0
2011-11-09,13094,13268,12643,12991,66186,149600.0,8000000.0
2011-11-10,12469,12643,12018,12088,88010,139200.0,8000000.0
2011-11-11,12400,12712,12157,12401,38419,142800.0,8000000.0
2011-11-14,12851,13546,12539,13408,70700,154400.0,8000000.0
2011-11-15,13407,13407,12851,12922,48405,148800.0,8000000.0
2011-11-16,13059,13059,12296,12470,42616,143600.0,8000000.0
2011-11-17,12365,12782,12226,12679,27834,146000.0,8000000.0
2011-11-18,12435,12435,12087,12262,62826,141200.0,8000000.0
2011-11-21,12539,13094,12261,12644,62315,145600.0,8000000.0
