코아시아(045970),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-08-03,103572,103572,103572,103571,93925,47360.0,3200000.0
2000-08-04,98673,115819,96574,115818,961292,52960.0,3200000.0
2000-08-07,118968,129465,117568,129464,211201,59200.0,3200000.0
2000-08-08,144511,144861,114069,114069,1997807,52160.0,3200000.0
2000-08-09,116868,125966,105322,114069,915469,52160.0,3200000.0
2000-08-10,116868,118618,106371,108120,468123,49440.0,3200000.0
2000-08-11,102172,114069,97624,101122,536225,46240.0,3200000.0
2000-08-14,101123,103572,89226,89225,441802,40800.0,3200000.0
2000-08-16,86777,92725,80478,85376,546986,39040.0,3200000.0
2000-08-17,86077,90625,81178,84677,429367,38720.0,3200000.0
2000-08-18,84677,87126,74880,77678,281146,35520.0,3200000.0
2000-08-21,77679,79079,68581,68581,322116,31360.0,3200000.0
2000-08-22,69281,76629,68581,76629,329793,35040.0,3200000.0
2000-08-23,79079,83277,72081,73130,737225,33440.0,3200000.0
2000-08-24,72081,74880,64453,64452,278595,29472.0,3200000.0
2000-08-25,64872,64872,58924,64382,270759,29440.0,3200000.0
2000-08-28,65082,68372,63053,67671,253182,30944.0,3200000.0
2000-08-29,65152,75580,65152,75579,551520,34560.0,3200000.0
2000-08-30,78379,84327,75929,84327,1079030,38560.0,3200000.0
2000-08-31,88876,94125,85377,88875,1107794,40640.0,3200000.0
2000-09-01,86077,95174,85377,92724,754418,42400.0,3200000.0
2000-09-04,90975,98673,81878,81877,1170846,37440.0,3200000.0
2000-09-05,79079,83277,73480,75579,600622,34560.0,3200000.0
2000-09-06,74530,82228,74530,78728,567308,36000.0,3200000.0
2000-09-07,78729,83277,73480,75229,556423,34400.0,3200000.0
2000-09-08,74180,79778,73830,78728,283798,36000.0,3200000.0
2000-09-14,78379,78379,75580,76629,110968,35040.0,3200000.0
2000-09-15,75580,79778,73480,76629,275559,35040.0,3200000.0
2000-09-18,76279,76279,67532,67881,154287,31040.0,3200000.0
2000-09-19,66482,69981,63823,69981,145524,32000.0,3200000.0
2000-09-20,71381,75230,68651,69981,250321,32000.0,3200000.0
2000-09-21,69631,72081,64802,65782,105179,30080.0,3200000.0
2000-09-22,59484,67182,57944,57944,111714,26496.0,3200000.0
2000-09-25,51016,59484,51016,58084,160763,26560.0,3200000.0
2000-09-26,54655,65012,54655,63612,182432,29088.0,3200000.0
2000-09-27,63613,67532,61653,62982,321775,28800.0,3200000.0
2000-09-28,65082,65712,61653,63332,158966,28960.0,3200000.0
2000-09-29,63683,67042,62283,64732,209683,29600.0,3200000.0
2000-10-02,64663,65922,62423,65292,85298,29856.0,3200000.0
2000-10-04,63683,72780,62703,72430,327723,33120.0,3200000.0
2000-10-05,72081,79429,69981,76279,489955,34880.0,3200000.0
2000-10-06,78379,78379,72081,73480,240820,33600.0,3200000.0
2000-10-09,76279,76979,69981,74179,341298,33920.0,3200000.0
2000-10-10,73130,82228,71731,80828,571785,36960.0,3200000.0
2000-10-11,78379,79079,71381,71380,245711,32640.0,3200000.0
2000-10-12,67182,69981,64872,67391,229664,30816.0,3200000.0
2000-10-13,62983,67182,59344,67181,149203,30720.0,3200000.0
2000-10-16,69281,73480,67532,68581,331276,31360.0,3200000.0
2000-10-17,62983,67392,60394,60393,204512,27616.0,3200000.0
2000-10-18,55355,60184,53955,57034,157698,26080.0,3200000.0
