우노앤컴퍼니(114630),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-01-15,5850,6720,5010,6720,3905806,70560.0,10500000.0
2010-01-18,7010,7720,6910,7720,901618,81060.0,10500000.0
2010-01-19,8600,8600,7060,7450,2671306,78225.0,10500000.0
2010-01-20,7800,8450,7640,7830,1310084,82215.0,10500000.0
2010-01-21,7620,7720,7140,7160,573754,75180.0,10500000.0
2010-01-22,7010,7950,6700,7950,727450,83475.0,10500000.0
2010-01-25,8000,8700,7200,7700,1617475,80850.0,10500000.0
2010-01-26,7800,8110,7470,7580,747188,79590.0,10500000.0
2010-01-27,7580,7800,6960,6960,517672,73080.0,10500000.0
2010-01-28,6960,7100,6530,6600,312733,69300.0,10500000.0
2010-01-29,6360,6700,6160,6630,235288,69615.0,10500000.0
2010-02-01,6540,6690,6140,6270,174429,65835.0,10500000.0
2010-02-02,6300,6390,5990,6090,214114,63945.0,10500000.0
2010-02-03,6470,6960,6400,6400,580347,67200.0,10500000.0
2010-02-04,6410,6410,6030,6040,180817,63420.0,10500000.0
2010-02-05,5700,5840,5300,5730,355791,60165.0,10500000.0
2010-02-08,5800,5880,5320,5360,163402,56280.0,10500000.0
2010-02-09,5280,5490,5250,5310,92900,55755.0,10500000.0
2010-02-10,5440,5490,5200,5230,74719,54915.0,10500000.0
2010-02-11,5240,5390,5230,5230,108564,54915.0,10500000.0
2010-02-12,5300,5730,5250,5550,223665,58275.0,10500000.0
2010-02-16,5580,5690,5450,5460,75241,57330.0,10500000.0
2010-02-17,5510,5900,5460,5800,209097,60900.0,10500000.0
2010-02-18,5900,6090,5600,5980,149423,62790.0,10500000.0
2010-02-19,5990,5990,5700,5700,83642,59850.0,10500000.0
2010-02-22,5850,5900,5500,5810,79332,61005.0,10500000.0
2010-02-23,5750,5820,5630,5650,52127,59325.0,10500000.0
2010-02-24,5580,5680,5530,5560,37910,58380.0,10500000.0
2010-02-25,5570,5690,5310,5490,35036,57645.0,10500000.0
2010-02-26,5450,5570,5450,5540,18332,58170.0,10500000.0
2010-03-02,5580,5620,5370,5420,39697,56910.0,10500000.0
2010-03-03,5480,5480,5230,5260,64772,55230.0,10500000.0
2010-03-04,5300,5320,5190,5220,41445,54810.0,10500000.0
2010-03-05,5260,5300,5200,5280,23745,55440.0,10500000.0
2010-03-08,5340,5350,5180,5250,45759,55125.0,10500000.0
2010-03-09,5250,5300,5200,5300,52438,55650.0,10500000.0
2010-03-10,5380,5390,5190,5240,54975,55020.0,10500000.0
2010-03-11,5290,5290,5060,5070,74227,53235.0,10500000.0
2010-03-12,5150,5830,5150,5830,365550,61215.0,10500000.0
