신진에스엠(138070),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-11-28,7553,8284,6446,6748,2044249,60300.0,4500000.0
2011-11-29,6848,7050,6622,6723,371093,60075.0,4500000.0
2011-11-30,6899,7125,6294,6446,317424,57600.0,4500000.0
2011-12-01,6647,6748,6320,6446,189540,57600.0,4500000.0
2011-12-02,6571,6773,6370,6496,269184,58050.0,4500000.0
2011-12-05,6672,7201,6420,7025,407173,62775.0,4500000.0
2011-12-06,7000,7050,6748,6874,161574,61425.0,4500000.0
2011-12-07,6924,7100,6748,7000,197554,62550.0,4500000.0
2011-12-08,7050,7679,7050,7327,296775,65475.0,4500000.0
2011-12-09,7251,7730,7176,7579,140343,67725.0,4500000.0
2011-12-12,7755,8712,7604,8712,516640,77850.0,4500000.0
2011-12-13,8913,9996,8737,9367,805168,83700.0,4500000.0
2011-12-14,9517,9820,8510,8561,284340,76500.0,4500000.0
2011-12-15,8410,8888,8007,8561,216728,76500.0,4500000.0
2011-12-16,8636,9341,8057,9014,201007,80550.0,4500000.0
2011-12-19,8888,9115,8133,8511,120849,76050.0,4500000.0
2011-12-20,8561,9694,8460,9165,214267,81900.0,4500000.0
2011-12-21,9417,9442,9089,9165,86556,81900.0,4500000.0
2011-12-22,9165,9971,8989,9543,183931,85275.0,4500000.0
2011-12-23,9643,10374,9467,9996,180239,89325.0,4500000.0
2011-12-26,9971,10197,9643,9770,56981,87300.0,4500000.0
2011-12-27,9820,9971,9089,9971,75750,89100.0,4500000.0
2011-12-28,9669,9769,9316,9644,45309,86175.0,4500000.0
2011-12-29,9643,10046,9316,9543,71673,85275.0,4500000.0
2012-01-02,9568,9568,9291,9342,35884,83475.0,4500000.0
2012-01-03,9392,9769,9215,9543,84169,85275.0,4500000.0
2012-01-04,9517,9744,9366,9619,46031,85950.0,4500000.0
2012-01-05,9719,9769,9442,9568,40721,85500.0,4500000.0
2012-01-06,9694,11003,9669,10727,313818,95850.0,4500000.0
2012-01-09,10726,11179,10575,10802,70246,96525.0,4500000.0
2012-01-10,10751,11456,10701,11205,96276,100125.0,4500000.0
2012-01-11,11356,11809,10902,11104,97620,99225.0,4500000.0
2012-01-12,11104,11406,10877,11306,60655,101025.0,4500000.0
2012-01-13,11532,11758,11079,11079,51221,99000.0,4500000.0
2012-01-16,11482,11834,11154,11306,89299,101025.0,4500000.0
2012-01-17,11507,11733,11356,11482,57324,102600.0,4500000.0
2012-01-18,11557,11683,11205,11205,48789,100125.0,4500000.0
2012-01-19,11230,11532,10827,10978,44652,98100.0,4500000.0
2012-01-20,10751,11406,10550,11306,62216,101025.0,4500000.0
2012-01-25,11557,11834,11356,11608,41139,103725.0,4500000.0
2012-01-26,11633,11834,11431,11683,28353,104400.0,4500000.0
2012-01-27,11809,11809,11381,11683,18887,104400.0,4500000.0
2012-01-30,11733,12086,11582,11784,47542,105300.0,4500000.0
2012-01-31,11784,12363,11607,12237,61993,109350.0,4500000.0
2012-02-01,12287,12489,12010,12237,26066,109350.0,4500000.0
2012-02-02,12489,12489,12061,12061,24830,107775.0,4500000.0
2012-02-03,11733,12061,11330,11356,78836,101475.0,4500000.0
2012-02-06,11431,11910,11154,11709,38629,104625.0,4500000.0
2012-02-07,11708,12061,11431,11809,50864,105525.0,4500000.0
2012-02-08,11809,11985,11532,11633,25112,103950.0,4500000.0
