드래곤플라이(030350),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,39534776,39534776,36696376,39332056,55346,27273.0,7029010.0
1999-01-05,38521056,42373188,37000500,39433424,140540,27343.0,7029010.0
1999-01-06,39636160,42069064,37507356,41055364,77024,28467.0,7029010.0
1999-01-07,41967696,41967696,39534764,40041652,34750,27765.0,7029010.0
1999-01-08,40447120,42474552,35479920,42373192,251386,29381.0,7029010.0
1999-01-11,42575940,47441756,40548516,47441756,73128,32896.0,7029010.0
1999-01-12,47441756,53118548,45617080,51699352,67629,35848.0,7029010.0
1999-01-13,51597972,57883000,48658164,52713064,103486,36551.0,7029010.0
1999-01-14,49671908,52206176,46630772,48658212,64160,33739.0,7029010.0
1999-01-15,49671920,52713060,48658208,50685636,77774,35145.0,7029010.0
1999-01-18,52713036,56767912,51699332,56767912,135376,39362.0,7029010.0
1999-01-19,53726776,56767876,51699344,53726776,105756,37254.0,7029010.0
1999-01-20,53726744,54740488,47340356,48658212,85498,33739.0,7029010.0
1999-01-21,48658184,48658184,44603352,47644500,34153,33036.0,7029010.0
1999-01-22,52206176,52206176,42575936,47644500,38358,33036.0,7029010.0
1999-01-25,49671904,49671904,43589640,47137644,43509,32685.0,7029010.0
1999-01-26,47644496,50178788,45718408,46630788,66340,32333.0,7029010.0
1999-01-27,48151324,48151324,45617084,46630788,37539,32333.0,7029010.0
1999-01-28,47644484,52206208,47644484,52206208,119853,36199.0,7029010.0
1999-01-29,58389852,58389852,57781604,58389852,216624,40487.0,7029010.0
1999-02-01,65384472,65384472,65384472,65384472,97895,45337.0,7029010.0
1999-02-02,73190008,73190008,65384452,72987320,743247,50609.0,7029010.0
1999-02-03,64877584,76028440,64877584,68932464,297200,47797.0,7029010.0
1999-02-04,68932456,77143536,67918712,77143536,216187,53491.0,7029010.0
1999-02-05,81097016,85151872,77143536,81097016,348393,56232.0,7029010.0
1999-02-08,80590152,80590152,72987320,74609256,163175,51734.0,7029010.0
1999-02-09,68020120,74001032,65688572,74001032,151107,51312.0,7029010.0
1999-02-10,73899624,73899624,67918744,70858520,82903,49133.0,7029010.0
1999-02-11,70959840,71872192,65688544,68831096,69563,47727.0,7029010.0
1999-02-12,68831096,70959888,65891328,68425608,60679,47446.0,7029010.0
