휴메딕스(200670),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-12-26,31223,35879,28072,28073,2300324,223010.0,5689031.0
2014-12-29,27570,29611,26640,29183,552849,231828.0,5689031.0
2014-12-30,29935,33228,29684,30974,646913,246051.0,5689031.0
2015-01-02,32261,34517,31940,33911,327742,269376.0,5689031.0
2015-01-05,34875,34875,32296,32800,194010,260558.0,5689031.0
2015-01-06,32370,33264,31187,31798,149959,252593.0,5689031.0
2015-01-07,31617,32906,30471,32873,211636,261127.0,5689031.0
2015-01-08,33372,34375,32046,33660,198148,267384.0,5689031.0
2015-01-09,34195,37454,33372,34268,422083,272220.0,5689031.0
2015-01-12,35377,35377,33658,34376,174589,303245.0,6317605.0
2015-01-13,34088,35234,33336,34412,153720,303561.0,6317605.0
2015-01-14,34446,37454,34446,37241,378140,328515.0,6317605.0
2015-01-15,37740,42539,36810,41181,543753,363262.0,6317605.0
2015-01-16,41177,41895,39601,40965,255382,361367.0,6317605.0
2015-01-19,47050,47050,47050,47053,105696,415067.0,6317605.0
2015-01-20,54068,54068,50345,51708,1203535,456131.0,6317605.0
2015-01-21,50918,58652,49844,55146,969300,486456.0,6317605.0
2015-01-22,55787,60156,54069,58869,830706,519307.0,6317605.0
2015-01-23,60227,67676,59583,67678,751546,597014.0,6317605.0
2015-01-26,66101,70756,63881,65529,885383,578061.0,6317605.0
2015-01-27,66243,68965,63523,67821,552571,598277.0,6317605.0
2015-01-28,65743,67319,65026,66818,284807,589433.0,6317605.0
2015-01-29,65170,65528,59010,59442,661561,524361.0,6317605.0
2015-01-30,58080,61732,55501,58726,799011,518044.0,6317605.0
2015-02-02,59512,63594,58867,61877,582469,545841.0,6317605.0
2015-02-03,64454,66243,63093,65243,455105,575534.0,6317605.0
2015-02-04,64811,65885,63308,65673,307796,579324.0,6317605.0
2015-02-05,66387,68321,64883,65316,316909,576166.0,6317605.0
2015-02-06,65528,66387,64024,65243,216147,575534.0,6317605.0
2015-02-09,65599,66745,59870,62021,336513,547105.0,6317605.0
2015-02-10,62520,65670,60945,63883,353851,563530.0,6317605.0
2015-02-11,64596,65599,61088,61089,252349,538892.0,6317605.0
2015-02-12,60872,60872,55142,55861,503966,492773.0,6317605.0
2015-02-13,57077,60514,56575,59586,355500,525625.0,6317605.0
2015-02-16,56934,57507,53783,53784,416309,474452.0,6317605.0
2015-02-17,53496,55645,51563,54573,240995,481402.0,6317605.0
2015-02-23,54499,55071,50058,50562,417283,446023.0,6317605.0
2015-02-24,50489,52922,50489,51564,278706,454868.0,6317605.0
2015-02-25,52493,53639,52207,52424,174296,462449.0,6317605.0
2015-02-26,52207,53425,50631,52568,154279,463712.0,6317605.0
2015-02-27,53067,53281,51634,51708,92091,456131.0,6317605.0
2015-03-02,52278,56575,51919,54788,345677,483297.0,6317605.0
2015-03-03,55787,56575,54427,54930,116780,484560.0,6317605.0
2015-03-04,55142,57005,54786,54859,143055,483929.0,6317605.0
2015-03-05,55000,63021,53496,63023,332576,555949.0,6317605.0
2015-03-06,64454,66960,61159,62593,726836,552159.0,6317605.0
2015-03-09,63021,64311,59583,59586,304125,525625.0,6317605.0
2015-03-10,59440,60585,56289,56506,253979,498459.0,6317605.0
2015-03-11,55287,58080,54713,56578,177888,499091.0,6317605.0
2015-03-12,57149,59153,55860,57293,212513,505408.0,6317605.0
2015-03-13,57650,60300,57650,58296,169494,514253.0,6317605.0
2015-03-16,57866,61230,56504,58942,354351,519939.0,6317605.0
2015-03-17,59512,60585,58365,58726,140905,518044.0,6317605.0
2015-03-18,58867,59870,56718,57365,146829,506624.0,6324892.0
2015-03-19,57650,57935,54786,56148,191050,495872.0,6324892.0
2015-03-20,56218,59870,55860,59084,246780,521804.0,6324892.0
2015-03-23,60014,61230,58724,58726,247225,518641.0,6324892.0
2015-03-24,58365,59010,57220,57866,111300,511051.0,6324892.0
2015-03-25,57866,58223,56145,56936,180211,502829.0,6324892.0
2015-03-26,54499,56218,53925,54070,332453,477529.0,6324892.0
2015-03-27,55142,55215,53925,54429,101888,480692.0,6324892.0
2015-03-30,55215,56003,54069,55361,117765,488914.0,6324892.0
2015-03-31,55716,55716,54427,54930,103392,485119.0,6324892.0
2015-04-01,54427,56003,54068,55146,129919,487017.0,6324892.0
2015-04-02,55357,55430,53353,53355,166928,471204.0,6324892.0
2015-04-03,53137,53998,52637,52926,104681,467410.0,6324892.0
2015-04-06,52851,52922,51347,52209,125620,461085.0,6324892.0
2015-04-07,52637,55860,52350,55073,254913,486384.0,6324892.0
2015-04-08,55142,55357,53137,53213,130807,469939.0,6324892.0
2015-04-09,53639,56648,52781,56004,251207,494607.0,6324892.0
2015-04-10,56934,58581,56289,56290,228923,497137.0,6324892.0
2015-04-13,55430,57650,54570,57653,184231,509154.0,6324892.0
2015-04-14,58796,60156,56575,58153,353144,513581.0,6324892.0
2015-04-15,59010,61230,58151,60158,374969,531291.0,6324892.0
2015-04-16,61374,61661,59798,60158,273540,531291.0,6324892.0
2015-04-17,60945,67175,60443,66962,765448,591377.0,6324892.0
2015-04-20,67032,76916,65958,76630,1372891,676763.0,6324892.0
2015-04-21,77344,78778,73477,78207,604183,690678.0,6324892.0
2015-04-22,80066,85939,69539,76344,1480024,674233.0,6324892.0
2015-04-23,74480,75483,68751,70185,678917,619839.0,6324892.0
2015-04-24,71042,73477,69969,72334,386351,638814.0,6324892.0
2015-04-27,71328,73191,70613,71618,195628,632489.0,6324892.0
2015-04-28,72689,74767,66316,66747,431771,589480.0,6324892.0
2015-04-29,66745,68464,64740,66032,314616,583155.0,6324892.0
2015-04-30,65528,67103,60872,61877,391058,546471.0,6324892.0
2015-05-04,62447,62879,60014,60301,176700,532556.0,6324892.0
2015-05-06,58939,63021,58867,62809,226845,554693.0,6324892.0
2015-05-07,61588,63594,59583,62880,215499,571289.0,6506710.0
2015-05-08,62447,64024,61661,63454,181266,576495.0,6506710.0
2015-05-11,63809,72117,63093,70544,692027,640911.0,6506710.0
2015-05-12,71973,73549,65312,66389,577742,603172.0,6506710.0
2015-05-13,66530,67246,63164,63883,296335,580399.0,6506710.0
2015-05-14,64454,65885,62376,63524,208706,577145.0,6506710.0
2015-05-15,64596,67246,63379,64241,282871,583652.0,6506710.0
2015-05-18,64955,71973,64381,70472,719777,640260.0,6506710.0
2015-05-19,72045,72404,69969,72118,407705,655226.0,6506710.0
2015-05-20,72546,76485,70039,72405,548864,657828.0,6506710.0
2015-05-21,73406,75411,70899,70901,288659,644164.0,6506710.0
2015-05-22,70255,70684,66602,66603,363470,605124.0,6506710.0
2015-05-26,66173,68392,64740,65602,195225,596015.0,6506710.0
2015-05-27,65312,66602,63737,65171,209792,592111.0,6506710.0
2015-05-28,62663,67319,61732,65100,507324,591460.0,6506710.0
2015-05-29,66243,70684,65885,68824,478880,625295.0,6506710.0
2015-06-01,68822,70110,67460,69756,178711,633754.0,6506710.0
2015-06-02,70039,71042,64095,64599,322505,586905.0,6506710.0
2015-06-03,63665,66173,63093,63095,161066,573241.0,6506710.0
2015-06-04,63737,64667,62734,63454,104138,576495.0,6506710.0
2015-06-05,63021,63952,62376,63167,91761,573892.0,6506710.0
2015-06-08,63665,63737,61302,61376,136531,557625.0,6506710.0
2015-06-09,61661,62018,58438,59586,217421,541358.0,6506710.0
2015-06-10,59583,63450,58939,61089,204790,555022.0,6506710.0
2015-06-11,62306,64811,61517,63739,220591,579097.0,6506710.0
2015-06-12,64095,66816,63236,63811,230271,579748.0,6506710.0
2015-06-15,62376,65743,62376,65243,156798,592761.0,6506710.0
2015-06-16,66194,67365,64070,67368,111398,598617.0,6506710.0
2015-06-17,68463,71612,66632,69564,213372,618137.0,6506710.0
2015-06-18,70660,71173,67878,70515,167841,626596.0,6506710.0
