안랩(053800),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-09-13,34854,34854,34854,34853,288,330037.0,7174720.0
2001-09-14,39021,39021,39021,39021,3069,369498.0,7174720.0
2001-09-17,43643,43643,43643,43643,1731,413264.0,7174720.0
2001-09-18,48871,48871,48871,48871,22970,462769.0,7174720.0
2001-09-19,54705,54705,54705,54705,65674,518015.0,7174720.0
2001-09-20,61222,61222,60009,61221,711754,579717.0,7174720.0
2001-09-21,60540,62661,53948,54629,1392466,517297.0,7174720.0
2001-09-24,54630,58721,53266,55008,829982,520885.0,7174720.0
2001-09-25,56069,56524,48417,48416,716200,458465.0,7174720.0
2001-09-26,46674,49856,44477,47355,1383844,448420.0,7174720.0
2001-09-27,47356,49780,46901,47052,872211,445550.0,7174720.0
2001-09-28,47128,47810,44931,45840,594184,434071.0,7174720.0
2001-10-04,47886,50614,47280,48492,779559,459182.0,7174720.0
2001-10-05,47356,48038,45765,45764,447576,433353.0,7174720.0
2001-10-08,44249,45310,42052,42658,444859,403937.0,7174720.0
2001-10-09,43870,46447,43643,44173,750832,418286.0,7174720.0
2001-10-10,43188,44022,42203,42279,320317,400349.0,7174720.0
2001-10-11,43795,44022,42128,42127,519836,398914.0,7174720.0
2001-10-12,42810,44780,42507,42809,729030,405372.0,7174720.0
2001-10-15,42431,43416,40688,40839,642530,386717.0,7174720.0
2001-10-16,40688,42203,39248,40460,739754,383130.0,7174720.0
2001-10-17,41294,45310,41218,45310,1242548,429048.0,7174720.0
2001-10-18,44855,45840,42658,43112,804453,408242.0,7174720.0
2001-10-19,42961,43795,42128,42809,345962,405372.0,7174720.0
2001-10-22,43188,45158,42885,43188,637578,408959.0,7174720.0
2001-10-23,42885,43492,41067,41521,416248,393175.0,7174720.0
2001-10-24,40915,41900,40840,41218,245317,390305.0,7174720.0
2001-10-25,41294,45158,41294,42051,1056436,398197.0,7174720.0
2001-10-26,42431,42885,40915,41445,214836,392457.0,7174720.0
2001-10-29,41673,42734,41294,41445,210957,392457.0,7174720.0
2001-10-30,40537,40915,39855,40763,217039,386000.0,7174720.0
2001-10-31,40309,41218,40158,40763,138687,386000.0,7174720.0
2001-11-01,40764,41446,40537,40536,188065,383848.0,7174720.0
2001-11-02,40991,41749,40158,40536,216680,383848.0,7174720.0
2001-11-05,40688,41143,40461,40915,126890,387435.0,7174720.0
2001-11-06,41218,42658,40764,40991,311927,388152.0,7174720.0
2001-11-07,40764,40991,40158,40157,172861,380260.0,7174720.0
2001-11-08,39930,41067,39930,40006,165153,378825.0,7174720.0
2001-11-09,39476,40006,38718,39400,195599,373085.0,7174720.0
2001-11-12,39400,41370,38870,40385,323120,382413.0,7174720.0
