인포마크(175140),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-09-23,25000,27100,18950,20100,2008207,70425.0,3503708.0
2015-09-24,20200,22050,18600,21000,365239,73578.0,3503708.0
2015-09-25,21000,21400,20000,20400,95196,71476.0,3503708.0
2015-09-30,19800,20350,18950,20350,82296,71300.0,3503708.0
2015-10-01,20700,21350,19600,19600,83569,68673.0,3503708.0
2015-10-02,19650,20050,18750,18750,70406,65695.0,3503708.0
2015-10-05,19100,19450,18500,18750,39674,65695.0,3503708.0
2015-10-06,19000,19000,18250,18400,45033,64468.0,3503708.0
2015-10-07,18500,18500,17500,17600,45213,61665.0,3503708.0
2015-10-08,17700,17950,16950,17400,42424,60965.0,3503708.0
2015-10-12,17900,18050,17000,17100,41250,59913.0,3503708.0
2015-10-13,17100,18300,17000,18150,62874,63592.0,3503708.0
2015-10-14,18200,19600,18000,18600,72545,65169.0,3503708.0
2015-10-15,18950,20900,18700,20100,97982,70425.0,3503708.0
2015-10-16,20600,21400,20450,20650,77562,72352.0,3503708.0
2015-10-19,20800,22350,19750,22350,126525,78308.0,3503708.0
2015-10-20,22350,22850,21700,22500,69401,78833.0,3503708.0
2015-10-21,22450,22450,21000,22000,78627,77082.0,3503708.0
2015-10-22,21900,22050,20700,21500,74845,75330.0,3503708.0
2015-10-23,20750,21650,20450,21500,168543,75330.0,3503708.0
2015-10-26,21750,21850,20850,20950,44229,73403.0,3503708.0
2015-10-27,21100,22200,20800,21000,42547,73578.0,3503708.0
2015-10-28,21350,21350,20500,20850,61843,73052.0,3503708.0
2015-10-29,20500,20850,19800,19800,34840,69373.0,3503708.0
2015-10-30,19800,20000,19300,19800,13810,69373.0,3503708.0
2015-11-02,19800,20000,19500,19600,11858,68673.0,3503708.0
2015-11-03,19350,19700,18750,19500,30460,68322.0,3503708.0
2015-11-04,19800,20500,19300,19700,35645,69023.0,3503708.0
2015-11-05,19600,20250,19150,19750,34311,69198.0,3503708.0
2015-11-06,19950,20150,19250,20000,45370,70074.0,3503708.0
2015-11-09,20000,20500,19650,20000,21312,70074.0,3503708.0
2015-11-10,20150,20150,17900,18400,66779,64468.0,3503708.0
2015-11-11,18400,19200,17700,18200,40599,63767.0,3503708.0
2015-11-12,18200,18650,17650,17750,23868,62191.0,3503708.0
2015-11-13,17450,18150,17200,17250,33127,60439.0,3503708.0
2015-11-16,17000,17800,16750,17700,10932,62016.0,3503708.0
2015-11-17,17450,17700,16950,17200,22655,60264.0,3503708.0
2015-11-18,17200,17300,16300,16300,39374,57110.0,3503708.0
2015-11-19,16400,16900,15950,16650,47145,58337.0,3503708.0
2015-11-20,16400,17350,16200,17250,24139,60439.0,3503708.0
2015-11-23,17450,17450,16800,16850,6559,59037.0,3503708.0
2015-11-24,16850,17050,16600,16800,7350,58862.0,3503708.0
2015-11-25,16800,16800,16050,16300,26193,57110.0,3503708.0
2015-11-26,16300,16350,16000,16150,8560,56585.0,3503708.0
2015-11-27,16200,16350,16100,16200,8057,56760.0,3503708.0
2015-11-30,16100,16400,16000,16150,4927,56585.0,3503708.0
2015-12-01,16000,16350,16000,16350,6352,57286.0,3503708.0
2015-12-02,16500,16700,16300,16500,9913,57811.0,3503708.0
2015-12-03,16650,16700,16000,16100,13150,56410.0,3503708.0
2015-12-04,15900,16150,15600,15850,10752,55534.0,3503708.0
2015-12-07,15850,16050,15700,15700,4332,55008.0,3503708.0
2015-12-08,15500,16650,15150,16300,28777,57110.0,3503708.0
2015-12-09,16450,16500,15800,16200,3544,56760.0,3503708.0
2015-12-10,16300,16300,15300,15950,11782,55884.0,3503708.0
2015-12-11,15950,15950,15100,15400,25576,53957.0,3503708.0
2015-12-14,15100,15550,15100,15400,10201,53957.0,3503708.0
2015-12-15,15000,15400,14850,14850,11232,52030.0,3503708.0
2015-12-16,14850,15150,14600,14600,21292,51154.0,3503708.0
2015-12-17,14750,14750,13650,13750,73671,48176.0,3503708.0
2015-12-18,13550,13750,13300,13550,32374,47475.0,3503708.0
2015-12-21,13700,14000,13550,13550,29233,47475.0,3503708.0
2015-12-22,13550,13700,13150,13300,31131,46599.0,3503708.0
2015-12-23,13500,13500,13000,13000,45390,45548.0,3503708.0
2015-12-24,13000,13000,12000,12000,143610,42044.0,3503708.0
2015-12-28,12150,12600,11800,12300,54969,43096.0,3503708.0
