KMH(122450),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-05-25,5700,5700,4846,4847,1540742,89969.0,12375360.0
2011-05-26,4566,4726,4199,4667,4155814,86628.0,12375360.0
2011-05-27,4733,4953,4506,4673,2609666,86751.0,12375360.0
2011-05-30,4793,5333,4733,5107,3255819,94795.0,12375360.0
2011-05-31,5113,5146,4833,4867,982904,90340.0,12375360.0
2011-06-01,4933,4933,4380,4433,1356210,82296.0,12375360.0
2011-06-02,4253,4546,4193,4287,655385,79574.0,12375360.0
2011-06-03,4346,4393,3846,3880,796162,72025.0,12375360.0
2011-06-07,3826,4180,3740,3773,571188,70045.0,12375360.0
2011-06-08,3826,3940,3733,3733,439321,69302.0,12375360.0
2011-06-09,3766,3933,3766,3820,404228,70911.0,12375360.0
2011-06-10,3880,3960,3720,3767,324246,69921.0,12375360.0
2011-06-13,3760,3800,3300,3467,455456,64352.0,12375360.0
2011-06-14,3473,3766,3360,3560,607602,66084.0,12375360.0
2011-06-15,3560,3566,3420,3420,187436,63486.0,12375360.0
2011-06-16,3353,3600,3333,3533,284295,65589.0,12375360.0
2011-06-17,3580,3666,3420,3507,279384,65094.0,12375360.0
2011-06-20,3586,3633,3466,3473,242093,64476.0,12375360.0
2011-06-21,3520,3586,3366,3567,248034,66208.0,12375360.0
2011-06-22,3700,4026,3686,3740,1205640,69426.0,12375360.0
2011-06-23,3733,3940,3633,3940,460364,73138.0,12375360.0
2011-06-24,4040,4180,3966,3967,457637,73633.0,12375360.0
2011-06-27,3920,3960,3706,3767,340404,69921.0,12375360.0
2011-06-28,3820,4240,3773,3993,510272,74128.0,12375360.0
2011-06-29,4040,4133,3933,4020,257680,74623.0,12375360.0
2011-06-30,4033,4153,3953,4087,216591,75861.0,12375360.0
2011-07-01,4140,4166,3886,3993,168878,74128.0,12375360.0
2011-07-04,4013,4080,3866,3953,172414,73386.0,12375360.0
2011-07-05,3966,4020,3873,3953,162332,73386.0,12375360.0
2011-07-06,4006,4419,4000,4267,860910,79202.0,12375360.0
2011-07-07,4266,4413,4219,4267,320192,79202.0,12375360.0
2011-07-08,4333,4333,4233,4313,126642,80069.0,12375360.0
2011-07-11,4333,4406,4266,4333,184590,80440.0,12375360.0
2011-07-12,4333,4420,4180,4180,315861,77594.0,12375360.0
2011-07-13,4186,4266,3553,4180,150853,77594.0,12375360.0
2011-07-14,4179,4533,4066,4507,473115,83657.0,12375360.0
2011-07-15,4600,4666,4446,4520,650392,83905.0,12375360.0
2011-07-18,4566,4660,4460,4533,249693,84152.0,12375360.0
2011-07-19,4633,4866,4626,4633,640183,86009.0,12375360.0
2011-07-20,4633,4766,4626,4760,297954,88360.0,12375360.0
2011-07-21,4800,4920,4746,4767,356063,88484.0,12375360.0
2011-07-22,4800,4800,4633,4767,205058,88484.0,12375360.0
2011-07-25,4813,4873,4733,4733,212527,87865.0,12375360.0
2011-07-26,4720,4993,4633,4840,425964,89845.0,12375360.0
2011-07-27,4866,5440,4853,5267,996282,97765.0,12375360.0
2011-07-28,5186,5306,5080,5193,503811,96404.0,12375360.0
2011-07-29,5166,5220,5000,5100,369031,94672.0,12375360.0
2011-08-01,5133,5346,5000,5107,551276,94795.0,12375360.0
2011-08-02,5060,5120,4800,5020,236138,93186.0,12375360.0
2011-08-03,4906,4953,4753,4913,274250,91206.0,12375360.0
2011-08-04,4933,4993,4533,4667,221833,86628.0,12375360.0
2011-08-05,4200,4526,4140,4400,286869,81677.0,12375360.0
2011-08-08,4320,4666,3746,4493,290243,83410.0,12375360.0
2011-08-09,4400,4560,3953,4493,288420,83410.0,12375360.0
2011-08-10,4606,5100,4606,4827,882868,89598.0,12375360.0
2011-08-11,4533,4866,4479,4827,314640,89598.0,12375360.0
2011-08-12,4966,5266,4840,5033,921100,93434.0,12375360.0
2011-08-16,5180,5213,5073,5073,388819,94176.0,12375360.0
2011-08-17,5073,5140,4913,5033,313117,93434.0,12375360.0
2011-08-18,5100,5513,5100,5373,2894786,99745.0,12375360.0
2011-08-19,5066,5320,5000,5100,613062,94672.0,12375360.0
2011-08-22,5120,5540,5120,5247,1115846,97394.0,12375360.0
2011-08-23,5266,5353,5113,5220,457850,96899.0,12375360.0
2011-08-24,5333,5353,5006,5033,328871,93434.0,12375360.0
2011-08-25,5100,5146,4833,4900,327071,90959.0,12375360.0
2011-08-26,4900,4966,4666,4813,219303,89350.0,12375360.0
2011-08-29,4920,4973,4806,4827,213383,89598.0,12375360.0
2011-08-30,4826,4860,4500,4520,440282,83905.0,12375360.0
2011-08-31,4573,4640,4446,4500,167388,83534.0,12375360.0
2011-09-01,4540,4713,4500,4600,241940,85390.0,12375360.0
2011-09-02,4753,4793,4606,4687,181897,86999.0,12375360.0
2011-09-05,4626,4639,4433,4467,156063,82915.0,12375360.0
2011-09-06,4300,4406,4113,4133,209080,76727.0,12375360.0
2011-09-07,4253,4260,4120,4160,185537,77222.0,12375360.0
2011-09-08,4200,4413,4166,4400,204128,81677.0,12375360.0
2011-09-09,4393,4606,4320,4540,152851,84276.0,12375360.0
2011-09-14,4486,4533,4146,4167,90200,77346.0,12375360.0
2011-09-15,4246,4413,4246,4380,111878,81306.0,12375360.0
2011-09-16,4513,4606,4466,4507,98177,83657.0,12375360.0
2011-09-19,4473,4560,4473,4520,63606,83905.0,12375360.0
2011-09-20,4639,4719,4533,4687,158982,86999.0,12375360.0
2011-09-21,4726,4726,4593,4640,103804,86133.0,12375360.0
2011-09-22,4433,5100,4400,5100,425393,94672.0,12375360.0
2011-09-23,4900,5246,4826,5153,857952,95662.0,12375360.0
2011-09-26,5340,5500,4573,4800,788959,89103.0,12375360.0
