필옵틱스(161580),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-06-01,16413,20057,16141,19070,2996509,323411.0,5775200.0
2017-06-02,18797,19410,18184,19138,511847,324566.0,5775200.0
2017-06-05,19308,20397,18593,18593,349476,315326.0,5775200.0
2017-06-07,18661,19103,18048,18218,171235,308973.0,5775200.0
2017-06-08,18388,19512,18184,19342,341591,328031.0,5775200.0
2017-06-09,19580,20636,19137,20466,349476,347090.0,5775200.0
2017-06-12,19989,20295,19682,20194,172630,342469.0,5775200.0
2017-06-13,19921,20125,19274,19615,199670,332652.0,5775200.0
2017-06-14,19648,19852,19410,19512,77509,330919.0,5775200.0
2017-06-15,19546,19955,18899,19955,145616,338427.0,5775200.0
2017-06-16,19580,19716,19274,19410,95179,329186.0,5775200.0
2017-06-19,19205,19614,18899,19615,110881,332652.0,5775200.0
2017-06-20,19682,19716,19069,19240,70341,326299.0,5775200.0
2017-06-21,19240,19240,18763,18763,42396,320351.0,5814000.0
2017-06-22,18797,19205,18695,18763,55078,320351.0,5814000.0
2017-06-23,18865,19171,18729,19036,36284,325003.0,5814000.0
2017-06-26,19035,19171,18831,19172,39460,327328.0,5814000.0
2017-06-27,19171,19750,18899,19512,69972,333142.0,5814000.0
2017-06-28,19512,19512,19069,19172,55158,327328.0,5814000.0
2017-06-29,19240,19682,18729,18797,85037,320933.0,5814000.0
2017-06-30,18593,18661,18184,18287,55258,312212.0,5814000.0
2017-07-03,18150,18422,17333,17333,137586,295933.0,5814000.0
2017-07-04,17333,17877,17162,17333,77793,295933.0,5814000.0
2017-07-05,17367,17946,17367,17742,40301,302909.0,5814000.0
2017-07-06,17877,17946,17333,17333,48392,295933.0,5814000.0
2017-07-07,17537,17911,17264,17708,31860,302328.0,5814000.0
2017-07-10,17809,17809,17264,17401,23261,297095.0,5814000.0
2017-07-11,17367,18048,17367,17640,66629,301165.0,5814000.0
2017-07-12,17775,17775,17162,17605,66027,300584.0,5814000.0
2017-07-13,17741,17741,17230,17469,40055,298258.0,5814000.0
2017-07-14,17537,17605,17026,17265,43184,294770.0,5814000.0
2017-07-17,17333,17333,16975,17010,41899,290409.0,5814000.0
2017-07-18,16941,17707,16822,17299,58902,295351.0,5814000.0
2017-07-19,17264,17299,16839,16856,65433,287793.0,5814000.0
2017-07-20,16856,16890,16634,16635,58196,284014.0,5814000.0
2017-07-21,16634,17060,16566,16924,133134,288956.0,5814000.0
2017-07-24,16958,18048,16958,17912,175929,305816.0,5814000.0
2017-07-25,18014,18252,17469,17878,101050,305235.0,5814000.0
2017-07-26,18150,18150,17060,17333,137485,295933.0,5814000.0
2017-07-27,17571,17707,17128,17299,65146,295351.0,5814000.0
2017-07-28,17264,17264,16277,16294,154764,278200.0,5814000.0
2017-07-31,16107,16158,15289,15716,123562,268316.0,5814000.0
2017-08-01,15868,16277,15698,16005,63074,273258.0,5814000.0
2017-08-02,15970,16379,15970,16311,44665,278491.0,5814000.0
2017-08-03,16328,16328,14864,15154,128856,258723.0,5814000.0
