태웅(044490),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-11-08,2768,2768,2768,2768,1455350,43387.0,1572000.0
2001-11-09,2768,2909,2447,2607,1538450,40872.0,1572000.0
2001-11-12,2563,2698,2427,2637,363900,41344.0,1572000.0
2001-11-13,2598,2658,2548,2557,283950,40086.0,1572000.0
2001-11-14,2528,2864,2508,2863,443080,44881.0,1572000.0
2001-11-15,3059,3205,3009,3204,267570,50225.0,1572000.0
2001-11-16,3460,3586,3134,3259,880380,51090.0,1572000.0
2001-11-19,3220,3300,3009,3104,189910,48653.0,1572000.0
2001-11-20,3109,3210,2733,2848,297010,44645.0,1572000.0
2001-11-21,2808,3109,2808,2908,263740,45588.0,1572000.0
2001-11-22,2859,2979,2738,2828,164300,44330.0,1572000.0
2001-11-23,2879,3079,2758,2908,205490,45588.0,1572000.0
2001-11-26,2919,3009,2743,2758,127200,43230.0,1572000.0
2001-11-27,2758,2798,2568,2587,324640,40558.0,1572000.0
2001-11-28,2528,2618,2307,2432,216690,38121.0,1572000.0
2001-11-29,2437,2593,2312,2477,222910,38828.0,1572000.0
2001-11-30,2417,2568,2387,2507,446420,39300.0,1572000.0
2001-12-03,2518,2523,2397,2407,258840,37728.0,1572000.0
2001-12-04,2407,2427,2317,2402,291760,37649.0,1572000.0
2001-12-05,2402,2688,2377,2537,494590,39772.0,1572000.0
2001-12-06,2558,2838,2528,2838,562660,44488.0,1572000.0
2001-12-07,2889,2949,2618,2657,653100,41658.0,1572000.0
2001-12-10,2678,2889,2618,2808,328480,44016.0,1572000.0
2001-12-11,2818,3059,2808,2908,316860,45588.0,1572000.0
2001-12-12,2828,2939,2708,2758,189760,43230.0,1572000.0
2001-12-13,2768,2849,2738,2788,125680,43702.0,1572000.0
2001-12-14,2788,2808,2678,2788,69860,43702.0,1572000.0
2001-12-17,2758,2758,2578,2607,95680,40872.0,1572000.0
2001-12-18,2533,2668,2518,2542,64950,39850.0,1572000.0
2001-12-19,2543,2583,2407,2557,105200,40086.0,1572000.0
2001-12-20,2558,2708,2558,2637,79410,41344.0,1572000.0
2001-12-21,2688,2688,2467,2542,99670,39850.0,1572000.0
2001-12-24,2487,2568,2417,2567,103480,40243.0,1572000.0
2001-12-26,2553,2588,2462,2477,75900,38828.0,1572000.0
2001-12-27,2457,2533,2457,2497,46470,39143.0,1572000.0
2001-12-28,2497,2668,2497,2632,91140,41265.0,1572000.0
2002-01-02,2593,2603,2538,2557,79080,40086.0,1572000.0
2002-01-03,2558,2588,2482,2482,89310,38907.0,1572000.0
2002-01-04,2437,2528,2437,2527,101360,39614.0,1572000.0
2002-01-07,2558,2558,2437,2497,64390,39143.0,1572000.0
2002-01-08,2447,2497,2307,2437,108030,38200.0,1572000.0
2002-01-09,2362,2457,2307,2306,264950,36156.0,1572000.0
2002-01-10,2307,2337,2166,2201,152200,34505.0,1572000.0
2002-01-11,2192,2257,2156,2226,74650,34898.0,1572000.0
2002-01-14,2177,2232,2156,2156,55190,33798.0,1572000.0
2002-01-15,2126,2217,2096,2176,95470,34112.0,1572000.0
2002-01-16,2207,2377,2136,2331,129620,36549.0,1572000.0
2002-01-17,2357,2377,2237,2326,38050,36470.0,1572000.0
2002-01-18,2327,2347,2237,2347,57890,36785.0,1572000.0
2002-01-21,2312,2317,2237,2276,22470,35684.0,1572000.0
2002-01-22,2277,2307,2207,2276,55990,35684.0,1572000.0
2002-01-23,2242,2287,2217,2256,21150,35370.0,1572000.0
2002-01-24,2262,2297,2182,2206,27080,34584.0,1572000.0
