모다(149940),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-09-25,4450,5000,3785,3785,2263306,37154.0,4908000.0
2012-09-26,3770,4350,3765,4350,1021390,42700.0,4908000.0
2012-09-27,4250,4950,4175,4460,2573751,43779.0,4908000.0
2012-09-28,4600,4795,4075,4140,892922,40638.0,4908000.0
2012-10-02,4185,4185,3835,3915,505847,38430.0,4908000.0
2012-10-04,3940,4045,3840,3850,514370,37792.0,4908000.0
2012-10-05,3935,4065,3810,3810,512756,37399.0,4908000.0
2012-10-08,3870,4115,3790,4115,487799,40393.0,4908000.0
2012-10-09,4075,4730,4020,4730,1096000,46430.0,4908000.0
2012-10-10,4995,5425,4545,5425,2422341,53252.0,4908000.0
2012-10-11,5325,5875,5100,5325,2173315,52270.0,4908000.0
2012-10-12,5500,6100,5325,5525,2381672,54233.0,4908000.0
2012-10-15,5425,5975,5350,5900,1170008,57914.0,4908000.0
2012-10-16,5950,6175,5275,5275,751610,51779.0,4908000.0
2012-10-17,5275,5675,5075,5175,489661,50798.0,4908000.0
2012-10-18,5200,5875,5050,5400,896867,53006.0,4908000.0
2012-10-19,5375,5950,5350,5950,599459,58405.0,4908000.0
2012-10-22,6200,6450,5700,5850,977285,57424.0,4908000.0
2012-10-23,5950,6350,5550,5550,1324083,54479.0,4908000.0
2012-10-24,5450,5600,5150,5325,695410,52270.0,4908000.0
2012-10-25,5350,5700,4925,5075,952798,49816.0,4908000.0
2012-10-26,5100,5175,4665,4720,463560,46332.0,4908000.0
2012-10-29,4820,5025,4680,4785,417400,46970.0,4908000.0
2012-10-30,4725,4935,4705,4750,226221,46626.0,4908000.0
2012-10-31,4945,4970,4725,4750,273412,46626.0,4908000.0
2012-11-01,4765,4915,4680,4915,219103,48246.0,4908000.0
2012-11-02,4975,5375,4920,5100,571462,50062.0,4908000.0
2012-11-05,5125,5175,4925,4925,161101,48344.0,4908000.0
2012-11-06,5025,5025,4760,4855,204566,47657.0,4908000.0
2012-11-07,4855,4900,4650,4650,143885,45644.0,4908000.0
2012-11-08,4595,4595,4300,4355,235703,42749.0,4908000.0
2012-11-09,4290,4785,4290,4665,395727,45792.0,4908000.0
2012-11-12,4650,4680,4495,4565,134721,44810.0,4908000.0
2012-11-13,4510,4550,4250,4350,215864,42700.0,4908000.0
2012-11-14,4310,4440,4135,4135,140136,40589.0,4908000.0
2012-11-15,3800,3935,3515,3620,512688,35534.0,4908000.0
2012-11-16,3550,3615,3450,3520,126784,34552.0,4908000.0
2012-11-19,3530,3780,3530,3665,173956,35976.0,4908000.0
2012-11-20,3700,3775,3580,3675,75930,36074.0,4908000.0
2012-11-21,3730,4120,3700,3730,269839,36614.0,4908000.0
2012-11-22,3850,3850,3700,3715,72077,36466.0,4908000.0
2012-11-23,3790,3790,3520,3585,73688,35190.0,4908000.0
2012-11-26,3585,3800,3505,3670,124940,36025.0,4908000.0
2012-11-27,3675,4220,3630,4220,490814,41424.0,4908000.0
2012-11-28,4325,4660,4215,4220,900706,41424.0,4908000.0
2012-11-29,4270,4445,4220,4350,240723,42700.0,4908000.0
2012-11-30,4360,4730,4360,4515,493101,44319.0,4908000.0
2012-12-03,4550,4550,4125,4135,165725,40589.0,4908000.0
2012-12-04,4150,4190,3960,4005,132757,39313.0,4908000.0
2012-12-05,3990,4215,3960,4125,119372,40491.0,4908000.0
2012-12-06,4100,4260,4075,4150,70493,40736.0,4908000.0
2012-12-07,4155,4395,4094,4275,108668,41963.0,4908000.0
2012-12-10,4275,4395,4080,4090,82317,40147.0,4908000.0
2012-12-11,4075,4125,3910,4025,90185,39509.0,4908000.0
2012-12-12,4025,4090,3920,4070,56871,39951.0,4908000.0
2012-12-13,4035,4160,4005,4005,81197,39313.0,4908000.0
2012-12-14,4045,4120,4005,4080,73519,40049.0,4908000.0
2012-12-17,4145,4250,4100,4175,98847,40982.0,4908000.0
2012-12-18,4200,4295,4060,4060,63673,39853.0,4908000.0
2012-12-20,4045,4090,3455,3455,355061,33914.0,4908000.0
2012-12-21,3355,3475,3080,3230,337799,31706.0,4908000.0
2012-12-24,3220,3345,3200,3310,109194,32491.0,4908000.0
2012-12-26,3285,3450,3270,3360,97576,32982.0,4908000.0
2012-12-27,3375,3570,3370,3415,76805,33522.0,4908000.0
2012-12-28,3415,3530,3370,3450,41222,33865.0,4908000.0
2013-01-02,3500,3575,3470,3570,52982,35043.0,4908000.0
2013-01-03,3630,3665,3510,3560,33557,34945.0,4908000.0
2013-01-04,3535,3650,3515,3650,43397,35828.0,4908000.0
2013-01-07,3650,4100,3650,3940,153979,38675.0,4908000.0
2013-01-08,3925,3965,3815,3885,33136,38135.0,4908000.0
2013-01-09,3885,3960,3855,3885,40523,38135.0,4908000.0
2013-01-10,3845,3925,3815,3900,41635,38282.0,4908000.0
2013-01-11,3870,3940,3780,3830,43872,37595.0,4908000.0
2013-01-14,3870,3870,3775,3835,35732,37644.0,4908000.0
2013-01-15,3850,3875,3725,3790,23628,37203.0,4908000.0
2013-01-16,3795,3840,3705,3705,26781,36368.0,4908000.0
2013-01-17,3660,4095,3630,3660,143869,35927.0,4908000.0
2013-01-18,3660,3660,3455,3580,107121,35141.0,4908000.0
2013-01-21,3540,3745,3540,3660,75000,35927.0,4908000.0
2013-01-22,3690,3700,3600,3650,27144,35828.0,4908000.0
2013-01-23,3615,3700,3590,3605,38202,35387.0,4908000.0
2013-01-24,3605,3645,3375,3490,73090,34258.0,4908000.0
2013-01-25,3495,3525,3415,3425,20759,33620.0,4908000.0
2013-01-28,3430,3550,3385,3515,43342,34503.0,4908000.0
2013-01-29,3525,3545,3375,3375,58697,33129.0,4908000.0
2013-01-30,3400,3440,3280,3345,74898,32835.0,4908000.0
2013-01-31,3345,3460,3305,3420,25839,33571.0,4908000.0
2013-02-01,3455,3585,3375,3500,59434,34356.0,4908000.0
2013-02-04,3500,3540,3360,3360,42824,32982.0,4908000.0
2013-02-05,3360,3365,3200,3250,46704,31902.0,4908000.0
2013-02-06,3250,3320,3125,3150,68800,30920.0,4908000.0
2013-02-07,3150,3195,3060,3140,48470,30822.0,4908000.0
2013-02-08,3120,3170,3105,3115,12329,30577.0,4908000.0
2013-02-12,3100,3180,3095,3125,22757,30675.0,4908000.0
2013-02-13,3125,3210,3125,3170,9574,31117.0,4908000.0
