상아프론테크(089980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-07-21,7680,8250,6530,6700,13193213,82339.0,12289470.0
2011-07-22,6890,7250,6370,6780,3108508,83323.0,12289470.0
2011-07-25,6800,6870,6230,6250,961059,76809.0,12289470.0
2011-07-26,6250,6470,6060,6230,760205,76563.0,12289470.0
2011-07-27,6230,6420,6160,6230,489044,76563.0,12289470.0
2011-07-28,6120,6520,6080,6400,693052,78653.0,12289470.0
2011-07-29,6400,6470,6100,6110,382788,75089.0,12289470.0
2011-08-01,6210,6220,6060,6120,315685,75212.0,12289470.0
2011-08-02,6090,6170,5930,6010,299936,73860.0,12289470.0
2011-08-03,6060,6060,5720,5720,253694,70296.0,12289470.0
2011-08-04,5730,5830,5540,5550,385695,68207.0,12289470.0
2011-08-05,4880,5260,4830,5100,394951,62676.0,12289470.0
2011-08-08,4825,5070,4340,4345,274242,53398.0,12289470.0
2011-08-09,3805,3995,3695,3695,446831,45410.0,12289470.0
2011-08-10,3905,4240,3905,4080,404519,50141.0,12289470.0
2011-08-11,3620,4180,3620,4060,241667,49895.0,12289470.0
2011-08-12,4400,4615,4230,4390,335305,53951.0,12289470.0
2011-08-16,4690,4770,4560,4755,214024,58436.0,12289470.0
2011-08-17,4760,5170,4670,5060,209701,62185.0,12289470.0
2011-08-18,5110,5130,4855,4900,179148,60218.0,12289470.0
2011-08-19,4510,4765,4310,4390,135858,53951.0,12289470.0
2011-08-22,4205,4495,4000,4190,111700,51493.0,12289470.0
2011-08-23,4230,4480,4230,4460,58445,54811.0,12289470.0
2011-08-24,4530,4720,4430,4430,74876,54442.0,12289470.0
2011-08-25,4580,4670,4450,4460,76596,54811.0,12289470.0
2011-08-26,4380,4720,4380,4700,124119,57761.0,12289470.0
2011-08-29,4715,5150,4715,5030,126929,61816.0,12289470.0
2011-08-30,5090,5300,4810,4810,138304,59112.0,12289470.0
2011-08-31,4895,5040,4800,4915,103177,60403.0,12289470.0
2011-09-01,5090,5300,4960,4980,163973,61202.0,12289470.0
2011-09-02,5120,5120,4900,4915,55517,60403.0,12289470.0
2011-09-05,4745,4980,4550,4640,94802,57023.0,12289470.0
2011-09-06,4350,4590,4210,4340,86389,53336.0,12289470.0
2011-09-07,4400,4980,4400,4765,108606,58559.0,12289470.0
2011-09-08,4930,4930,4590,4770,54008,58621.0,12289470.0
2011-09-09,4790,5260,4550,5010,161091,61570.0,12289470.0
2011-09-14,4925,5190,4800,4920,199298,60464.0,12289470.0
2011-09-15,5030,5160,4820,5020,157383,61693.0,12289470.0
2011-09-16,5120,5600,5080,5450,464903,66978.0,12289470.0
2011-09-19,5600,6260,5600,6160,1378843,75703.0,12289470.0
2011-09-20,5980,6170,5840,6060,450128,74474.0,12289470.0
2011-09-21,6200,6430,5950,6070,487876,74597.0,12289470.0
2011-09-22,5810,5970,5490,5500,312680,67592.0,12289470.0
2011-09-23,5010,5160,4840,4845,314152,59542.0,12289470.0
2011-09-26,4905,5040,4120,4120,356022,50633.0,12289470.0
2011-09-27,4150,4680,4150,4520,174959,55548.0,12289470.0
2011-09-28,4710,4795,4520,4520,112682,55548.0,12289470.0
2011-09-29,4425,5090,4350,5000,167167,61447.0,12289470.0
2011-09-30,5190,5450,5000,5200,115899,63905.0,12289470.0
2011-10-04,4800,5100,4660,5040,87760,61939.0,12289470.0
2011-10-05,5200,5230,4760,4760,75442,58498.0,12289470.0
2011-10-06,5080,5150,4820,5090,95803,62553.0,12289470.0
2011-10-07,5350,5480,5100,5300,138218,65134.0,12289470.0
2011-10-10,5470,5530,5250,5450,105968,66978.0,12289470.0
2011-10-11,5600,5680,5400,5400,91032,66363.0,12289470.0
2011-10-12,5400,5460,5150,5220,86992,64151.0,12289470.0
2011-10-13,5300,5510,5270,5320,94792,65380.0,12289470.0
2011-10-14,5320,5420,5000,5110,103627,62799.0,12289470.0
2011-10-17,5210,5290,5140,5220,78013,64151.0,12289470.0
2011-10-18,5190,5190,5000,5100,83438,62676.0,12289470.0
2011-10-19,5220,5220,5050,5080,74046,62431.0,12289470.0
2011-10-20,5120,5440,5030,5060,173064,62185.0,12289470.0
2011-10-21,5160,5250,5060,5230,109287,64274.0,12289470.0
2011-10-24,5360,5360,5070,5100,168023,62676.0,12289470.0
2011-10-25,5190,5560,5060,5320,319329,65380.0,12289470.0
2011-10-26,5310,5390,5220,5240,156146,64397.0,12289470.0
2011-10-27,5240,5300,5110,5200,180558,63905.0,12289470.0
2011-10-28,5300,5350,5010,5070,110754,62308.0,12289470.0
2011-10-31,5200,5200,4910,4910,118298,60341.0,12289470.0
2011-11-01,4800,5640,4780,5200,971306,63905.0,12289470.0
2011-11-02,5020,5190,4985,5120,112514,62922.0,12289470.0
2011-11-03,5170,5270,5030,5080,105828,62431.0,12289470.0
2011-11-04,5260,5280,5080,5160,140656,63414.0,12289470.0
2011-11-07,5180,5290,5100,5100,106412,62676.0,12289470.0
2011-11-08,5220,5490,5130,5350,662192,65749.0,12289470.0
2011-11-09,5450,6130,5420,5930,1104509,72877.0,12289470.0
2011-11-10,5710,6100,5520,5990,502940,73614.0,12289470.0
2011-11-11,6440,6580,5650,5710,587047,70173.0,12289470.0
2011-11-14,5810,6180,5750,6030,356392,74106.0,12289470.0
2011-11-15,6010,6180,5850,6050,318781,74351.0,12289470.0
2011-11-16,6250,6250,5750,5750,303521,70664.0,12289470.0
2011-11-17,5850,5850,5640,5780,141209,71033.0,12289470.0
2011-11-18,5730,5880,5560,5830,167608,71648.0,12289470.0
2011-11-21,5830,5910,5690,5700,142728,70050.0,12289470.0
2011-11-22,5530,5700,5500,5610,185208,68944.0,12289470.0
2011-11-23,5800,6060,5630,5630,349155,69190.0,12289470.0
2011-11-24,5710,5960,5550,5960,310373,73245.0,12289470.0
2011-11-25,5900,6020,5580,5600,264119,68821.0,12289470.0
2011-11-28,5600,5710,5250,5280,326879,64888.0,12289470.0
