노바렉스(194700),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-14,25450,25800,20000,20100,2992520,180975.0,9003740.0
2018-11-15,20100,21050,18950,20250,889900,182326.0,9003740.0
2018-11-16,20450,20550,19350,19350,465586,174222.0,9003740.0
2018-11-19,19100,19500,18650,18750,310994,168820.0,9003740.0
2018-11-20,19000,19700,18650,19000,503318,171071.0,9003740.0
2018-11-21,19700,20250,18650,18850,630236,169720.0,9003740.0
2018-11-22,18750,18750,17300,17300,331265,155765.0,9003740.0
2018-11-23,17200,17700,16250,16250,324233,146311.0,9003740.0
2018-11-26,16500,17000,16050,16300,179741,146761.0,9003740.0
2018-11-27,16350,17700,16200,17550,343257,158016.0,9003740.0
2018-11-28,17250,17800,17050,17400,164144,156665.0,9003740.0
2018-11-29,17650,18350,17250,17250,134760,155315.0,9003740.0
2018-11-30,17200,17450,17100,17100,60862,153964.0,9003740.0
2018-12-03,17100,17500,17050,17100,72213,153964.0,9003740.0
2018-12-04,17200,17350,17000,17200,59553,154864.0,9003740.0
2018-12-05,17000,17000,16500,16800,80589,151263.0,9003740.0
2018-12-06,16650,17050,16200,16200,60450,145861.0,9003740.0
2018-12-07,16250,16750,15650,15700,59595,141359.0,9003740.0
2018-12-10,15500,15950,14900,15400,58581,138658.0,9003740.0
2018-12-11,15400,15500,14750,14750,47849,132805.0,9003740.0
2018-12-12,14650,15300,14600,15300,45312,137757.0,9003740.0
2018-12-13,15300,15400,15000,15100,28036,135956.0,9003740.0
2018-12-14,15200,15200,14550,14600,37543,131455.0,9003740.0
2018-12-17,14550,14850,14000,14300,41144,128753.0,9003740.0
2018-12-18,14050,14600,14000,14300,31427,128753.0,9003740.0
2018-12-19,14300,15750,14300,15600,102447,140458.0,9003740.0
2018-12-20,15350,16550,15000,15900,107400,143159.0,9003740.0
2018-12-21,15700,16550,15700,16400,73770,147661.0,9003740.0
2018-12-24,16500,17100,16250,16450,58293,148112.0,9003740.0
2018-12-26,16000,16150,15400,15950,47641,143610.0,9003740.0
2018-12-27,16300,16500,15750,15900,39278,143159.0,9003740.0
2018-12-28,15900,16200,15400,15850,43548,142709.0,9003740.0
2019-01-02,15850,16150,15100,15300,26147,137757.0,9003740.0
2019-01-03,15300,15600,15000,15100,15963,135956.0,9003740.0
2019-01-04,14900,15200,14400,15000,33968,135056.0,9003740.0
2019-01-07,15650,15650,14950,15100,21801,135956.0,9003740.0
2019-01-08,15100,15400,14500,15050,17370,135506.0,9003740.0
2019-01-09,15250,16300,14900,15900,75263,143159.0,9003740.0
2019-01-10,16250,17200,15900,16800,200381,151263.0,9003740.0
2019-01-11,16800,17050,16250,16700,59079,150362.0,9003740.0
2019-01-14,16650,18350,16400,17900,377047,161167.0,9003740.0
2019-01-15,18250,19000,18050,18400,265540,165669.0,9003740.0
2019-01-16,18350,19000,17250,17700,244639,159366.0,9003740.0
2019-01-17,17700,18000,16700,16750,100551,150813.0,9003740.0
2019-01-18,16750,17300,16700,17000,58938,153064.0,9003740.0
2019-01-21,17000,17350,16450,16850,35653,151713.0,9003740.0
2019-01-22,16650,17000,16600,16850,36203,151713.0,9003740.0
2019-01-23,17000,18400,17000,18200,299201,163868.0,9003740.0
2019-01-24,18250,18500,17500,18300,583639,164768.0,9003740.0
2019-01-25,18300,19300,17900,19000,361681,171071.0,9003740.0
2019-01-28,19350,19350,18350,18450,179489,166119.0,9003740.0
2019-01-29,18500,18950,17900,17950,84578,161617.0,9003740.0
2019-01-30,17950,19100,17900,19000,125101,171071.0,9003740.0
2019-01-31,19400,19650,18400,18450,145568,166119.0,9003740.0
2019-02-01,18600,18900,18000,18200,78963,163868.0,9003740.0
2019-02-07,18400,18450,17950,18200,65965,163868.0,9003740.0
2019-02-08,18300,18300,17850,18100,57113,162968.0,9003740.0
2019-02-11,18100,18700,17550,18550,88222,167019.0,9003740.0
2019-02-12,18900,18900,17950,18400,57600,165669.0,9003740.0
2019-02-13,18550,18550,17100,18000,94013,162067.0,9003740.0
2019-02-14,18000,18200,17500,17800,53347,160267.0,9003740.0
2019-02-15,17850,17850,17200,17400,81125,156665.0,9003740.0
2019-02-18,17400,17900,17300,17750,48961,159816.0,9003740.0
2019-02-19,17800,18050,17350,17600,61349,158466.0,9003740.0
2019-02-20,17750,18050,17500,17900,41868,161167.0,9003740.0
2019-02-21,18050,18050,17700,17950,32286,161617.0,9003740.0
2019-02-22,18200,18200,17650,17850,29654,160717.0,9003740.0
2019-02-25,18000,18000,17650,17900,41368,161167.0,9003740.0
