캐스텍코리아(071850),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-05-27,11500,11900,9800,9800,4611375,121256.0,12373089.0
2014-05-28,9580,10250,9530,10200,2346877,126206.0,12373089.0
2014-05-29,10150,10300,9800,9800,861522,121256.0,12373089.0
2014-05-30,10100,11250,10000,10650,4804060,131773.0,12373089.0
2014-06-02,10850,12150,10250,11700,2591173,144765.0,12373089.0
2014-06-03,11500,12500,11050,11250,1982661,139197.0,12373089.0
2014-06-05,11450,11650,11000,11350,824243,140435.0,12373089.0
2014-06-09,11450,11650,9990,10050,1101185,124350.0,12373089.0
2014-06-10,10100,11000,9860,10650,739459,131773.0,12373089.0
2014-06-11,10500,10650,10250,10500,484195,129917.0,12373089.0
2014-06-12,10550,10800,10300,10350,341992,128061.0,12373089.0
2014-06-13,10400,10450,10050,10200,336679,126206.0,12373089.0
2014-06-16,10350,10400,9990,10250,214409,126824.0,12373089.0
2014-06-17,10200,10200,9940,10000,252514,123731.0,12373089.0
2014-06-18,10150,10800,10100,10500,718382,129917.0,12373089.0
2014-06-19,10600,10700,10300,10650,277151,131773.0,12373089.0
2014-06-20,10600,11050,10450,10500,413273,129917.0,12373089.0
2014-06-23,10700,10800,10000,10050,332740,124350.0,12373089.0
2014-06-24,10200,10500,10100,10300,283361,127443.0,12373089.0
2014-06-25,10350,10400,10100,10200,167141,126206.0,12373089.0
2014-06-26,10350,11400,10350,10600,1798214,131155.0,12373089.0
2014-06-27,10000,10350,10000,10100,1377817,124968.0,12373089.0
2014-06-30,10100,10200,10000,10100,623018,124968.0,12373089.0
2014-07-01,10150,10450,9890,10100,994008,124968.0,12373089.0
2014-07-02,10150,10200,9970,10100,312458,124968.0,12373089.0
2014-07-03,10100,10450,9990,10350,670115,128061.0,12373089.0
2014-07-04,10350,10900,10350,10700,1094159,132392.0,12373089.0
2014-07-07,10700,10850,10500,10600,376145,131155.0,12373089.0
2014-07-08,10650,11100,10600,11100,845810,137341.0,12373089.0
2014-07-09,11000,11300,10850,11150,462382,137960.0,12373089.0
2014-07-10,11100,11250,10800,11100,683327,137341.0,12373089.0
2014-07-11,11050,11050,10500,10700,1494988,132392.0,12373089.0
2014-07-14,10850,11450,10750,11450,1274321,141672.0,12373089.0
2014-07-15,11400,11550,11200,11300,519380,139816.0,12373089.0
2014-07-16,11500,11500,10700,10900,690730,134867.0,12373089.0
2014-07-17,10900,11000,10750,10850,372664,134248.0,12373089.0
2014-07-18,10700,10850,10400,10550,454626,130536.0,12373089.0
2014-07-21,10600,10750,10400,10450,272453,129299.0,12373089.0
2014-07-22,10550,10650,10400,10450,212589,129299.0,12373089.0
2014-07-23,10500,10600,10100,10150,531897,125587.0,12373089.0
2014-07-24,10150,10200,10000,10150,319364,125587.0,12373089.0
2014-07-25,10200,10250,10050,10200,128393,126206.0,12373089.0
2014-07-28,10250,10550,10100,10100,416418,124968.0,12373089.0
2014-07-29,10250,10350,8700,9000,1077292,111358.0,12373089.0
2014-07-30,9000,9000,8110,8400,779771,103934.0,12373089.0
2014-07-31,8300,8800,8300,8570,392652,106037.0,12373089.0
2014-08-01,8430,8850,8410,8590,170080,106285.0,12373089.0
2014-08-04,8680,9120,8630,9070,275528,112224.0,12373089.0
2014-08-05,9070,9140,8810,8810,199843,109007.0,12373089.0
2014-08-06,8810,9100,8770,9020,157699,111605.0,12373089.0
2014-08-07,8990,9030,8500,8630,225147,106780.0,12373089.0
2014-08-08,8580,8890,8400,8840,167117,109378.0,12373089.0
2014-08-11,8930,8940,8630,8640,114278,106903.0,12373089.0
2014-08-12,8640,8800,8450,8670,120082,107275.0,12373089.0
2014-08-13,8800,8820,8570,8590,130072,106285.0,12373089.0
2014-08-14,8680,8800,8500,8760,196196,108388.0,12373089.0
2014-08-18,8800,8800,8590,8640,118580,106903.0,12373089.0
2014-08-19,8670,8670,8270,8350,244176,103315.0,12373089.0
2014-08-20,8310,8310,7560,7560,998366,93541.0,12373089.0
2014-08-21,7570,7680,7500,7500,214421,92798.0,12373089.0
2014-08-22,7510,7570,7140,7270,518736,89952.0,12373089.0
2014-08-25,7340,8220,7340,7850,1074132,97129.0,12373089.0
2014-08-26,8300,8300,8010,8150,468856,100841.0,12373089.0
2014-08-27,8100,8100,7830,7980,354265,98737.0,12373089.0
2014-08-28,8010,8360,7910,8230,293942,101831.0,12373089.0
2014-08-29,8170,8290,8000,8070,167218,99851.0,12373089.0
2014-09-01,8140,8150,7860,7860,152374,97252.0,12373089.0
2014-09-02,7930,8130,7740,8060,149648,99727.0,12373089.0
