TS인베스트먼트(246690),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-12-15,1470,1910,1470,1910,10855724,42824.0,22421004.0
2016-12-16,2235,2480,2060,2480,38712274,55604.0,22421004.0
2016-12-19,2600,2685,2385,2530,14020503,56725.0,22421004.0
2016-12-20,2875,2905,2395,2400,16574050,53810.0,22421004.0
2016-12-21,2370,2385,2210,2380,7228228,53362.0,22421004.0
2016-12-22,2580,3090,2570,3090,21339790,69281.0,22421004.0
2016-12-23,3270,3325,2955,3095,23962314,69393.0,22421004.0
2016-12-26,3165,3800,3000,3495,27994920,78361.0,22421004.0
2016-12-27,3575,4080,3465,3760,25226152,84303.0,22421004.0
2016-12-28,3630,3805,3500,3750,5414057,84079.0,22421004.0
2016-12-29,3800,3800,3600,3600,2518284,80716.0,22421004.0
2017-01-02,3570,3640,3290,3385,2485116,75895.0,22421004.0
2017-01-03,3385,3740,3250,3590,5573553,80491.0,22421004.0
2017-01-04,3610,3610,3400,3475,1990673,77913.0,22421004.0
2017-01-05,3440,3465,3330,3335,1290411,74774.0,22421004.0
2017-01-06,3290,3550,3250,3360,1929878,75335.0,22421004.0
2017-01-09,3335,3640,3320,3565,2751966,79931.0,22421004.0
2017-01-10,3595,3670,3480,3670,2135913,82285.0,22421004.0
2017-01-11,3630,3830,3595,3765,2867193,84415.0,22421004.0
2017-01-12,3690,3770,3615,3770,1973225,84527.0,22421004.0
2017-01-13,3675,3765,3630,3740,1863602,83855.0,22421004.0
2017-01-16,3665,3880,3545,3780,3185536,84751.0,22421004.0
2017-01-17,4215,4390,3675,3690,6165834,82734.0,22421004.0
2017-01-18,3700,3770,3470,3590,1875152,80491.0,22421004.0
2017-01-19,3610,3705,3510,3510,1316410,78698.0,22421004.0
2017-01-20,3455,3515,3325,3395,1055620,76119.0,22421004.0
2017-01-23,3405,3525,3250,3250,817474,72868.0,22421004.0
2017-01-24,3200,3240,2975,3060,1515389,68608.0,22421004.0
2017-01-25,3030,3045,2765,2810,1859629,63003.0,22421004.0
2017-01-26,2870,3055,2800,2900,2932320,65021.0,22421004.0
2017-01-31,2895,2995,2815,2820,837981,63227.0,22421004.0
2017-02-01,2805,2935,2805,2845,950829,63788.0,22421004.0
2017-02-02,2750,2765,2515,2515,1114769,56389.0,22421004.0
2017-02-03,2635,3265,2635,3265,11917930,73205.0,22421004.0
2017-02-06,3265,3405,3195,3375,9255968,75671.0,22421004.0
2017-02-07,3425,3475,3270,3475,4989804,77913.0,22421004.0
2017-02-08,3930,4270,3655,3720,24591042,83406.0,22421004.0
2017-02-09,3630,4070,3565,3860,12163070,86545.0,22421004.0
2017-02-10,3740,3835,3525,3580,3683684,80267.0,22421004.0
2017-02-13,3755,3780,3500,3510,2439974,78698.0,22421004.0
2017-02-14,3535,3800,3395,3800,2989870,85200.0,22421004.0
2017-02-15,3730,3830,3590,3800,3235283,85200.0,22421004.0
2017-02-16,3690,4850,3670,4450,28594131,99773.0,22421004.0
2017-02-17,4320,4565,4210,4375,7727561,98092.0,22421004.0
2017-02-20,4295,4670,4275,4650,6804707,104258.0,22421004.0
2017-02-21,4475,4650,4335,4590,5231924,102912.0,22421004.0
2017-02-22,4530,5240,4400,4500,29287164,100895.0,22421004.0
2017-02-23,4500,5000,4475,4605,14511139,103249.0,22421004.0
2017-02-24,4775,4930,4500,4500,7083594,100895.0,22421004.0
2017-02-27,4335,4435,4105,4230,4135136,94841.0,22421004.0
2017-02-28,4160,4455,4010,4010,4304189,89908.0,22421004.0
2017-03-02,4085,4100,3815,3900,2351227,87442.0,22421004.0
2017-03-03,3920,3970,3585,3610,1948680,80940.0,22421004.0
2017-03-06,3575,4290,3510,4045,11469892,90693.0,22421004.0
2017-03-07,3960,4270,3890,4110,4025835,92150.0,22421004.0
2017-03-08,4145,4460,4145,4205,6817367,94280.0,22421004.0
2017-03-09,4265,4335,3925,4015,2291645,90020.0,22421004.0
2017-03-10,4015,4905,3610,4400,14717218,98652.0,22421004.0
2017-03-13,4710,5030,4620,4780,13725484,107172.0,22421004.0
2017-03-14,4795,6030,4750,5940,23320729,133181.0,22421004.0
2017-03-15,6160,6320,5550,5940,10820248,133181.0,22421004.0
2017-03-16,6030,6800,5850,6060,13259589,135871.0,22421004.0
2017-03-17,6170,6480,5860,6120,6469670,137217.0,22421004.0
2017-03-20,6560,6600,6000,6230,4853513,139683.0,22421004.0
2017-03-21,6160,6240,5990,6090,2136005,136544.0,22421004.0
2017-03-22,5930,6050,5580,5670,2934840,127127.0,22421004.0
2017-03-23,5860,5890,5380,5580,2315953,125109.0,22421004.0
2017-03-24,5510,6040,5490,5600,3765903,125558.0,22421004.0
2017-03-27,5490,5980,5320,5590,2886627,125333.0,22421004.0
2017-03-28,5810,6200,5700,6020,6206254,134974.0,22421004.0
2017-03-29,6180,6300,5910,5980,2846753,134078.0,22421004.0
2017-03-30,5930,6180,5870,6130,2160441,137441.0,22421004.0
2017-03-31,6050,6190,6000,6080,1767604,136320.0,22421004.0
2017-04-03,6150,6410,6060,6230,3286770,139683.0,22421004.0
2017-04-04,6190,6220,5300,5300,2499932,118831.0,22421004.0
2017-04-05,5270,5790,5040,5420,2379879,121522.0,22421004.0
2017-04-06,5460,5630,5050,5070,1533325,113674.0,22421004.0
2017-04-07,5140,5300,4825,5000,1553962,112105.0,22421004.0
2017-04-10,5000,5140,4775,4805,1154712,107733.0,22421004.0
2017-04-11,4805,5450,4725,5210,4136140,116813.0,22421004.0
2017-04-12,5260,5370,5100,5120,1448555,114796.0,22421004.0
2017-04-13,5200,5290,5000,5050,986195,113226.0,22421004.0
