이노와이어리스(073490),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-02-04,14816,16585,14816,16584,250904,94430.0,3800000.0
2005-02-07,18553,18553,18553,18553,13989,105640.0,3800000.0
2005-02-11,20022,20756,19021,20021,706603,114000.0,3800000.0
2005-02-14,20088,21356,18887,20088,668271,114380.0,3800000.0
2005-02-15,21089,22491,20055,22490,715286,128060.0,3800000.0
2005-02-16,23359,25160,22725,25160,416038,143260.0,3800000.0
2005-02-17,26695,28164,25895,28163,178810,160360.0,3800000.0
2005-02-18,27697,29031,24793,24793,644484,141170.0,3800000.0
2005-02-21,24827,25361,22291,25093,483842,142880.0,3800000.0
2005-02-22,25427,27496,23025,24359,589722,138700.0,3800000.0
2005-02-23,23292,24560,22825,23625,291275,134520.0,3800000.0
2005-02-24,24026,25494,23759,24326,429988,138510.0,3800000.0
2005-02-25,24026,24360,21423,21423,380934,121980.0,3800000.0
2005-02-28,21356,22357,20556,21823,215099,124260.0,3800000.0
2005-03-02,21490,21957,19254,19687,193249,112100.0,3800000.0
2005-03-03,19054,19821,18153,19287,203648,109820.0,3800000.0
2005-03-04,18987,19888,18286,19420,361673,110580.0,3800000.0
2005-03-07,20088,21023,19521,20221,432634,115140.0,3800000.0
2005-03-08,20022,20222,17819,17819,398945,101460.0,3800000.0
2005-03-09,17385,18286,16618,18152,289931,103360.0,3800000.0
2005-03-10,17953,18286,16885,17018,194591,96900.0,3800000.0
2005-03-11,16785,19054,16785,19053,442220,108490.0,3800000.0
2005-03-14,20322,21323,20122,21323,122451,121410.0,3800000.0
2005-03-15,21757,22491,19855,22023,670149,125400.0,3800000.0
2005-03-16,21957,24026,20989,22290,690774,126920.0,3800000.0
2005-03-17,21623,22825,19721,20021,435842,114000.0,3800000.0
2005-03-18,19588,20455,18720,20021,351622,114000.0,3800000.0
2005-03-21,19988,20722,19421,20155,326136,114760.0,3800000.0
2005-03-22,19554,21223,17886,18386,527320,104690.0,3800000.0
2005-03-23,18420,18720,17385,17485,294494,99560.0,3800000.0
2005-03-24,18053,18420,16518,17085,292452,97280.0,3800000.0
2005-03-25,17252,17619,15150,15883,365351,90440.0,3800000.0
2005-03-28,15450,16217,14883,15316,301565,87210.0,3800000.0
2005-03-29,15383,15884,14983,15249,255310,86830.0,3800000.0
2005-03-30,15417,16518,15250,16184,383099,92150.0,3800000.0
2005-03-31,16351,16618,14082,14315,452099,81510.0,3800000.0
2005-04-01,14215,15083,13915,14715,352646,83790.0,3800000.0
2005-04-04,14449,14683,13982,14115,285330,80370.0,3800000.0
2005-04-06,14149,14916,14149,14549,320205,82840.0,3800000.0
2005-04-07,14616,14949,14215,14315,206227,81510.0,3800000.0
2005-04-08,14482,14683,14249,14582,265737,83030.0,3800000.0
2005-04-11,14749,16084,14649,16017,653461,91200.0,3800000.0
2005-04-12,16151,16284,15550,16017,403241,91200.0,3800000.0
2005-04-13,16384,16384,15550,15783,263315,89870.0,3800000.0
2005-04-14,15483,15684,14816,15283,268787,87020.0,3800000.0
2005-04-15,15016,15250,14683,14882,195534,84740.0,3800000.0
2005-04-18,14482,14816,13214,13347,263778,76000.0,3800000.0
2005-04-19,13615,13782,13181,13347,187364,76000.0,3800000.0
2005-04-20,13815,15216,13815,14382,393878,81890.0,3800000.0
2005-04-21,13948,14416,13648,14415,165646,82080.0,3800000.0
2005-04-22,15083,15583,14582,14582,303931,83030.0,3800000.0
2005-04-25,14215,14616,13982,14582,108487,83030.0,3800000.0
2005-04-26,14883,15183,14549,14549,222101,82840.0,3800000.0
2005-04-27,14015,14349,13815,14081,154732,80180.0,3800000.0
2005-04-28,14215,14315,13515,13614,157515,77520.0,3800000.0
2005-04-29,13314,13715,13114,13547,126041,77140.0,3800000.0
2005-05-02,13882,13982,13448,13447,96344,76570.0,3800000.0
2005-05-03,13448,13948,13414,13814,198131,78660.0,3800000.0
2005-05-04,13882,14916,13748,14916,305911,84930.0,3800000.0
2005-05-06,14749,15016,14516,14615,168316,83220.0,3800000.0
2005-05-09,14683,14749,13681,13848,282870,78850.0,3800000.0
2005-05-10,14015,14215,13715,13814,222998,78660.0,3800000.0
2005-05-11,13515,13648,11746,12079,296923,68780.0,3800000.0
2005-05-12,11913,11946,10912,11178,394886,63650.0,3800000.0
2005-05-13,10912,11613,10878,11512,234588,65550.0,3800000.0
2005-05-16,11512,11779,11279,11312,202208,64410.0,3800000.0
2005-05-17,11546,12213,11379,11378,285679,64790.0,3800000.0
2005-05-18,11613,11746,11179,11345,143261,64600.0,3800000.0
2005-05-19,11646,11713,11379,11479,149075,65360.0,3800000.0
2005-05-20,11646,12146,11546,11979,289595,68210.0,3800000.0
2005-05-23,11913,12113,11713,11879,161209,67640.0,3800000.0
2005-05-24,11946,12547,11879,12213,288910,69540.0,3800000.0
2005-05-25,12380,13882,12146,12980,647982,73910.0,3800000.0
2005-05-26,13148,13448,12780,13114,217391,74670.0,3800000.0
2005-05-27,13348,13948,13148,13614,419657,77520.0,3800000.0
2005-05-30,13681,13748,13081,13147,204696,74860.0,3800000.0
2005-05-31,13314,13448,12814,12980,211615,73910.0,3800000.0
2005-06-01,12714,13148,12580,12580,171890,71630.0,3800000.0
2005-06-02,12614,12981,12280,12480,197826,71060.0,3800000.0
2005-06-03,12480,13448,12380,13214,316795,75240.0,3800000.0
2005-06-07,13214,13615,12881,13547,248584,77140.0,3800000.0
2005-06-08,13548,13915,13248,13614,312591,77520.0,3800000.0
2005-06-09,13681,14182,13181,13214,340694,75240.0,3800000.0
2005-06-10,13214,13348,12313,12313,230521,70110.0,3800000.0
2005-06-13,12280,12547,11879,11946,179623,68020.0,3800000.0
2005-06-14,12046,12513,11980,12079,158078,68780.0,3800000.0
2005-06-15,12146,12413,12113,12279,84148,69920.0,3800000.0
2005-06-16,12547,13348,12547,12580,349470,71630.0,3800000.0
2005-06-17,12847,13081,12680,12680,173801,72200.0,3800000.0
2005-06-20,12981,14582,12780,14582,1001414,83030.0,3800000.0
2005-06-21,14749,15684,14082,14815,825308,84360.0,3800000.0
2005-06-22,15016,15517,14349,15416,400273,87780.0,3800000.0
2005-06-23,15250,15583,14949,14949,267704,85120.0,3800000.0
2005-06-24,14416,14749,14182,14282,231690,81320.0,3800000.0
2005-06-27,14082,14883,13848,14615,248018,83220.0,3800000.0
2005-06-28,14816,14983,14349,14615,200977,83220.0,3800000.0
2005-06-29,14816,15250,14649,15049,256682,85690.0,3800000.0
2005-06-30,15150,15450,14849,15116,187479,86070.0,3800000.0
2005-07-01,15016,15517,15016,15416,157484,87780.0,3800000.0
2005-07-04,15450,16685,15450,16350,462837,93100.0,3800000.0
2005-07-05,16551,16551,15850,15883,225664,90440.0,3800000.0
2005-07-06,15984,16217,15483,15483,172897,88160.0,3800000.0
2005-07-07,15283,16017,15216,15383,165317,87590.0,3800000.0
2005-07-08,15383,15817,14783,14882,178178,84740.0,3800000.0
2005-07-11,15016,15617,15016,15082,167446,85880.0,3800000.0
2005-07-12,15483,15884,15150,15383,214424,87590.0,3800000.0
2005-07-13,15383,15750,14883,15750,162783,89680.0,3800000.0
2005-07-14,15684,15951,15483,15483,104960,88160.0,3800000.0
2005-07-15,15450,15850,15350,15616,127682,88920.0,3800000.0
2005-07-18,15750,16217,15383,15483,183440,88160.0,3800000.0
2005-07-19,15350,15617,14716,14815,250640,84360.0,3800000.0
2005-07-20,14816,14949,13882,13915,205087,79230.0,3800000.0
2005-07-21,14015,14282,13681,13681,111776,77900.0,3800000.0
2005-07-22,13481,13782,12881,13547,151341,77140.0,3800000.0
2005-07-25,13281,13782,13281,13347,130797,76000.0,3800000.0
2005-07-26,13348,13748,13214,13748,139963,78280.0,3800000.0
2005-07-27,13548,14048,13414,13581,199974,77330.0,3800000.0
2005-07-28,13715,13882,13414,13414,122270,76380.0,3800000.0
2005-07-29,13615,13915,13314,13915,166559,79230.0,3800000.0
2005-08-01,13748,13882,13414,13447,96922,76570.0,3800000.0
2005-08-02,13381,13615,12947,12947,144068,73720.0,3800000.0
2005-08-03,12914,13581,12413,12813,249476,72960.0,3800000.0
2005-08-04,12847,12881,12280,12279,116171,69920.0,3800000.0
2005-08-05,11779,12714,11713,12413,204895,70680.0,3800000.0
2005-08-08,12146,12714,12146,12313,77567,70110.0,3800000.0
2005-08-09,12080,12547,12080,12413,81061,70680.0,3800000.0
2005-08-10,12480,12747,12480,12546,73381,71440.0,3800000.0
2005-08-11,12647,12647,12347,12513,56510,71250.0,3800000.0
2005-08-12,12513,13281,12480,13080,114325,74480.0,3800000.0
2005-08-16,13648,13915,13348,13481,124136,76760.0,3800000.0
2005-08-17,13314,13681,13081,13681,87510,77900.0,3800000.0
2005-08-18,13481,13815,13181,13514,80104,76950.0,3800000.0
2005-08-19,13181,13782,13181,13781,54925,78470.0,3800000.0
2005-08-22,13548,13815,13481,13714,52692,78090.0,3800000.0
2005-08-23,13515,14215,13515,14215,88467,80940.0,3800000.0
2005-08-24,14182,14416,13982,14348,61277,81700.0,3800000.0
2005-08-25,14516,14549,13915,14115,108548,80370.0,3800000.0
2005-08-26,13882,14149,13448,13447,86067,76570.0,3800000.0
2005-08-29,13348,13348,12680,13014,75084,74100.0,3800000.0
2005-08-30,12981,14015,12981,13748,119575,78280.0,3800000.0
2005-08-31,13548,14149,13481,14148,85687,80560.0,3800000.0
2005-09-01,14282,14349,14015,14015,119868,79800.0,3800000.0
