IBKS제7호스팩(276920),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-11-10,1886,1905,1863,1877,615433,7373.0,3650000.0
2017-11-13,1867,1881,1867,1882,79858,7391.0,3650000.0
2017-11-14,1881,1886,1867,1868,106721,7336.0,3650000.0
2017-11-15,1872,1881,1872,1877,76874,7373.0,3650000.0
2017-11-16,1881,1881,1867,1873,23627,7355.0,3650000.0
2017-11-17,1872,1872,1858,1868,30756,7336.0,3650000.0
2017-11-20,1867,1867,1853,1859,10958,7300.0,3650000.0
2017-11-21,1858,1863,1853,1859,14911,7300.0,3650000.0
2017-11-22,1853,1858,1830,1859,61182,7300.0,3650000.0
2017-11-23,1844,1858,1844,1859,4282,7300.0,3650000.0
2017-11-24,1858,1863,1853,1854,19578,7282.0,3650000.0
2017-11-27,1853,1858,1853,1854,15166,7282.0,3650000.0
2017-11-28,1853,1853,1853,1854,6552,7282.0,3650000.0
2017-11-29,1849,1858,1849,1854,5246,7282.0,3650000.0
2017-11-30,1853,1853,1849,1854,47,7282.0,3650000.0
2017-12-01,1830,1858,1830,1845,2991,7245.0,3650000.0
2017-12-04,1844,1853,1840,1854,18126,7282.0,3650000.0
2017-12-05,1849,1858,1849,1859,1304,7300.0,3650000.0
2017-12-06,1858,1858,1849,1859,3,7300.0,3650000.0
2017-12-07,1840,1853,1835,1854,3415,7282.0,3650000.0
2017-12-08,1840,1858,1835,1859,14660,7300.0,3650000.0
2017-12-11,1858,1858,1844,1845,507,7245.0,3650000.0
2017-12-12,1858,1867,1858,1868,10498,7336.0,3650000.0
2017-12-13,1858,1858,1858,1859,1667,7300.0,3650000.0
2017-12-14,1858,1867,1858,1868,5633,7336.0,3650000.0
2017-12-15,1849,1849,1849,1849,3753,7264.0,3650000.0
2017-12-18,1853,1853,1853,1854,987,7282.0,3650000.0
2017-12-19,1867,1867,1867,1868,2600,7336.0,3650000.0
2017-12-20,1867,1877,1844,1863,18325,7318.0,3650000.0
