클리오(237880),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-11-09,39950,40450,31550,36800,1625088,620934.0,16873215.0
2016-11-10,37350,40300,37000,39100,567440,659743.0,16873215.0
2016-11-11,40150,41300,38750,39950,332695,674085.0,16873215.0
2016-11-14,40150,41150,38700,40950,214893,690958.0,16873215.0
2016-11-15,41000,41100,39850,40550,118323,684209.0,16873215.0
2016-11-16,40600,40600,39300,39400,86171,664805.0,16873215.0
2016-11-17,39400,39550,38000,38100,119749,642869.0,16873215.0
2016-11-18,38000,38350,35650,36200,147646,610810.0,16873215.0
2016-11-21,36000,36200,33350,34150,134112,576220.0,16873215.0
2016-11-22,34850,35500,34000,34450,85396,581282.0,16873215.0
2016-11-23,34450,34850,32400,34000,55966,573689.0,16873215.0
2016-11-24,33900,33900,30700,31550,254323,532350.0,16873215.0
2016-11-25,31250,33500,30400,31450,164384,530663.0,16873215.0
2016-11-28,31850,32000,30600,30600,52486,516320.0,16873215.0
2016-11-29,30600,31600,30100,31050,85337,523913.0,16873215.0
2016-11-30,31050,32500,31050,32000,99021,539943.0,16873215.0
2016-12-01,31550,32050,31300,31550,12634,532350.0,16873215.0
2016-12-02,31600,31800,30600,30600,23048,516320.0,16873215.0
2016-12-05,30150,30700,29450,30300,76928,511258.0,16873215.0
2016-12-06,30700,30800,30000,30300,24224,511258.0,16873215.0
2016-12-07,30400,33350,30200,30350,66783,512102.0,16873215.0
2016-12-08,30350,31300,30150,30400,94258,512946.0,16873215.0
2016-12-09,30650,32300,30200,31550,212420,532350.0,16873215.0
2016-12-12,31750,32200,31400,31600,61995,533194.0,16873215.0
2016-12-13,31900,33150,31600,32750,110387,552598.0,16873215.0
2016-12-14,33200,33900,32650,33300,71223,561878.0,16873215.0
2016-12-15,32950,33350,32550,32700,102460,551754.0,16873215.0
2016-12-16,33850,34300,32900,33300,80655,561878.0,16873215.0
2016-12-19,33500,33550,32600,32700,28947,551754.0,16873215.0
2016-12-20,32750,33100,31650,31650,59951,534037.0,16873215.0
2016-12-21,31450,31650,30650,30650,62797,517164.0,16873215.0
2016-12-22,30650,31050,30150,30400,46371,512946.0,16873215.0
2016-12-23,30650,31350,30250,30950,35184,522226.0,16873215.0
2016-12-26,31050,31300,30600,30850,27148,520539.0,16873215.0
2016-12-27,31000,31650,30800,31600,104798,533194.0,16873215.0
2016-12-28,31200,31600,30400,31200,45096,526444.0,16873215.0
2016-12-29,30900,31250,30200,30600,37573,516320.0,16873215.0
2017-01-02,30650,30750,29700,30100,65023,507884.0,16873215.0
2017-01-03,30100,31000,29200,30850,91544,520539.0,16873215.0
2017-01-04,31000,31000,29950,30050,44136,507040.0,16873215.0
2017-01-05,30100,30200,29800,29800,34160,502822.0,16873215.0
2017-01-06,29800,30150,29600,29900,49969,504509.0,16873215.0
2017-01-09,30000,30050,28200,28200,78536,475825.0,16873215.0
2017-01-10,28500,28900,27600,28000,52967,472450.0,16873215.0
2017-01-11,27800,28700,26500,28650,81955,483418.0,16873215.0
2017-01-12,28650,28900,28050,28450,31607,480043.0,16873215.0
2017-01-13,28800,29550,28600,29050,27895,490167.0,16873215.0
2017-01-16,29100,29750,29100,29400,24578,496073.0,16873215.0
2017-01-17,29700,30700,29650,30450,60944,513789.0,16873215.0
2017-01-18,30550,37700,30550,32350,260639,545849.0,16873215.0
2017-01-19,32200,33250,31350,32150,73798,542474.0,16873215.0
2017-01-20,32150,33800,31900,33100,45613,558503.0,16873215.0
2017-01-23,33200,34800,33200,34200,132637,577064.0,16873215.0
2017-01-24,34000,34650,33700,34500,47096,582126.0,16873215.0
2017-01-25,34000,34750,33000,33400,41364,563565.0,16873215.0
2017-01-26,33300,33750,32000,33750,58448,569471.0,16873215.0
2017-01-31,33600,33800,33200,33500,11971,565253.0,16873215.0
2017-02-01,33150,33800,33050,33800,26827,570315.0,16873215.0
2017-02-02,33500,34000,32900,33100,17523,558503.0,16873215.0
2017-02-03,32850,33500,32000,32650,43046,550910.0,16873215.0
2017-02-06,32500,33000,31900,32950,28736,555972.0,16873215.0
2017-02-07,32950,33800,32500,33450,15237,564409.0,16873215.0
2017-02-08,33750,33750,32250,32800,18103,553441.0,16873215.0
2017-02-09,32800,32900,32300,32600,21291,550067.0,16873215.0
2017-02-10,32500,32900,32250,32550,13122,549223.0,16873215.0
2017-02-13,32650,33100,32100,32550,13544,549223.0,16873215.0
2017-02-14,32650,32950,31700,32500,36332,548379.0,16873215.0
2017-02-15,32450,33600,32150,33450,51267,564409.0,16873215.0
2017-02-16,33550,34550,32800,34300,46254,578751.0,16873215.0
2017-02-17,34500,36250,34400,35400,84361,597312.0,16873215.0
2017-02-20,35400,37350,35400,37150,80827,626840.0,16873215.0
2017-02-21,37150,40300,37000,39500,155538,666492.0,16873215.0
2017-02-22,39000,40000,38300,38550,80488,650462.0,16873215.0
2017-02-23,38550,40700,38100,40300,110498,679991.0,16873215.0
2017-02-24,40200,41250,38800,40500,100463,683365.0,16873215.0
2017-02-27,40500,41100,39950,41000,64380,691802.0,16873215.0
2017-02-28,40900,40900,39600,40400,30864,681678.0,16873215.0
2017-03-02,40400,40400,38500,39600,94475,668179.0,16873215.0
2017-03-03,39550,39550,37150,38000,107187,641182.0,16873215.0
2017-03-06,37550,38500,37000,38300,37660,646244.0,16873215.0
2017-03-07,37950,38550,37100,38300,30666,646244.0,16873215.0
2017-03-08,38500,39100,38250,39000,10654,658055.0,16873215.0
2017-03-09,39000,40650,39000,40400,52342,681678.0,16873215.0
2017-03-10,40400,40550,39150,39550,43982,667336.0,16873215.0
2017-03-13,39550,40200,39100,40050,38287,675772.0,16873215.0
2017-03-14,40500,40950,38750,39800,42274,671554.0,16873215.0
2017-03-15,40000,40250,38200,39000,51161,658055.0,16873215.0
2017-03-16,39800,40050,38700,39450,33191,665648.0,16873215.0
2017-03-17,39950,41000,39750,40450,43752,682522.0,16873215.0
2017-03-20,40450,41050,40100,41050,39701,692645.0,16873215.0
2017-03-21,41300,41350,40000,40700,41467,686740.0,16873215.0
2017-03-22,40450,41250,39800,41000,28456,691802.0,16873215.0
2017-03-23,41100,41150,40450,40500,47381,683365.0,16873215.0
2017-03-24,40500,40850,40050,40200,21353,678303.0,16873215.0
2017-03-27,40200,40950,39450,40600,12015,685053.0,16873215.0
2017-03-28,40350,41050,40200,41000,29469,691802.0,16873215.0
2017-03-29,40850,41000,40100,40100,17362,676616.0,16873215.0
2017-03-30,40000,41100,39800,40750,23123,687584.0,16873215.0
2017-03-31,41000,41050,40550,41000,10157,691802.0,16873215.0
2017-04-03,41000,41200,40900,41150,16572,694333.0,16873215.0
2017-04-04,41100,42850,41000,42250,80838,712893.0,16873215.0
2017-04-05,42800,43050,41650,42800,63704,722174.0,16873215.0
2017-04-06,43250,43250,41900,41900,31041,706988.0,16873215.0
2017-04-07,41500,42050,40600,41050,33757,692645.0,16873215.0
2017-04-10,41000,41000,40000,40000,23913,674929.0,16873215.0
2017-04-11,40000,40500,39600,39950,40003,674085.0,16873215.0
2017-04-12,40100,40500,39800,40000,24157,674929.0,16873215.0
2017-04-13,40100,40750,40050,40650,30956,685896.0,16873215.0
2017-04-14,40000,40750,40000,40000,5232,674929.0,16873215.0
2017-04-17,41000,42000,39900,40050,73242,675772.0,16873215.0
2017-04-18,40000,41150,39950,40500,31479,683365.0,16873215.0
2017-04-19,40950,41850,40550,41850,29409,706144.0,16873215.0
2017-04-20,41850,42100,40900,41200,33738,698262.0,16948095.0
2017-04-21,41200,41800,40700,41500,21977,703346.0,16948095.0
2017-04-24,41900,41900,41000,41350,18445,700804.0,16948095.0
2017-04-25,41400,41800,40800,40850,12752,692330.0,16948095.0
2017-04-26,41100,41100,38100,39800,34380,674534.0,16948095.0
2017-04-27,39800,40200,39350,39350,21831,666908.0,16948095.0
2017-04-28,39750,40200,39150,40200,25251,681313.0,16948095.0
2017-05-02,40100,40100,39400,39600,10616,671145.0,16948095.0
2017-05-04,40000,40500,39400,40500,24112,686398.0,16948095.0
2017-05-08,41000,41100,40200,41050,27210,695719.0,16948095.0
2017-05-10,41750,41750,39850,40000,49271,677924.0,16948095.0
2017-05-11,40250,43900,39900,43000,84901,728768.0,16948095.0
2017-05-12,43000,43250,42300,43000,117984,728768.0,16948095.0
2017-05-15,42800,42950,42050,42850,52629,726226.0,16948095.0
2017-05-16,42000,42850,41900,42350,52706,717752.0,16948095.0
2017-05-17,43000,43000,41500,41850,78475,709278.0,16948095.0
2017-05-18,42100,43250,40650,40750,102107,690635.0,16948095.0
2017-05-19,41400,41900,40700,41300,33899,699956.0,16948095.0
2017-05-22,42000,42450,41600,41900,40447,710125.0,16948095.0
2017-05-23,41950,42950,41700,41700,69633,706736.0,16948095.0
2017-05-24,41700,42450,41000,41200,20458,698262.0,16948095.0
2017-05-25,41250,42400,41000,42100,22357,713515.0,16948095.0
2017-05-26,42500,42500,40550,41550,49407,704193.0,16948095.0
2017-05-29,41500,41500,40650,41150,28200,697414.0,16948095.0
2017-05-30,40950,41500,40650,41500,28198,703346.0,16948095.0
2017-05-31,41550,41800,39700,39700,76768,672839.0,16948095.0
2017-06-01,40400,40400,38600,38800,53749,657586.0,16948095.0
2017-06-02,38800,39600,38100,38700,30219,655891.0,16948095.0
2017-06-05,38700,39500,38500,39450,15906,668602.0,16948095.0
2017-06-07,39100,40550,38500,40550,64174,687245.0,16948095.0
2017-06-08,40600,40900,39300,39600,77355,671145.0,16948095.0
