잉크테크(049550),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-02-28,8112,8112,8112,8113,3570,76663.0,8332983.0
2002-03-04,9082,9082,9082,9083,5783,85830.0,8332983.0
2002-03-05,10140,10140,10140,10141,14747,95829.0,8332983.0
2002-03-06,11331,11331,11287,11331,369016,107079.0,8332983.0
2002-03-07,12654,12654,11816,12654,442194,119578.0,8332983.0
2002-03-08,13624,14109,13227,13492,909041,127495.0,8332983.0
2002-03-11,12610,13095,11904,12742,439876,120412.0,8332983.0
2002-03-12,12874,13579,12521,12830,307752,121245.0,8332983.0
2002-03-13,11640,12477,11331,11464,273553,108329.0,8332983.0
2002-03-14,11022,11684,10229,10890,256011,102912.0,8332983.0
2002-03-15,11375,12169,11022,12169,509598,114995.0,8332983.0
2002-03-18,12345,12345,11507,11905,279984,112495.0,8332983.0
2002-03-19,12125,12565,11728,11993,190869,113329.0,8332983.0
2002-03-20,11992,12169,11287,11464,159884,108329.0,8332983.0
2002-03-21,11155,11684,11110,11199,93535,105829.0,8332983.0
2002-03-22,11375,11507,11066,11111,110312,104996.0,8332983.0
2002-03-25,11199,12257,11155,11596,232580,109579.0,8332983.0
2002-03-26,11860,11860,11199,11728,110524,110829.0,8332983.0
2002-03-27,11816,11948,11419,11552,163646,109162.0,8332983.0
2002-03-28,11419,12918,11066,12919,944961,122078.0,8332983.0
2002-03-29,13624,14329,12213,12698,1153884,119995.0,8332983.0
2002-04-01,13006,13403,12433,13139,764056,124161.0,8332983.0
2002-04-02,13403,13712,12521,12522,851132,118328.0,8332983.0
2002-04-03,12345,12698,11375,11860,448369,112079.0,8332983.0
2002-04-04,11507,13227,11287,12081,618717,114162.0,8332983.0
2002-04-08,11816,12301,11551,11552,191752,109162.0,8332983.0
2002-04-09,11375,11684,11110,11111,206933,104996.0,8332983.0
2002-04-10,10714,11110,10052,10317,194067,97496.0,8332983.0
2002-04-11,10537,10714,10273,10494,123693,99162.0,8332983.0
2002-04-12,9700,10978,9700,10317,204769,97496.0,8332983.0
2002-04-15,10317,10758,10317,10670,118368,100829.0,8332983.0
2002-04-16,10802,10934,10493,10582,90612,99996.0,8332983.0
2002-04-17,10978,10978,10493,10582,131140,99996.0,8332983.0
2002-04-18,10405,10625,10361,10405,80408,98329.0,8332983.0
2002-04-19,10493,10758,9920,9965,131107,94163.0,8332983.0
2002-04-22,10140,10317,8818,9303,157493,87913.0,8332983.0
2002-04-23,9391,9391,8730,8783,130599,82997.0,8332983.0
2002-04-24,8791,8906,7865,8166,139435,77163.0,8332983.0
2002-04-25,7936,7936,7186,7584,215448,71664.0,8332983.0
2002-04-26,7557,8491,7239,8492,548524,80247.0,8332983.0
2002-04-29,8068,8156,7477,7478,694410,70664.0,8332983.0
2002-04-30,7566,7627,7142,7231,290755,68330.0,8332983.0
2002-05-02,7486,8042,7319,7734,450762,73080.0,8332983.0
2002-05-03,7601,7751,7416,7575,198343,71580.0,8332983.0
2002-05-06,7636,8139,7636,7928,303113,74914.0,8332983.0
2002-05-07,7583,7874,7548,7848,161866,74164.0,8332983.0
2002-05-08,8033,8765,8033,8598,613681,81247.0,8332983.0
2002-05-09,8818,8994,8200,8289,322247,78330.0,8332983.0
2002-05-10,8553,8747,8289,8510,282724,80413.0,8332983.0
2002-05-13,8465,8509,8121,8254,130479,77997.0,8332983.0
2002-05-14,8421,8509,7936,7963,167385,75247.0,8332983.0
2002-05-15,7989,8148,7962,8025,127905,75830.0,8332983.0
2002-05-16,8112,8192,7998,7998,84408,75580.0,8332983.0
2002-05-17,7980,8200,7936,8201,118313,77497.0,8332983.0
2002-05-20,8368,8509,8245,8245,213215,77913.0,8332983.0
2002-05-21,8245,8245,7812,7848,127563,74164.0,8332983.0
2002-05-22,7610,8738,7610,8457,599562,79913.0,8332983.0
2002-05-23,8456,8474,7848,7892,220488,74580.0,8332983.0
