디딤(217620),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-06-10,2155,2185,2090,2120,2590446,15794.0,7450000.0
2015-06-11,2135,2140,2110,2115,306374,15757.0,7450000.0
2015-06-12,2095,2125,2090,2105,254677,15682.0,7450000.0
2015-06-15,2100,2125,2095,2120,174954,15794.0,7450000.0
2015-06-16,2110,2115,2070,2085,357984,15533.0,7450000.0
2015-06-17,2085,2085,2040,2060,141601,15347.0,7450000.0
2015-06-18,2065,2065,2030,2035,110911,15161.0,7450000.0
2015-06-19,2020,2060,2020,2055,176256,15310.0,7450000.0
2015-06-22,2070,2085,2060,2080,68048,15496.0,7450000.0
2015-06-23,2090,2105,2080,2090,64435,15570.0,7450000.0
2015-06-24,2090,2090,2055,2060,55518,15347.0,7450000.0
2015-06-25,2075,2085,2055,2080,28622,15496.0,7450000.0
2015-06-26,2070,2090,2045,2075,100880,15459.0,7450000.0
2015-06-29,2080,2095,2070,2080,112697,15496.0,7450000.0
2015-06-30,2095,2110,2080,2100,73052,15645.0,7450000.0
2015-07-01,2100,2155,2100,2140,86792,15943.0,7450000.0
2015-07-02,2130,2180,2105,2145,33757,15980.0,7450000.0
2015-07-03,2130,2145,2115,2140,116932,15943.0,7450000.0
2015-07-06,2100,2150,2100,2125,46576,15831.0,7450000.0
2015-07-07,2135,2135,2110,2120,17046,15794.0,7450000.0
2015-07-08,2105,2135,2105,2125,83057,15831.0,7450000.0
2015-07-09,2105,2135,2105,2135,24071,15906.0,7450000.0
2015-07-10,2135,2140,2120,2135,45868,15906.0,7450000.0
2015-07-13,2140,2160,2135,2160,86592,16092.0,7450000.0
2015-07-14,2165,2170,2145,2150,17304,16018.0,7450000.0
2015-07-15,2145,2155,2135,2150,21169,16018.0,7450000.0
2015-07-16,2150,2155,2135,2150,8687,16018.0,7450000.0
2015-07-17,2140,2150,2130,2135,13966,15906.0,7450000.0
2015-07-20,2125,2175,2125,2140,43453,15943.0,7450000.0
2015-07-21,2140,2160,2140,2160,29235,16092.0,7450000.0
2015-07-22,2150,2165,2150,2165,134262,16129.0,7450000.0
2015-07-23,2175,2185,2165,2180,61444,16241.0,7450000.0
2015-07-24,2180,2195,2170,2190,15944,16316.0,7450000.0
2015-07-27,2190,2190,2185,2190,78461,16316.0,7450000.0
