하이제4호스팩(317240),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-04-29,2005,2060,2000,2015,391674,8866.0,4400000.0
2019-04-30,2025,2030,2020,2030,43859,8932.0,4400000.0
2019-05-02,2035,2040,2035,2035,38691,8954.0,4400000.0
2019-05-03,2050,2440,2035,2110,1641058,9284.0,4400000.0
2019-05-07,2100,2135,2075,2085,101060,9174.0,4400000.0
2019-05-08,2085,2100,2070,2070,53878,9108.0,4400000.0
2019-05-09,2070,2110,2060,2070,86862,9108.0,4400000.0
2019-05-10,2100,2155,2075,2105,140696,9262.0,4400000.0
2019-05-13,2145,2280,2120,2200,572862,9680.0,4400000.0
2019-05-14,2230,2670,2080,2090,7569611,9196.0,4400000.0
2019-05-15,2100,2125,2060,2060,423729,9064.0,4400000.0
2019-05-16,2080,2160,2050,2100,390654,9240.0,4400000.0
2019-05-17,2150,2200,2080,2080,150325,9152.0,4400000.0
2019-05-20,2080,2120,2055,2075,118909,9130.0,4400000.0
2019-05-21,2060,2115,2050,2070,178435,9108.0,4400000.0
2019-05-22,2060,2090,2060,2090,63572,9196.0,4400000.0
2019-05-23,2090,2095,2070,2090,27476,9196.0,4400000.0
2019-05-24,2075,2095,2075,2095,30522,9218.0,4400000.0
2019-05-27,2095,2095,2065,2070,42339,9108.0,4400000.0
2019-05-28,2070,2090,2065,2065,45615,9086.0,4400000.0
2019-05-29,2090,2090,2065,2080,46472,9152.0,4400000.0
2019-05-30,2090,2090,2070,2080,17959,9152.0,4400000.0
2019-05-31,2080,2085,2060,2080,35563,9152.0,4400000.0
2019-06-03,2090,2135,2060,2085,122348,9174.0,4400000.0
2019-06-04,2090,2120,2080,2080,60343,9152.0,4400000.0
2019-06-05,2095,2115,2080,2085,20143,9174.0,4400000.0
2019-06-07,2080,2100,2060,2085,89066,9174.0,4400000.0
2019-06-10,2085,2085,2075,2085,33673,9174.0,4400000.0
2019-06-11,2085,2090,2070,2090,35602,9196.0,4400000.0
2019-06-12,2095,2095,2075,2080,18242,9152.0,4400000.0
2019-06-13,2070,2100,2070,2100,21736,9240.0,4400000.0
2019-06-14,2100,2125,2085,2115,28710,9306.0,4400000.0
2019-06-17,2105,2150,2105,2135,24500,9394.0,4400000.0
2019-06-18,2125,2145,2115,2140,24549,9416.0,4400000.0
2019-06-19,2125,2150,2110,2135,38645,9394.0,4400000.0
2019-06-20,2145,2145,2120,2135,5893,9394.0,4400000.0
2019-06-21,2150,2150,2130,2150,19546,9460.0,4400000.0
2019-06-24,2125,2150,2125,2135,6213,9394.0,4400000.0
2019-06-25,2150,2150,2100,2120,139941,9328.0,4400000.0
2019-06-26,2105,2135,2105,2120,16496,9328.0,4400000.0
2019-06-27,2110,2130,2110,2120,23138,9328.0,4400000.0
2019-06-28,2145,2145,2115,2130,9357,9372.0,4400000.0
2019-07-01,2130,2130,2105,2120,28190,9328.0,4400000.0
2019-07-02,2130,2130,2105,2120,20195,9328.0,4400000.0
2019-07-03,2110,2125,2110,2120,10880,9328.0,4400000.0
2019-07-04,2120,2130,2115,2120,9149,9328.0,4400000.0
2019-07-05,2130,2130,2115,2125,3799,9350.0,4400000.0
2019-07-08,2110,2135,2110,2130,4541,9372.0,4400000.0
2019-07-09,2125,2125,2105,2125,14710,9350.0,4400000.0
2019-07-10,2150,2150,2105,2105,2343,9262.0,4400000.0
2019-07-11,2105,2125,2105,2125,5153,9350.0,4400000.0
