삼영이엔씨(065570),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-01-21,3323,3323,3323,3322,694855,29200.0,8000000.0
2003-01-22,3386,3705,3113,3186,1936964,28000.0,8000000.0
2003-01-23,3268,3268,2858,2912,643883,25600.0,8000000.0
2003-01-24,2922,2958,2758,2794,486705,24560.0,8000000.0
2003-01-27,2713,2795,2713,2712,341479,23840.0,8000000.0
2003-01-28,2713,2767,2713,2712,310792,23840.0,8000000.0
2003-01-29,2722,2749,2704,2703,207259,23760.0,8000000.0
2003-01-30,2713,2722,2704,2703,142984,23760.0,8000000.0
2003-02-03,2704,2731,2704,2712,197188,23840.0,8000000.0
2003-02-04,2704,2722,2704,2703,194397,23760.0,8000000.0
2003-02-05,2713,2767,2704,2712,135920,23840.0,8000000.0
2003-02-06,2704,2731,2704,2703,163487,23760.0,8000000.0
2003-02-07,2704,2722,2704,2703,269388,23760.0,8000000.0
2003-02-10,2704,2713,2704,2703,257241,23760.0,8000000.0
2003-02-11,2713,2913,2694,2812,700917,24720.0,8000000.0
2003-02-12,2913,2986,2685,2685,371861,23600.0,8000000.0
2003-02-13,2704,2713,2694,2694,179443,23680.0,8000000.0
2003-02-14,2694,2704,2685,2685,111045,23600.0,8000000.0
2003-02-17,2713,2731,2694,2712,85695,23840.0,8000000.0
2003-02-18,2704,2713,2704,2712,189691,23840.0,8000000.0
2003-02-19,2704,2722,2704,2712,166670,23840.0,8000000.0
2003-02-20,2713,2722,2704,2703,207665,23760.0,8000000.0
2003-02-21,2704,2822,2440,2703,45023,23760.0,8000000.0
2003-02-24,2640,2731,2594,2667,16653,23440.0,8000000.0
2003-02-25,2394,2685,2394,2685,41568,23600.0,8000000.0
2003-02-26,2558,2685,2558,2612,24084,22960.0,8000000.0
2003-02-27,2658,2658,2549,2548,12800,22400.0,8000000.0
2003-02-28,2640,2640,2558,2639,1866,23200.0,8000000.0
2003-03-03,2449,2640,2449,2594,1916,22800.0,8000000.0
2003-03-04,2485,2631,2485,2548,6260,22400.0,8000000.0
2003-03-05,2376,2549,2376,2421,7897,21280.0,8000000.0
2003-03-06,2394,2394,2212,2221,6580,19520.0,8000000.0
2003-03-07,2185,2276,1957,1957,8838,17200.0,8000000.0
2003-03-10,1930,2085,1930,2066,3595,18160.0,8000000.0
2003-03-11,2094,2094,1966,2084,1691,18320.0,8000000.0
2003-03-12,2139,2139,2057,2130,3517,18720.0,8000000.0
2003-03-13,2276,2367,2094,2330,21210,20480.0,8000000.0
2003-03-14,2403,2585,2239,2539,11410,22320.0,8000000.0
2003-03-17,2549,2549,2239,2239,13239,19680.0,8000000.0
2003-03-18,2239,2321,2039,2257,2479,19840.0,8000000.0
2003-03-19,2276,2349,2075,2330,5580,20480.0,8000000.0
2003-03-20,2303,2603,2303,2603,21407,22880.0,8000000.0
2003-03-21,2603,2913,2321,2621,59120,23040.0,8000000.0
2003-03-24,2731,2731,2458,2603,13532,22880.0,8000000.0
2003-03-25,2321,2522,2294,2293,66551,20160.0,8000000.0
2003-03-26,2157,2367,2157,2275,42065,20000.0,8000000.0
2003-03-27,2203,2276,2203,2275,2857,20000.0,8000000.0
