포티스(141020),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-01-29,2850,3275,2800,3275,1370414,32605.0,4977833.0
2013-01-30,3765,3765,2785,2930,4391821,29170.0,4977833.0
2013-01-31,2875,2975,2675,2675,913404,26631.0,4977833.0
2013-02-01,2700,3075,2700,2825,3435895,28125.0,4977833.0
2013-02-04,2865,3060,2825,2865,1502181,28523.0,4977833.0
2013-02-05,2875,2880,2525,2555,1032057,25437.0,4977833.0
2013-02-06,2505,2835,2487,2595,772267,25835.0,4977833.0
2013-02-07,2610,2710,2555,2580,297584,25686.0,4977833.0
2013-02-08,2635,2695,2580,2600,408008,25885.0,4977833.0
2013-02-12,2650,2685,2565,2575,363456,25636.0,4977833.0
2013-02-13,2600,2620,2535,2575,359623,25636.0,4977833.0
2013-02-14,2585,2635,2545,2635,204462,26233.0,4977833.0
2013-02-15,2635,2670,2575,2590,230580,25785.0,4977833.0
2013-02-18,2610,2625,2550,2570,226923,25586.0,4977833.0
2013-02-19,2570,2610,2545,2555,213234,25437.0,4977833.0
2013-02-20,2565,2675,2565,2645,240628,26333.0,4977833.0
2013-02-21,2615,2660,2585,2620,280071,26084.0,4977833.0
2013-02-22,2615,2700,2600,2700,230989,26880.0,4977833.0
2013-02-25,2700,2735,2650,2670,183585,26582.0,4977833.0
2013-02-26,2635,2690,2560,2560,288233,25487.0,4977833.0
2013-02-27,2560,2585,2500,2545,148285,25337.0,4977833.0
2013-02-28,2545,2575,2525,2525,68920,25138.0,4977833.0
2013-03-04,2550,2585,2495,2535,158891,25238.0,4977833.0
2013-03-05,2550,2550,2505,2510,62054,24989.0,4977833.0
2013-03-06,2525,2540,2490,2490,154745,24790.0,4977833.0
2013-03-07,2500,2500,2397,2415,205013,24043.0,4977833.0
2013-03-08,2425,2425,2382,2393,87098,23819.0,4977833.0
2013-03-11,2400,2432,2352,2430,71586,24192.0,4977833.0
2013-03-12,2430,2575,2425,2510,94895,24989.0,4977833.0
