신신제약(002800),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-02-28,6170,8020,6170,8020,13800676,121667.0,15170500.0
2017-03-02,9210,9930,8350,8480,20698118,128646.0,15170500.0
2017-03-03,8840,9150,8060,8370,6999353,126977.0,15170500.0
2017-03-06,8010,8040,7130,7170,3835669,108772.0,15170500.0
2017-03-07,7120,7780,7050,7230,5872675,109683.0,15170500.0
2017-03-08,7280,7620,7170,7170,2702013,108772.0,15170500.0
2017-03-09,7330,7430,6820,6820,1826368,103463.0,15170500.0
2017-03-10,6860,7020,6350,6630,1537204,100580.0,15170500.0
2017-03-13,6710,6810,6540,6760,1420567,102553.0,15170500.0
2017-03-14,7270,7550,6990,7020,5306494,106497.0,15170500.0
2017-03-15,6930,7020,6710,6830,1045708,103615.0,15170500.0
2017-03-16,6860,6980,6800,6840,1019417,103766.0,15170500.0
2017-03-17,7000,8770,6970,8130,20690664,123336.0,15170500.0
2017-03-20,8030,8120,7640,7990,3594153,121212.0,15170500.0
2017-03-21,8100,8650,7810,8100,7065239,122881.0,15170500.0
2017-03-22,8250,10500,8230,10500,23529671,159290.0,15170500.0
2017-03-23,10900,11300,10050,10550,9798823,160049.0,15170500.0
2017-03-24,10100,10500,9670,10450,4357154,158532.0,15170500.0
2017-03-27,10500,11600,9870,9870,6840119,149733.0,15170500.0
2017-03-28,9770,9960,9410,9630,2380491,146092.0,15170500.0
2017-03-29,9780,10450,9480,9510,3945155,144271.0,15170500.0
2017-03-30,9770,10250,9670,10100,3133583,153222.0,15170500.0
2017-03-31,10100,10150,9910,10100,1241245,153222.0,15170500.0
2017-04-03,10300,10650,9920,9960,2703060,151098.0,15170500.0
2017-04-04,10200,10250,9180,9180,1796288,139265.0,15170500.0
2017-04-05,9250,9560,9170,9220,862356,139872.0,15170500.0
2017-04-06,9340,9540,9110,9150,993204,138810.0,15170500.0
2017-04-07,9230,9320,8630,8830,1194411,133956.0,15170500.0
2017-04-10,8830,8940,8140,8200,964914,124398.0,15170500.0
2017-04-11,8250,8700,8130,8490,1186309,128798.0,15170500.0
2017-04-12,8410,8490,8180,8230,400545,124853.0,15170500.0
2017-04-13,8320,9350,8300,8650,3978049,131225.0,15170500.0
2017-04-14,8570,8890,8430,8520,765745,129253.0,15170500.0
2017-04-17,8650,8970,8520,8770,973244,133045.0,15170500.0
2017-04-18,8980,9120,8810,8900,1097277,135017.0,15170500.0
2017-04-19,8850,8900,8690,8730,373955,132438.0,15170500.0
2017-04-20,8780,8780,8410,8420,467454,127736.0,15170500.0
2017-04-21,8440,8660,8420,8450,257513,128191.0,15170500.0
2017-04-24,8570,8590,8140,8180,291312,124095.0,15170500.0
2017-04-25,8150,8310,8150,8230,121261,124853.0,15170500.0
2017-04-26,8300,8460,8270,8290,206210,125763.0,15170500.0
2017-04-27,8300,8410,8240,8260,142967,125308.0,15170500.0
2017-04-28,8340,8350,8120,8120,205513,123184.0,15170500.0
2017-05-02,8120,8470,7820,8120,349604,123184.0,15170500.0
2017-05-04,8190,8450,8190,8270,244987,125460.0,15170500.0
2017-05-08,8310,8550,8290,8440,399364,128039.0,15170500.0
2017-05-10,8500,8640,8250,8470,557703,128494.0,15170500.0
2017-05-11,8470,10100,8350,9150,9089112,138810.0,15170500.0
2017-05-12,9230,9800,8990,9350,3608429,141844.0,15170500.0
2017-05-15,9320,9500,9140,9150,840297,138810.0,15170500.0
2017-05-16,9290,9460,9100,9140,1251540,138658.0,15170500.0
2017-05-17,9190,9420,8900,8900,894047,135017.0,15170500.0
2017-05-18,8700,8970,8620,8840,567160,134107.0,15170500.0
2017-05-19,8910,9220,8800,9170,872010,139113.0,15170500.0
2017-05-22,9250,9330,9050,9110,502970,138203.0,15170500.0
2017-05-23,9250,9380,9070,9220,1072593,139872.0,15170500.0
2017-05-24,9220,9310,9000,9000,496225,136534.0,15170500.0
2017-05-25,9040,9090,8680,8720,577210,132287.0,15170500.0
2017-05-26,8720,8850,8700,8730,242813,132438.0,15170500.0
2017-05-29,8840,8900,8270,8400,549303,127432.0,15170500.0
2017-05-30,8380,8480,8280,8310,313196,126067.0,15170500.0
2017-05-31,8310,8670,8290,8550,556532,129708.0,15170500.0
2017-06-01,8640,9120,8500,8650,919006,131225.0,15170500.0
2017-06-02,8700,8930,8670,8840,437042,134107.0,15170500.0
2017-06-05,8990,9500,8930,9450,2953429,143361.0,15170500.0
2017-06-07,9750,9820,9150,9220,1588532,139872.0,15170500.0
2017-06-08,9370,10650,9270,9610,7771821,145789.0,15170500.0
2017-06-09,9740,9980,9550,9630,2369290,146092.0,15170500.0
2017-06-12,9460,9570,9150,9160,796882,138962.0,15170500.0
2017-06-13,9180,9350,9000,9120,683210,138355.0,15170500.0
2017-06-14,9210,9940,9160,9450,2366835,143361.0,15170500.0
2017-06-15,9390,9660,9350,9480,809947,143816.0,15170500.0
2017-06-16,9500,9570,9220,9240,388570,140175.0,15170500.0
2017-06-19,9210,9340,9100,9160,376689,138962.0,15170500.0
2017-06-20,9270,9480,9100,9130,1065015,138507.0,15170500.0
2017-06-21,9300,9420,9060,9090,567698,137900.0,15170500.0
2017-06-22,9160,9190,8720,8720,745823,132287.0,15170500.0
2017-06-23,8810,8860,8690,8760,241166,132894.0,15170500.0
2017-06-26,8800,8840,8490,8570,318081,130011.0,15170500.0
2017-06-27,8500,8760,8500,8610,245107,130618.0,15170500.0
2017-06-28,8500,8630,8410,8420,253575,127736.0,15170500.0
2017-06-29,8440,8590,8430,8450,192417,128191.0,15170500.0
2017-06-30,8430,8580,8300,8570,270976,130011.0,15170500.0
2017-07-03,8680,8730,8540,8580,180075,130163.0,15170500.0
2017-07-04,8560,8630,8260,8310,394659,126067.0,15170500.0
2017-07-05,8400,8400,8310,8320,108840,126219.0,15170500.0
2017-07-06,8400,8650,8360,8510,225139,129101.0,15170500.0
2017-07-07,8530,8530,8360,8400,104587,127432.0,15170500.0
2017-07-10,8410,8440,8300,8300,112763,125915.0,15170500.0
2017-07-11,8340,8370,8100,8130,184331,123336.0,15170500.0
2017-07-12,8130,8250,8040,8040,88317,121971.0,15170500.0
2017-07-13,8050,8110,7870,7900,184525,119847.0,15170500.0
2017-07-14,7830,8060,7830,7890,126768,119695.0,15170500.0
2017-07-17,7960,8030,7890,7940,65394,120454.0,15170500.0
2017-07-18,7920,8000,7900,7900,74624,119847.0,15170500.0
2017-07-19,7910,8230,7910,8170,205761,123943.0,15170500.0
2017-07-20,8240,8240,8020,8150,95768,123640.0,15170500.0
2017-07-21,8230,8390,8130,8130,200577,123336.0,15170500.0
2017-07-24,8220,8220,7960,7960,113132,120757.0,15170500.0
2017-07-25,8000,8000,7860,7880,117686,119544.0,15170500.0
2017-07-26,7880,7930,7630,7680,181589,116509.0,15170500.0
2017-07-27,7690,7860,7590,7590,135998,115144.0,15170500.0
2017-07-28,7520,7580,7110,7110,246975,107862.0,15170500.0
2017-07-31,7080,7080,6870,6950,149376,105435.0,15170500.0
2017-08-01,6850,7070,6810,6870,161227,104221.0,15170500.0
2017-08-02,6960,8080,6950,7220,1597307,109531.0,15170500.0
2017-08-03,7320,7340,7020,7100,177134,107711.0,15170500.0
2017-08-04,7100,7160,6980,7010,95113,106345.0,15170500.0
2017-08-07,7010,7120,6920,7120,83785,108014.0,15170500.0
2017-08-08,7150,7270,7080,7190,98562,109076.0,15170500.0
2017-08-09,7190,7220,7050,7160,89378,108621.0,15170500.0
2017-08-10,7290,7950,7220,7220,1590542,109531.0,15170500.0
2017-08-11,7150,7240,7000,7030,232648,106649.0,15170500.0
2017-08-14,7100,7130,6940,6940,116969,105283.0,15170500.0
2017-08-16,7020,7090,6980,7030,91441,106649.0,15170500.0
2017-08-17,7040,7190,6980,7080,122633,107407.0,15170500.0
2017-08-18,6990,7470,6960,7180,279875,108924.0,15170500.0
2017-08-21,7170,7390,7150,7230,133785,109683.0,15170500.0
