교보8호스팩(307280),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-05,2020,2030,2010,2015,822312,7496.0,3720000.0
2018-12-06,2015,2020,2010,2015,74434,7496.0,3720000.0
2018-12-07,2020,2030,2015,2020,93897,7514.0,3720000.0
2018-12-10,2025,2035,2020,2030,81269,7552.0,3720000.0
2018-12-11,2030,2035,2015,2035,32659,7570.0,3720000.0
2018-12-12,2020,2030,2020,2020,14789,7514.0,3720000.0
2018-12-13,2020,2035,2020,2030,25047,7552.0,3720000.0
2018-12-14,2020,2030,2020,2030,785,7552.0,3720000.0
2018-12-17,2020,2020,2015,2020,13378,7514.0,3720000.0
2018-12-18,2015,2025,2015,2025,10702,7533.0,3720000.0
2018-12-19,2020,2025,2015,2025,4713,7533.0,3720000.0
2018-12-20,2020,2020,2015,2020,2400,7514.0,3720000.0
2018-12-21,2010,2020,2010,2020,218,7514.0,3720000.0
2018-12-24,2030,2030,2020,2030,6708,7552.0,3720000.0
2018-12-26,2030,2030,2030,2030,5,7552.0,3720000.0
2018-12-27,2025,2025,2025,2025,3282,7533.0,3720000.0
2018-12-28,2015,2030,2015,2030,761,7552.0,3720000.0
2019-01-02,2015,2015,2015,2015,1,7496.0,3720000.0
2019-01-03,2020,2020,2020,2020,221,7514.0,3720000.0
2019-01-04,2025,2025,2025,2025,717,7533.0,3720000.0
2019-01-07,2015,2015,2015,2015,1,7496.0,3720000.0
2019-01-08,2020,2020,2015,2015,2182,7496.0,3720000.0
2019-01-09,2010,2010,2010,2010,1,7477.0,3720000.0
2019-01-10,2015,2020,2015,2020,1269,7514.0,3720000.0
2019-01-11,2020,2020,2020,2020,2596,7514.0,3720000.0
2019-01-14,2020,2020,2020,2020,7693,7514.0,3720000.0
2019-01-15,2035,2035,2030,2030,5901,7552.0,3720000.0
2019-01-16,2020,2040,2020,2025,3,7533.0,3720000.0
2019-01-17,2040,2040,2025,2025,2,7533.0,3720000.0
2019-01-18,2030,2040,2030,2040,301,7589.0,3720000.0
2019-01-21,2035,2035,2035,2035,100,7570.0,3720000.0
2019-01-22,2035,2040,2030,2030,505,7552.0,3720000.0
2019-01-23,2050,2050,2035,2050,15934,7626.0,3720000.0
2019-01-24,2045,2050,2025,2025,19165,7533.0,3720000.0
2019-01-25,2025,2025,2025,2025,0,7533.0,3720000.0
2019-01-28,2025,2030,2025,2030,2171,7552.0,3720000.0
2019-01-29,2030,2050,2030,2050,1203,7626.0,3720000.0
2019-01-30,2045,2050,2045,2050,5420,7626.0,3720000.0
2019-01-31,2050,2055,2050,2055,553,7645.0,3720000.0
2019-02-01,2055,2100,2055,2100,300,7812.0,3720000.0
2019-02-07,2090,2090,2090,2090,0,7775.0,3720000.0
2019-02-08,2050,2085,2050,2085,101,7756.0,3720000.0
2019-02-11,2080,2080,2070,2070,1446,7700.0,3720000.0
2019-02-12,2065,2065,2065,2065,0,7682.0,3720000.0
2019-02-13,2065,2065,2065,2065,237,7682.0,3720000.0
2019-02-14,2065,2090,2065,2090,2,7775.0,3720000.0
2019-02-15,2030,2075,2030,2075,5002,7719.0,3720000.0
2019-02-18,2075,2075,2075,2075,4697,7719.0,3720000.0
2019-02-19,2075,2075,2075,2075,0,7719.0,3720000.0
2019-02-20,2075,2075,2075,2075,0,,
2019-02-21,2075,2075,2075,2075,0,,
2019-02-22,2070,2070,2070,2070,0,7700.0,3720000.0
2019-02-25,2070,2070,2070,2070,0,7700.0,3720000.0
2019-02-26,2065,2065,2065,2065,0,,
2019-02-27,2065,2065,2065,2065,0,7682.0,3720000.0
2019-02-28,2065,2065,2065,2065,0,,
2019-03-04,2030,2065,2030,2040,6862,7589.0,3720000.0
2019-03-05,2050,2050,2050,2050,760,7626.0,3720000.0
2019-03-06,2050,2050,2050,2050,0,7626.0,3720000.0
2019-03-07,2045,2050,2045,2050,770,7626.0,3720000.0
2019-03-08,2070,2070,2070,2070,1,7700.0,3720000.0
2019-03-11,2070,2070,2040,2060,8102,7663.0,3720000.0
2019-03-12,2045,2065,2045,2065,4838,7682.0,3720000.0
2019-03-13,2065,2075,2065,2075,2195,7719.0,3720000.0
2019-03-14,2080,2080,2060,2075,452,7719.0,3720000.0
2019-03-15,2120,2120,2060,2090,4,7775.0,3720000.0
2019-03-18,2120,2120,2050,2060,282,7663.0,3720000.0
2019-03-19,2060,2085,2060,2070,1854,7700.0,3720000.0
2019-03-20,2070,2070,2070,2070,0,,
2019-03-21,2100,2100,2085,2085,2150,7756.0,3720000.0
2019-03-22,2070,2070,2070,2070,33633,7700.0,3720000.0
2019-03-25,2075,2075,2075,2075,1,7719.0,3720000.0
2019-03-26,2085,2085,2085,2085,1,7756.0,3720000.0
2019-03-27,2010,2080,2010,2080,8058,7738.0,3720000.0
2019-03-28,2120,2120,2070,2120,5434,7886.0,3720000.0
2019-03-29,2100,2105,2100,2100,2590,7812.0,3720000.0
2019-04-01,2100,2100,2100,2100,0,7812.0,3720000.0
2019-04-02,2095,2095,2095,2095,678,7793.0,3720000.0
2019-04-03,2095,2105,2095,2095,9952,7793.0,3720000.0
2019-04-04,2100,2100,2100,2100,3768,7812.0,3720000.0
2019-04-05,2095,2110,2095,2110,4751,7849.0,3720000.0
2019-04-08,2125,2125,2100,2100,10222,7812.0,3720000.0
2019-04-09,2105,2125,2100,2125,4521,7905.0,3720000.0
2019-04-10,2120,2125,2120,2120,5012,7886.0,3720000.0
2019-04-11,2175,2175,2130,2130,495,7924.0,3720000.0
2019-04-12,2130,2130,2130,2130,1000,7924.0,3720000.0
2019-04-15,2130,2145,2130,2145,1792,7979.0,3720000.0
2019-04-16,2145,2145,2145,2145,0,7979.0,3720000.0
2019-04-17,2145,2145,2065,2120,16991,7886.0,3720000.0
2019-04-18,2140,2140,2110,2135,3921,7942.0,3720000.0
2019-04-19,2130,2130,2130,2130,0,7924.0,3720000.0
2019-04-22,2130,2130,2130,2130,3,7924.0,3720000.0
2019-04-23,2055,2130,2055,2130,8,7924.0,3720000.0
2019-04-24,2125,2125,2125,2125,0,7905.0,3720000.0
2019-04-25,2120,2125,2120,2125,1043,7905.0,3720000.0
2019-04-26,2135,2135,2125,2135,26454,7942.0,3720000.0
2019-04-29,2120,2135,2120,2120,4941,7886.0,3720000.0
2019-04-30,2135,2135,2120,2120,2,7886.0,3720000.0
2019-05-02,2120,2120,2120,2120,1,7886.0,3720000.0
2019-05-03,2120,2140,2120,2120,32106,7886.0,3720000.0
2019-05-07,2190,2190,2115,2150,16779,7998.0,3720000.0
2019-05-08,2175,2175,2105,2120,2027,7886.0,3720000.0
2019-05-09,2150,2180,2110,2145,24250,7979.0,3720000.0
2019-05-10,2215,2215,2145,2170,23173,8072.0,3720000.0
2019-05-13,2185,2185,2145,2150,559,7998.0,3720000.0
2019-05-14,2195,2195,2165,2185,10003,8128.0,3720000.0
2019-05-15,2200,2200,2160,2185,591,8128.0,3720000.0
2019-05-16,2195,2195,2150,2190,2201,8147.0,3720000.0
2019-05-17,2185,2185,2165,2185,2102,8128.0,3720000.0
2019-05-20,2195,2195,2195,2195,10,8165.0,3720000.0
2019-05-21,2195,2195,2160,2195,743,8165.0,3720000.0
2019-05-22,2120,2195,2120,2195,532,8165.0,3720000.0
2019-05-23,2195,2195,2195,2195,100,8165.0,3720000.0
2019-05-24,2200,2200,2145,2195,535,8165.0,3720000.0
2019-05-27,2190,2190,2190,2190,0,8147.0,3720000.0
2019-05-28,2145,2145,2140,2140,9657,7961.0,3720000.0
2019-05-29,2140,2140,2140,2140,5302,7961.0,3720000.0
2019-05-30,2140,2140,2140,2140,0,7961.0,3720000.0
2019-05-31,2140,2140,2140,2140,0,,
2019-06-03,2145,2145,2145,2145,0,7979.0,3720000.0
2019-06-04,2190,2190,2140,2140,23556,7961.0,3720000.0
2019-06-05,2140,2175,2115,2120,219897,7886.0,3720000.0
2019-06-07,2200,2200,2120,2120,2105,7886.0,3720000.0
2019-06-10,2140,2195,2115,2115,28764,7868.0,3720000.0
2019-06-11,2215,2215,2130,2135,4014,7942.0,3720000.0
2019-06-12,2195,2195,2135,2165,146,8054.0,3720000.0
2019-06-13,2190,2190,2120,2130,3771,7924.0,3720000.0
2019-06-14,2130,2170,2130,2165,7182,8054.0,3720000.0
2019-06-17,2220,2220,2135,2180,556,8110.0,3720000.0
2019-06-18,2215,2215,2160,2195,6046,8165.0,3720000.0
2019-06-19,2230,2230,2155,2210,109,8221.0,3720000.0
2019-06-20,2235,2235,2150,2150,11019,7998.0,3720000.0
2019-06-21,2195,2195,2145,2180,5013,8110.0,3720000.0
2019-06-24,2225,2225,2135,2160,890,8035.0,3720000.0
2019-06-25,2140,2160,2130,2130,7658,7924.0,3720000.0
2019-06-26,2160,2160,2130,2155,321,8017.0,3720000.0
2019-06-27,2135,2150,2130,2150,2820,7998.0,3720000.0
2019-06-28,2150,2150,2125,2140,7249,7961.0,3720000.0
2019-07-01,2180,2180,2120,2130,12783,7924.0,3720000.0
2019-07-02,2165,2165,2120,2160,10651,8035.0,3720000.0
2019-07-03,2180,2180,2180,2180,10,8110.0,3720000.0
