지노믹트리(228760),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-07-19,20500,23550,20500,23550,20,51460.0,2185140.0
2016-07-20,27050,27050,27050,27050,10,59108.0,2185140.0
2016-07-21,31100,31100,31100,31100,5,67958.0,2185140.0
2016-07-22,31150,31150,31150,31150,5,68067.0,2185140.0
2016-07-25,31150,31150,31150,31150,0,68067.0,2185140.0
2016-07-26,32000,32000,32000,32000,40,69924.0,2185140.0
2016-07-27,36800,36800,36800,36800,200,80413.0,2185140.0
2016-07-28,42300,42300,33000,33300,1153,72765.0,2185140.0
2016-07-29,38250,38250,34250,34400,1556,75169.0,2185140.0
2016-08-01,36000,36000,33800,33900,397,74076.0,2185140.0
2016-08-02,32150,32150,32150,32150,1,70252.0,2185140.0
2016-08-03,33000,33000,33000,33000,0,72110.0,2185140.0
2016-08-04,35500,35500,31000,31000,1342,67739.0,2185140.0
2016-08-05,31500,31500,31500,31500,90,68832.0,2185140.0
2016-08-08,31500,31500,31500,31500,500,72650.0,2306353.0
2016-08-09,31500,31500,31500,31500,500,,
2016-08-10,32500,32500,31500,32500,2800,74956.0,2306353.0
2016-08-11,32500,32500,31500,31500,730,72650.0,2306353.0
2016-08-12,32500,32500,32500,32500,2000,74956.0,2306353.0
2016-08-16,32500,32500,32500,32500,0,74956.0,2306353.0
2016-08-17,32500,32500,32500,32500,0,,
2016-08-18,32500,32500,32500,32500,0,,
2016-08-19,31500,31500,31500,31500,250,72650.0,2306353.0
2016-08-22,31000,31000,31000,31000,1000,71497.0,2306353.0
2016-08-23,31000,31000,31000,31000,50,71497.0,2306353.0
2016-08-24,31500,31500,30500,30500,1345,70344.0,2306353.0
2016-08-25,30000,30000,30000,30000,617,69191.0,2306353.0
2016-08-26,29000,29000,29000,29000,1000,66884.0,2306353.0
2016-08-29,31000,31000,31000,31000,3,71497.0,2306353.0
2016-08-30,31000,31000,31000,31000,0,71497.0,2306353.0
2016-08-31,30450,30900,29000,30900,475,71266.0,2306353.0
2016-09-01,30900,30900,30900,30900,0,71266.0,2306353.0
2016-09-02,30850,30850,30850,30850,0,71151.0,2306353.0
2016-09-05,30000,30000,30000,30000,10,69191.0,2306353.0
2016-09-06,30000,30000,30000,30000,32,69191.0,2306353.0
2016-09-07,31000,31000,31000,31000,1,71497.0,2306353.0
2016-09-08,30000,30000,30000,30000,700,69191.0,2306353.0
2016-09-09,30000,30000,29000,30000,1474,69191.0,2306353.0
2016-09-12,29500,29500,29500,29500,0,68037.0,2306353.0
2016-09-13,29000,29000,29000,29000,743,66884.0,2306353.0
2016-09-19,29050,29050,29050,29050,10,67000.0,2306353.0
2016-09-20,29000,29000,29000,29000,40,66884.0,2306353.0
2016-09-21,30000,30000,29000,29000,40,66884.0,2306353.0
2016-09-22,28500,28500,28500,28500,20,65731.0,2306353.0
2016-09-23,28400,29000,28400,29000,140,66884.0,2306353.0
2016-09-26,29000,29000,29000,29000,95,66884.0,2306353.0
2016-09-27,29000,29000,29000,29000,130,66884.0,2306353.0
2016-09-28,29000,29000,29000,29000,8,66884.0,2306353.0
2016-09-29,29000,29000,29000,29000,32,66884.0,2306353.0
2016-09-30,29000,29000,28500,28500,100,65731.0,2306353.0
2016-10-04,30500,30500,27050,27050,1331,62387.0,2306353.0
2016-10-05,26250,29450,26250,29450,23,67922.0,2306353.0
2016-10-06,29450,29450,29000,29000,82,66884.0,2306353.0
2016-10-07,28950,28950,28950,28950,0,66769.0,2306353.0
2016-10-10,28950,28950,28950,28950,0,66769.0,2306353.0
2016-10-11,28000,28500,28000,28500,518,65731.0,2306353.0
2016-10-12,28500,28500,28500,28500,0,65731.0,2306353.0
2016-10-13,30000,30000,30000,30000,900,69191.0,2306353.0
2016-10-14,29000,30000,28800,30000,360,69191.0,2306353.0
2016-10-17,28800,30000,28800,30000,302,69191.0,2306353.0
2016-10-18,29500,29500,29500,29500,0,,
2016-10-19,29500,29500,29500,29500,0,68037.0,2306353.0
2016-10-20,29300,30000,29300,30000,1028,69191.0,2306353.0
2016-10-21,29800,29800,29100,29100,1000,67115.0,2306353.0
