한국제5호스팩(271740),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-07-24,2020,2025,2000,2000,418479,8000.0,4000000.0
2017-07-25,2000,2010,1995,2010,108340,8040.0,4000000.0
2017-07-26,2005,2010,1995,2000,22225,8000.0,4000000.0
2017-07-27,2000,2010,2000,2000,18692,8000.0,4000000.0
2017-07-28,2000,2010,2000,2000,8415,8000.0,4000000.0
2017-07-31,2000,2010,2000,2000,174,8000.0,4000000.0
2017-08-01,2000,2010,2000,2005,5742,8020.0,4000000.0
2017-08-02,2005,2015,2005,2010,21659,8040.0,4000000.0
2017-08-03,2010,2015,2005,2010,12760,8040.0,4000000.0
2017-08-04,2010,2010,2000,2010,65119,8040.0,4000000.0
2017-08-07,2010,2010,2000,2000,127,8000.0,4000000.0
2017-08-08,2000,2005,2000,2005,1693,8020.0,4000000.0
2017-08-09,2005,2015,2000,2005,5243,8020.0,4000000.0
2017-08-10,2000,2010,2000,2010,35018,8040.0,4000000.0
2017-08-11,2000,2010,1995,1995,8348,7980.0,4000000.0
2017-08-14,2000,2000,2000,2000,1007,8000.0,4000000.0
2017-08-16,2000,2010,1995,2005,7067,8020.0,4000000.0
2017-08-17,2010,2010,2000,2010,10068,8040.0,4000000.0
2017-08-18,2010,2015,2010,2010,79071,8040.0,4000000.0
2017-08-21,2015,2020,2010,2020,62432,8080.0,4000000.0
2017-08-22,2010,2020,2000,2005,44329,8020.0,4000000.0
2017-08-23,2000,2015,2000,2010,17024,8040.0,4000000.0
2017-08-24,2005,2020,2005,2015,17428,8060.0,4000000.0
2017-08-25,2020,2050,2020,2025,30255,8100.0,4000000.0
2017-08-28,2010,2035,2010,2035,13226,8140.0,4000000.0
2017-08-29,2030,2035,2030,2030,11801,8120.0,4000000.0
2017-08-30,2030,2035,2030,2035,8454,8140.0,4000000.0
2017-08-31,2035,2035,2020,2025,19,8100.0,4000000.0
2017-09-01,2045,2045,2015,2015,35566,8060.0,4000000.0
2017-09-04,2015,2015,2015,2015,561,8060.0,4000000.0
2017-09-05,2015,2035,2015,2020,1339,8080.0,4000000.0
2017-09-06,2025,2025,2025,2025,265,8100.0,4000000.0
2017-09-07,2030,2045,2025,2040,1668,8160.0,4000000.0
2017-09-08,2025,2045,2025,2045,2991,8180.0,4000000.0
2017-09-11,2045,2045,2025,2025,12617,8100.0,4000000.0
2017-09-12,2020,2020,2020,2020,15,8080.0,4000000.0
2017-09-13,2020,2025,2020,2020,2216,8080.0,4000000.0
2017-09-14,2015,2035,2015,2035,6074,8140.0,4000000.0
2017-09-15,2015,2025,2015,2025,5847,8100.0,4000000.0
2017-09-18,2015,2015,2015,2015,1029,8060.0,4000000.0
2017-09-19,2015,2015,2015,2015,1536,8060.0,4000000.0
2017-09-20,2015,2020,2015,2015,2397,8060.0,4000000.0
2017-09-21,2015,2015,2015,2015,7,8060.0,4000000.0
2017-09-22,2020,2025,2020,2020,3095,8080.0,4000000.0
2017-09-25,2020,2020,2020,2020,0,8080.0,4000000.0
2017-09-26,2065,2065,2020,2020,502,8080.0,4000000.0
2017-09-27,2020,2060,2020,2060,9,8240.0,4000000.0
2017-09-28,2020,2035,2020,2035,1507,8140.0,4000000.0
2017-09-29,2020,2045,2015,2030,11351,8120.0,4000000.0
2017-10-10,2030,2035,2030,2030,11854,8120.0,4000000.0
2017-10-11,2015,2050,2015,2045,10731,8180.0,4000000.0
2017-10-12,2040,2040,2040,2040,250,8160.0,4000000.0
2017-10-13,2040,2040,2040,2040,0,8160.0,4000000.0
2017-10-16,2050,2050,2040,2040,9557,8160.0,4000000.0
2017-10-17,2045,2045,2045,2045,3000,8180.0,4000000.0
2017-10-18,2045,2055,2040,2055,3175,8220.0,4000000.0
2017-10-19,2050,2050,2045,2045,8267,8180.0,4000000.0
2017-10-20,2030,2045,2030,2035,10121,8140.0,4000000.0
2017-10-23,2045,2050,2040,2040,16278,8160.0,4000000.0
2017-10-24,2045,2050,2040,2040,5705,8160.0,4000000.0
