케이엔더블유(105330),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-09-29,16000,18350,13600,13600,2112504,59840.0,4400000.0
2009-09-30,12450,13350,11600,11600,1427337,51040.0,4400000.0
2009-10-01,11950,12450,11050,11700,651418,51480.0,4400000.0
2009-10-05,11400,11600,10750,10800,215775,47520.0,4400000.0
2009-10-06,11000,11150,9900,9900,290968,43560.0,4400000.0
2009-10-07,10200,11350,10100,10400,900801,45760.0,4400000.0
2009-10-08,10500,11700,10200,10950,467275,48180.0,4400000.0
2009-10-09,11000,11850,10950,11250,352812,49500.0,4400000.0
2009-10-12,11400,11700,11000,11300,165940,49720.0,4400000.0
2009-10-13,11450,11500,10400,10750,276528,47300.0,4400000.0
2009-10-14,10600,11350,10550,10950,187465,48180.0,4400000.0
2009-10-15,10900,11350,10500,10500,141594,46200.0,4400000.0
2009-10-16,10500,10700,10300,10400,75528,45760.0,4400000.0
2009-10-19,10400,11200,10350,11200,238173,49280.0,4400000.0
2009-10-20,11350,11800,11150,11150,280541,49060.0,4400000.0
2009-10-21,11250,12500,11050,11800,739749,51920.0,4400000.0
2009-10-22,11650,13550,11600,13550,618777,59620.0,4400000.0
2009-10-23,14100,14350,13200,13700,1061682,60280.0,4400000.0
2009-10-26,13950,14950,13550,13950,1009188,61380.0,4400000.0
2009-10-27,13700,15850,13650,14600,1417773,64240.0,4400000.0
2009-10-28,14600,14700,13400,13400,366645,58960.0,4400000.0
2009-10-29,12950,14950,12950,14800,438037,65120.0,4400000.0
2009-10-30,15000,16150,14700,15200,693307,66880.0,4400000.0
2009-11-02,14700,15050,14050,14250,400659,62700.0,4400000.0
2009-11-03,14650,15250,14300,14350,353722,63140.0,4400000.0
2009-11-04,14500,15800,14500,15800,317352,69520.0,4400000.0
2009-11-05,15800,16900,15400,16300,709193,71720.0,4400000.0
2009-11-06,16350,16750,16000,16300,299529,71720.0,4400000.0
2009-11-09,16350,16500,15600,15850,346915,69740.0,4400000.0
2009-11-10,16100,16200,15050,15300,337326,67320.0,4400000.0
2009-11-11,15300,15600,14500,15600,302354,68640.0,4400000.0
2009-11-12,15600,15600,14700,14700,112324,64680.0,4400000.0
2009-11-13,14900,15200,14300,14300,155568,62920.0,4400000.0
2009-11-16,14300,14300,13000,13200,361424,58080.0,4400000.0
2009-11-17,13400,13700,13100,13200,188877,58080.0,4400000.0
2009-11-18,13400,13700,13250,13450,197352,59180.0,4400000.0
2009-11-19,13650,14400,13550,14300,190494,62920.0,4400000.0
2009-11-20,14400,14600,13950,14150,114064,62260.0,4400000.0
2009-11-23,14150,14250,13750,14250,96319,62700.0,4400000.0
2009-11-24,14400,14850,14100,14100,157454,62040.0,4400000.0
2009-11-25,14350,14450,13900,14450,79765,63580.0,4400000.0
2009-11-26,14450,14450,13850,13850,99788,60940.0,4400000.0
2009-11-27,13700,13700,11800,11900,372254,52360.0,4400000.0
2009-11-30,12450,13300,12200,12950,235777,56980.0,4400000.0
2009-12-01,12950,13450,12500,13400,89416,58960.0,4400000.0
2009-12-02,13800,13950,13350,13350,92933,58740.0,4400000.0
2009-12-03,13300,13450,12950,13050,78022,57420.0,4400000.0
