골드퍼시픽(038530),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-06-09,199149,199149,199149,199140,53,228000.0,12000000.0
2000-06-12,222728,222728,222728,222720,72,255000.0,12000000.0
2000-06-13,249449,249449,249449,249440,2,285600.0,12000000.0
2000-06-14,279319,279319,279319,279311,753,319800.0,12000000.0
2000-06-15,312330,312330,284558,312331,3187674,357600.0,12000000.0
2000-06-16,302897,333810,289792,309181,2941979,354000.0,12000000.0
2000-06-19,315478,334867,296090,297652,2231670,340800.0,12000000.0
2000-06-20,314437,324921,288755,314428,2357499,360000.0,12000000.0
2000-06-21,323863,334348,288227,301324,2678443,345000.0,12000000.0
2000-06-22,295567,309193,278799,282982,1133074,324000.0,12000000.0
2000-06-23,273552,309187,273552,291370,1279782,333600.0,12000000.0
2000-06-26,282988,290321,277746,281939,988861,322800.0,12000000.0
2000-06-27,285094,293478,267277,270409,779421,309600.0,12000000.0
2000-06-28,278787,302367,268312,302368,1564992,346200.0,12000000.0
2000-06-29,310231,319664,292413,302368,2655252,346200.0,12000000.0
2000-06-30,298704,302375,268312,271454,870199,310800.0,12000000.0
2000-07-03,272510,281415,265697,267259,555520,306000.0,12000000.0
2000-07-04,263071,271975,241061,251537,806198,288000.0,12000000.0
2000-07-05,247347,255730,221666,221666,1103722,253800.0,12000000.0
2000-07-06,209616,216949,202273,203325,939887,232800.0,12000000.0
2000-07-07,214859,227434,213809,227435,317497,260400.0,12000000.0
2000-07-10,240010,251534,227955,230576,1875361,264000.0,12000000.0
2000-07-11,233727,234247,203324,206997,1066842,237000.0,12000000.0
2000-07-12,211194,216957,197039,212756,1218308,243600.0,12000000.0
2000-07-13,209617,211718,200183,200184,603277,229200.0,12000000.0
2000-07-14,203324,220101,198092,206997,1779233,237000.0,12000000.0
2000-07-18,206483,214867,193898,195990,979268,224400.0,12000000.0
2000-07-19,195991,195991,172931,172932,799194,198000.0,12000000.0
2000-07-20,160356,175032,152493,166119,1260445,190200.0,12000000.0
2000-07-21,168747,170839,154071,155113,822171,177600.0,12000000.0
2000-07-24,150937,160361,136781,137302,930441,157200.0,12000000.0
2000-07-25,131021,139406,122108,135205,1333000,154800.0,12000000.0
2000-07-26,138347,150922,135725,145681,2605812,166800.0,12000000.0
2000-07-27,146734,153547,142542,143583,1669818,164400.0,12000000.0
2000-07-28,139389,142540,127864,129436,1007876,148200.0,12000000.0
2000-07-31,127879,130500,121066,127870,764984,146400.0,12000000.0
2000-08-01,130486,143061,128915,143061,1455560,163800.0,12000000.0
2000-08-02,143075,151459,138873,144637,1585046,165600.0,12000000.0
2000-08-03,148832,159316,146741,153024,1607358,175200.0,12000000.0
2000-08-04,157213,158783,146738,148300,976245,169800.0,12000000.0
2000-08-07,147774,152497,142542,143583,585105,164400.0,12000000.0
2000-08-08,145692,160358,142541,160360,1424024,183600.0,12000000.0
2000-08-09,162449,169262,145682,149874,2479734,171600.0,12000000.0
2000-08-10,151973,162458,145690,153024,1579888,175200.0,12000000.0
2000-08-11,151976,158259,142542,143583,1107396,164400.0,12000000.0
2000-08-14,140454,145697,132591,134683,850953,154200.0,12000000.0
2000-08-16,135731,147257,135201,140965,918060,161400.0,12000000.0
2000-08-17,140456,140456,133113,135205,638777,154800.0,12000000.0
2000-08-18,133111,140444,131540,134152,651076,153600.0,12000000.0
2000-08-21,132592,134163,123678,124720,413251,142800.0,12000000.0
2000-08-22,126293,129965,124723,129436,487029,148200.0,12000000.0
2000-08-23,129972,130492,120537,121579,352470,139200.0,12000000.0
2000-08-24,121580,125771,111096,115288,621965,132000.0,12000000.0
2000-08-25,115300,118961,109527,116341,606498,133200.0,12000000.0
2000-08-28,118431,129957,116341,129958,946978,148800.0,12000000.0
2000-08-29,129968,129968,121584,123676,554732,141600.0,12000000.0
2000-08-30,127868,133631,124197,127339,973611,145800.0,12000000.0
2000-08-31,125774,127865,114239,119482,556782,136800.0,12000000.0
2000-09-01,120010,123681,116338,118960,397378,136200.0,12000000.0
2000-09-04,117394,119485,115293,117385,307752,134400.0,12000000.0
2000-09-05,115809,118431,112148,115810,347400,132600.0,12000000.0
2000-09-06,114759,118431,113718,115810,337695,132600.0,12000000.0
2000-09-07,113717,113717,104283,105335,331220,120600.0,12000000.0
2000-09-08,105861,111634,100629,107953,612646,123600.0,12000000.0
2000-09-14,102822,104180,95902,98206,546885,112440.0,12000000.0
2000-09-15,98527,100522,89198,89720,801784,102720.0,12000000.0
2000-09-18,82072,82072,79027,79028,430067,90480.0,12000000.0
2000-09-19,73585,79029,69595,69596,750973,79680.0,12000000.0
2000-09-20,72431,75053,71275,73367,863914,84000.0,12000000.0
2000-09-21,72851,72851,64564,64565,531612,73920.0,12000000.0
2000-09-22,58696,59641,56914,57329,683655,65640.0,12000000.0
2000-09-25,58382,62575,55558,57959,1256206,66360.0,12000000.0
2000-09-26,57647,64354,56077,63305,1443336,72480.0,12000000.0
2000-09-27,64977,70846,64033,70847,1591429,81120.0,12000000.0
2000-09-28,72951,79032,70744,76508,2385573,87600.0,12000000.0
2000-09-29,75985,78606,72323,75986,1827309,87000.0,12000000.0
2000-10-02,72631,74732,69489,72314,864665,82800.0,12000000.0
2000-10-04,68232,75045,66555,72107,960593,82560.0,12000000.0
2000-10-05,73154,77345,73154,73781,1760680,84480.0,12000000.0
2000-10-06,73573,74931,69169,72629,1045988,83160.0,12000000.0
