코스메카코리아(241710),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-10-28,35700,41950,31250,31250,2969149,333750.0,5340000.0
2016-10-31,31250,34600,29500,32500,532233,347100.0,5340000.0
2016-11-01,32500,33850,30050,32850,362493,350838.0,5340000.0
2016-11-02,32249,32550,30750,30800,151681,328944.0,5340000.0
2016-11-03,30599,32300,29950,30500,131901,325740.0,5340000.0
2016-11-04,30799,31450,30450,30650,66625,327342.0,5340000.0
2016-11-07,31000,33150,30750,32550,140923,347634.0,5340000.0
2016-11-08,32900,33250,31800,32450,99705,346566.0,5340000.0
2016-11-09,32300,32500,29100,31250,186069,333750.0,5340000.0
2016-11-10,31750,33300,31250,33150,108460,354042.0,5340000.0
2016-11-11,33150,34700,32700,33850,85316,361518.0,5340000.0
2016-11-14,33500,33850,32000,32500,84519,347100.0,5340000.0
2016-11-15,32100,32450,29950,30400,105952,324672.0,5340000.0
2016-11-16,30700,31850,30350,31400,50178,335352.0,5340000.0
2016-11-17,31400,31750,31100,31400,16505,335352.0,5340000.0
2016-11-18,31099,31750,29850,30200,48262,322536.0,5340000.0
2016-11-21,30700,30700,27700,27700,58877,295836.0,5340000.0
2016-11-22,27400,27849,25700,26000,64743,277680.0,5340000.0
2016-11-23,26000,27200,26000,26500,34903,283020.0,5340000.0
2016-11-24,27100,27100,24400,24400,46311,260592.0,5340000.0
2016-11-25,24300,25550,23550,25500,66521,272340.0,5340000.0
2016-11-28,25100,25300,24625,25200,37611,269136.0,5340000.0
2016-11-29,25150,26599,24999,26100,46103,278748.0,5340000.0
2016-11-30,25700,26350,25300,25850,20040,276078.0,5340000.0
2016-12-01,26500,27100,25500,26700,26361,285156.0,5340000.0
2016-12-02,26299,27099,26200,26200,12087,279816.0,5340000.0
2016-12-05,25800,26750,25050,26300,22035,280884.0,5340000.0
2016-12-06,26400,26950,26000,26400,7210,281952.0,5340000.0
2016-12-07,26150,26750,25800,26000,8171,277680.0,5340000.0
2016-12-08,25750,26700,25350,26300,22365,280884.0,5340000.0
2016-12-09,26700,28250,26200,28100,43461,300108.0,5340000.0
2016-12-12,28250,28600,27600,28400,32888,303312.0,5340000.0
2016-12-13,28600,28700,27950,28250,10303,301710.0,5340000.0
2016-12-14,28350,28600,27900,28000,11483,299040.0,5340000.0
2016-12-15,27750,28400,27700,28000,16490,299040.0,5340000.0
2016-12-16,28300,28650,28000,28550,18152,304914.0,5340000.0
2016-12-19,28550,28550,27650,28050,9036,299574.0,5340000.0
2016-12-20,27600,28049,27050,27550,13355,294234.0,5340000.0
2016-12-21,28150,28150,26700,26750,13692,285690.0,5340000.0
2016-12-22,26600,26800,26050,26200,15109,279816.0,5340000.0
2016-12-23,26200,26950,26200,26500,10796,283020.0,5340000.0
2016-12-26,27000,28550,26650,28450,50041,303846.0,5340000.0
2016-12-27,28750,28750,27700,27850,18174,297438.0,5340000.0
2016-12-28,27849,28049,27000,27600,6735,294768.0,5340000.0
2016-12-29,27400,28000,27400,28000,7882,299040.0,5340000.0
2017-01-02,27900,27900,25800,26550,31614,283554.0,5340000.0
2017-01-03,26300,26400,25950,26050,14857,278214.0,5340000.0
2017-01-04,26000,26400,25450,25600,16295,273408.0,5340000.0
2017-01-05,25750,25950,25350,25900,9653,276612.0,5340000.0
2017-01-06,25750,26900,25700,26700,9367,285156.0,5340000.0
2017-01-09,26400,26850,26050,26100,14417,278748.0,5340000.0
2017-01-10,26300,26450,25200,25450,20483,271806.0,5340000.0
2017-01-11,25100,25399,24225,25100,42555,268068.0,5340000.0
2017-01-12,25199,26249,24675,25750,22320,275010.0,5340000.0
2017-01-13,25550,26750,25550,26250,25018,280350.0,5340000.0
2017-01-16,26000,26800,25850,26500,22426,283020.0,5340000.0
2017-01-17,26850,29350,26550,28850,108277,308118.0,5340000.0
2017-01-18,28750,29999,28150,29750,64786,317730.0,5340000.0
2017-01-19,30050,30350,28650,30350,62628,324138.0,5340000.0
2017-01-20,30350,30550,29500,30350,48836,324138.0,5340000.0
2017-01-23,30450,30450,29250,29250,16802,312390.0,5340000.0
2017-01-24,28750,30700,28750,29900,53210,319332.0,5340000.0
2017-01-25,29900,30750,29500,30550,38056,326274.0,5340000.0
2017-01-26,30450,31000,29100,29750,46005,317730.0,5340000.0
2017-01-31,28200,29950,27550,29650,116392,316662.0,5340000.0
2017-02-01,29100,30750,29050,29950,48372,319866.0,5340000.0
2017-02-02,29950,30200,29000,30200,41717,322536.0,5340000.0
2017-02-03,30300,30350,29350,29900,30927,319332.0,5340000.0
2017-02-06,29899,30200,28850,30200,24258,322536.0,5340000.0
2017-02-07,30200,30250,29799,30100,6702,321468.0,5340000.0
2017-02-08,30250,30250,29350,29850,20934,318798.0,5340000.0
2017-02-09,30000,30900,29350,30800,28850,328944.0,5340000.0
2017-02-10,31000,31000,29700,30400,29306,324672.0,5340000.0
2017-02-13,30400,31250,29950,30950,32230,330546.0,5340000.0
2017-02-14,30950,34000,30500,33250,116613,355110.0,5340000.0
2017-02-15,33450,34500,32800,32850,62826,350838.0,5340000.0
2017-02-16,33400,34500,32900,34150,50757,364722.0,5340000.0
2017-02-17,34000,34500,33450,33450,27234,357246.0,5340000.0
2017-02-20,33450,34950,31750,34750,95081,371130.0,5340000.0
2017-02-21,35550,35600,33950,34500,47967,368460.0,5340000.0
2017-02-22,34500,34500,32950,33250,61170,355110.0,5340000.0
2017-02-23,33550,33600,32050,32100,37275,342828.0,5340000.0
2017-02-24,32399,36750,31850,33700,142209,359916.0,5340000.0
2017-02-27,34050,35200,33200,34300,59941,366324.0,5340000.0
2017-02-28,34200,34600,33550,33800,22925,360984.0,5340000.0
