랩지노믹스(084650),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-07-01,4500,4550,4500,4500,93000,15544.0,3454176.0
2013-07-02,4895,4895,3855,3855,200,13316.0,3454176.0
2013-07-03,4000,4000,4000,4000,4000,13817.0,3454176.0
2013-07-04,4000,4100,4000,4100,7900,14162.0,3454176.0
2013-07-05,4000,4200,4000,4100,3600,14162.0,3454176.0
2013-07-08,4300,4300,4100,4100,1100,14162.0,3454176.0
2013-07-09,4300,4300,4300,4300,1200,14853.0,3454176.0
2013-07-10,4300,4650,4300,4650,15600,16062.0,3454176.0
2013-07-11,4650,4800,4650,4800,33800,16580.0,3454176.0
2013-07-12,4805,5100,4800,5100,8500,17616.0,3454176.0
2013-07-15,5000,5400,5000,5400,21100,18653.0,3454176.0
2013-07-16,5500,5700,5500,5690,5600,19654.0,3454176.0
2013-07-17,5900,6200,5900,6200,18700,21416.0,3454176.0
2013-07-18,6700,6900,6700,6700,20000,23143.0,3454176.0
2013-07-19,6900,7050,6900,7000,33400,24179.0,3454176.0
2013-07-22,7100,7200,7100,7100,13100,24525.0,3454176.0
2013-07-23,7100,7100,7000,7100,3500,24525.0,3454176.0
2013-07-24,6900,6900,6800,6900,5500,23834.0,3454176.0
2013-07-25,6900,6900,6800,6900,1700,23834.0,3454176.0
2013-07-26,6400,6900,6400,6900,7700,23834.0,3454176.0
2013-07-29,7100,7100,7100,7100,300,24525.0,3454176.0
2013-07-30,7100,7200,7100,7150,8000,24697.0,3454176.0
2013-07-31,7150,7150,6950,6950,7100,24007.0,3454176.0
2013-08-01,7000,7000,6500,7000,7400,24179.0,3454176.0
2013-08-02,7050,7050,7000,7000,1600,24179.0,3454176.0
2013-08-05,7050,7050,7050,7050,2100,24352.0,3454176.0
2013-08-06,7050,7050,7000,7050,11700,24352.0,3454176.0
2013-08-07,7300,7300,7000,7000,13000,24179.0,3454176.0
2013-08-08,7300,7300,7300,7300,16500,25215.0,3454176.0
2013-08-09,0,0,0,7250,0,25043.0,3454176.0
2013-08-12,7300,7300,7300,7300,100,25215.0,3454176.0
2013-08-13,0,0,0,7100,0,24525.0,3454176.0
2013-08-14,7100,7100,7000,7000,4900,24179.0,3454176.0
2013-08-16,7100,7100,7000,7000,600,24179.0,3454176.0
2013-08-19,7300,7300,7300,7300,2000,25215.0,3454176.0
2013-08-20,7250,7250,7200,7200,11800,24870.0,3454176.0
2013-08-21,7300,7300,7200,7200,15300,24870.0,3454176.0
2013-08-22,0,0,0,7150,0,24697.0,3454176.0
2013-08-23,7300,7700,7300,7700,11500,26597.0,3454176.0
2013-08-26,7750,7850,7750,7800,4500,26943.0,3454176.0
2013-08-27,7800,7800,7500,7800,3800,26943.0,3454176.0
2013-08-28,7800,7800,7500,7800,7500,26943.0,3454176.0
2013-08-29,7850,7850,7850,7850,2200,27115.0,3454176.0
2013-08-30,7850,8500,7850,8500,5400,29360.0,3454176.0
2013-09-02,0,0,0,8300,0,28670.0,3454176.0
2013-09-03,0,0,0,8100,0,27979.0,3454176.0
2013-09-04,8100,8100,7200,8000,126500,27633.0,3454176.0
2013-09-05,7100,7500,7100,7500,40100,25906.0,3454176.0
2013-09-06,7100,7100,7100,7100,2000,24525.0,3454176.0
2013-09-09,7250,7250,7250,7250,100,25043.0,3454176.0
2013-09-10,7300,8000,7300,8000,4100,27633.0,3454176.0
2013-09-11,7500,7500,7500,7500,2000,25906.0,3454176.0
2013-09-12,7600,7600,7600,7600,100,26252.0,3454176.0
2013-09-13,7690,7690,7690,7690,200,26563.0,3454176.0
2013-09-16,0,0,0,7350,0,25388.0,3454176.0
2013-09-17,7400,7400,7400,7400,100,25561.0,3454176.0
2013-09-23,7400,7400,7400,7400,100,25561.0,3454176.0
2013-09-24,7000,7000,7000,7000,2500,24179.0,3454176.0
2013-09-25,7100,7100,7100,7100,2000,24525.0,3454176.0
2013-09-26,7000,7400,6500,7400,8500,25561.0,3454176.0
2013-09-27,7700,7700,7700,7700,300,26597.0,3454176.0
2013-09-30,6900,6900,6900,6900,3500,23834.0,3454176.0
