린드먼아시아(277070),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-03-14,13000,16900,13000,16900,1572172,228150.0,13500000.0
2018-03-15,16900,18000,14850,16500,6471504,222750.0,13500000.0
2018-03-16,16450,17200,14800,14800,1785475,199800.0,13500000.0
2018-03-19,14650,14700,13600,13800,817389,186300.0,13500000.0
2018-03-20,13400,14350,13200,13700,731906,184950.0,13500000.0
2018-03-21,13850,14050,12100,12350,825427,166725.0,13500000.0
2018-03-22,12300,12450,11600,11650,418162,157275.0,13500000.0
2018-03-23,11350,11950,11050,11050,349360,149175.0,13500000.0
2018-03-26,11200,11450,10700,11000,262943,148500.0,13500000.0
2018-03-27,11200,12400,11100,11650,988172,157275.0,13500000.0
2018-03-28,11450,11650,11100,11350,264239,153225.0,13500000.0
2018-03-29,11150,11250,9900,10250,1091292,138375.0,13500000.0
2018-03-30,10350,10500,9890,9980,330455,134730.0,13500000.0
2018-04-02,10100,10550,9400,9900,1077634,133650.0,13500000.0
2018-04-03,9810,10100,9600,9700,263558,130950.0,13500000.0
2018-04-04,9720,11050,9710,9880,1176067,133380.0,13500000.0
2018-04-05,10100,10900,9920,10200,564571,137700.0,13500000.0
2018-04-06,10150,10650,9800,9800,430966,132300.0,13500000.0
2018-04-09,9610,9760,9320,9380,302301,126630.0,13500000.0
2018-04-10,9390,9390,9000,9080,243666,122580.0,13500000.0
2018-04-11,9120,9310,9070,9110,163401,122985.0,13500000.0
2018-04-12,9170,9600,9100,9220,218445,124470.0,13500000.0
2018-04-13,9260,9540,9230,9270,165157,125145.0,13500000.0
2018-04-16,8800,8960,8710,8730,739466,117855.0,13500000.0
2018-04-17,8750,8920,8640,8720,462055,117720.0,13500000.0
2018-04-18,8820,9030,8730,8760,436370,118260.0,13500000.0
2018-04-19,8780,8890,8490,8570,278533,115695.0,13500000.0
2018-04-20,8580,8700,8470,8530,222691,115155.0,13500000.0
2018-04-23,8550,8750,8400,8410,334681,113535.0,13500000.0
2018-04-24,8480,8650,8330,8630,310104,116505.0,13500000.0
2018-04-25,8510,8610,8330,8330,211607,112455.0,13500000.0
2018-04-26,8410,8550,8370,8380,198608,113130.0,13500000.0
2018-04-27,8410,8530,8150,8150,246864,110025.0,13500000.0
2018-04-30,8190,8200,7670,7670,298487,103545.0,13500000.0
2018-05-02,7730,7740,7460,7460,179824,100710.0,13500000.0
2018-05-03,7480,7950,7480,7510,265536,101385.0,13500000.0
2018-05-04,7630,7890,7620,7720,138042,104220.0,13500000.0
2018-05-08,7690,8300,7600,7990,336376,107865.0,13500000.0
2018-05-09,7960,8240,7800,7950,235783,107325.0,13500000.0
2018-05-10,7990,8020,7860,7890,134570,106515.0,13500000.0
2018-05-11,8100,8700,8090,8220,1051066,110970.0,13500000.0
2018-05-14,8240,8250,7970,8010,203835,108135.0,13500000.0
2018-05-15,8010,8030,7710,7710,197139,104085.0,13500000.0
