에스티팜(237690),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-06-23,47000,59500,46700,48800,6110986,902039.0,18484400.0
2016-06-24,47550,50300,40300,44000,1995457,813314.0,18484400.0
2016-06-27,43100,48700,42050,43800,841073,809617.0,18484400.0
2016-06-28,42800,45250,42350,44000,384380,813314.0,18484400.0
2016-06-29,44800,46500,44100,44100,316997,815162.0,18484400.0
2016-06-30,44450,44750,42800,43100,169269,796678.0,18484400.0
2016-07-01,43850,47000,43650,46150,518564,853055.0,18484400.0
2016-07-04,46400,47150,45750,45750,191421,845661.0,18484400.0
2016-07-05,45750,46050,44550,45700,149058,844737.0,18484400.0
2016-07-06,46000,46700,45150,46000,164837,850282.0,18484400.0
2016-07-07,46000,49500,45950,48800,342710,902039.0,18484400.0
2016-07-08,48500,49300,47700,48100,254008,889100.0,18484400.0
2016-07-11,48800,49500,47800,49400,189951,913129.0,18484400.0
2016-07-12,49400,49900,48650,49400,111362,913129.0,18484400.0
2016-07-13,49400,49700,47000,47250,182224,873388.0,18484400.0
2016-07-14,47300,47800,45700,47150,142780,871539.0,18484400.0
2016-07-15,47200,48450,46500,47500,92952,878009.0,18484400.0
2016-07-18,47050,48050,45750,47100,102262,870615.0,18484400.0
2016-07-19,47100,47500,46200,47050,61305,869691.0,18484400.0
2016-07-20,47050,48800,46650,48600,154369,898342.0,18484400.0
2016-07-21,49100,51000,49100,49950,514135,923296.0,18484400.0
2016-07-22,49850,52200,49250,51000,388265,942704.0,18484400.0
2016-07-25,49650,50600,49450,50000,273455,924220.0,18484400.0
2016-07-26,50600,51800,50000,51000,359562,942704.0,18484400.0
2016-07-27,54000,54500,49350,49500,1007001,914978.0,18484400.0
2016-07-28,49600,50200,47650,49500,341629,914978.0,18484400.0
2016-07-29,49500,52400,49500,52000,333087,961189.0,18484400.0
2016-08-01,51900,53300,51200,53200,225758,983370.0,18484400.0
2016-08-02,53600,56800,52700,55500,523689,1025884.0,18484400.0
2016-08-03,54900,56200,53900,56000,182380,1035126.0,18484400.0
2016-08-04,56400,56500,53800,53800,637036,994461.0,18484400.0
2016-08-05,55000,55900,53100,53300,192286,985219.0,18484400.0
2016-08-08,53500,54100,51300,51900,155483,959340.0,18484400.0
2016-08-09,52100,53100,50400,51600,184852,953795.0,18484400.0
2016-08-10,51600,54200,51300,54100,193487,1000006.0,18484400.0
2016-08-11,54500,54800,53100,53100,101053,981522.0,18484400.0
2016-08-12,53700,54000,52700,53400,87124,987067.0,18484400.0
2016-08-16,54000,55500,52700,52700,189262,974128.0,18484400.0
2016-08-17,52400,52800,50200,50800,201065,939008.0,18484400.0
2016-08-18,51000,51600,50000,50500,90554,933462.0,18484400.0
2016-08-19,50700,54800,50700,54700,312410,1011097.0,18484400.0
2016-08-22,55300,57200,54900,55600,482696,1027733.0,18484400.0
2016-08-23,56300,57200,54500,55300,217083,1022187.0,18484400.0
