드림시큐리티(203650),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-10-13,1867,1876,1862,1872,889810,10972.0,5500000.0
2014-10-14,1876,1876,1867,1872,93186,10972.0,5500000.0
2014-10-15,1871,1876,1867,1867,38549,10945.0,5500000.0
2014-10-16,1862,1871,1857,1867,98212,10945.0,5500000.0
2014-10-17,1867,1881,1862,1881,192455,11028.0,5500000.0
2014-10-20,1871,1890,1867,1877,206057,11000.0,5500000.0
2014-10-21,1876,1885,1876,1886,37803,11055.0,5500000.0
2014-10-22,1876,1885,1876,1881,43732,11028.0,5500000.0
2014-10-23,1881,1881,1876,1881,52154,11028.0,5500000.0
2014-10-24,1881,1890,1881,1886,56588,11055.0,5500000.0
2014-10-27,1885,1890,1881,1891,60835,11082.0,5500000.0
2014-10-28,1890,2172,1885,1989,310941,11660.0,5500000.0
2014-10-29,1989,2148,1984,2059,370376,12072.0,5500000.0
2014-10-30,2064,2096,1932,1970,153870,11550.0,5500000.0
2014-10-31,1956,1989,1951,1970,32421,11550.0,5500000.0
2014-11-03,1970,1970,1909,1923,99232,11275.0,5500000.0
2014-11-04,1932,1932,1890,1923,130555,11275.0,5500000.0
2014-11-05,1914,1960,1895,1928,61589,11302.0,5500000.0
2014-11-06,1932,1956,1914,1923,40292,11275.0,5500000.0
2014-11-07,1970,2157,1932,2013,115641,11798.0,5500000.0
2014-11-10,1989,2036,1951,1966,23525,11522.0,5500000.0
2014-11-11,1989,1989,1960,1984,28295,11632.0,5500000.0
2014-11-12,1923,1984,1923,1961,34756,11495.0,5500000.0
2014-11-13,1932,1942,1923,1942,53776,11385.0,5500000.0
2014-11-14,1923,1979,1923,1966,49541,11522.0,5500000.0
2014-11-17,1960,1965,1932,1956,12258,11468.0,5500000.0
2014-11-18,1942,1970,1942,1961,9632,11495.0,5500000.0
2014-11-19,1951,1979,1951,1970,54218,11550.0,5500000.0
2014-11-20,1984,1984,1951,1970,72988,11550.0,5500000.0
2014-11-21,1956,1984,1937,1947,20950,11412.0,5500000.0
2014-11-24,1946,1946,1904,1905,60572,11165.0,5500000.0
2014-11-25,1909,1937,1909,1933,12725,11330.0,5500000.0
2014-11-26,1909,1923,1904,1914,27227,11220.0,5500000.0
2014-11-27,1909,1989,1904,1989,20358,11660.0,5500000.0
2014-11-28,1970,1993,1928,1956,37707,11468.0,5500000.0
2014-12-01,1923,1965,1914,1928,7225,11302.0,5500000.0
2014-12-02,1904,1928,1904,1923,14582,11275.0,5500000.0
2014-12-03,1970,1970,1904,1914,73517,11220.0,5500000.0
2014-12-04,1904,1956,1904,1942,5462,11385.0,5500000.0
2014-12-05,1932,1951,1895,1919,17688,11248.0,5500000.0
2014-12-08,1928,1928,1899,1919,9902,11248.0,5500000.0
2014-12-09,1904,1928,1890,1909,7467,11192.0,5500000.0
2014-12-10,1885,1923,1885,1909,3724,11192.0,5500000.0
2014-12-11,1923,1923,1895,1914,20434,11220.0,5500000.0
2014-12-12,1895,1914,1890,1905,19487,11165.0,5500000.0
2014-12-15,1885,1909,1885,1909,20016,11192.0,5500000.0
2014-12-16,1899,1899,1890,1900,120161,11138.0,5500000.0
2014-12-17,1895,1895,1885,1886,23996,11055.0,5500000.0
2014-12-18,1881,1890,1881,1886,31890,11055.0,5500000.0
2014-12-19,1885,1914,1881,1914,23101,11220.0,5500000.0
2014-12-22,1885,1895,1885,1891,18005,11082.0,5500000.0
2014-12-23,1885,1904,1885,1886,34966,11055.0,5500000.0
2014-12-24,1885,1895,1881,1895,57517,11110.0,5500000.0
2014-12-26,1885,1885,1881,1881,77939,11028.0,5500000.0
2014-12-29,1881,1904,1881,1891,81521,11082.0,5500000.0
2014-12-30,1885,1904,1881,1886,39421,11055.0,5500000.0
2015-01-02,1885,1914,1881,1886,31299,11055.0,5500000.0
2015-01-05,1885,1904,1885,1886,16253,11055.0,5500000.0
2015-01-06,1895,1895,1885,1886,19279,11055.0,5500000.0
2015-01-07,1890,1895,1885,1886,30672,11055.0,5500000.0
2015-01-08,1890,1895,1885,1895,50340,11110.0,5500000.0
2015-01-09,1895,1909,1895,1909,14200,11192.0,5500000.0
2015-01-12,1923,1923,1899,1914,15053,11220.0,5500000.0
2015-01-13,1895,1904,1895,1905,5853,11165.0,5500000.0
2015-01-14,1904,1923,1899,1905,22008,11165.0,5500000.0
2015-01-15,1909,1951,1909,1919,33752,11248.0,5500000.0
2015-01-16,1932,1937,1918,1928,31054,11302.0,5500000.0
2015-01-19,1942,1970,1942,1961,46101,11495.0,5500000.0
2015-01-20,1970,1970,1942,1947,35451,11412.0,5500000.0
2015-01-21,1970,1970,1942,1956,13097,11468.0,5500000.0
2015-01-22,1960,1960,1928,1952,48232,11440.0,5500000.0
2015-01-23,1951,1970,1946,1970,27874,11550.0,5500000.0
2015-01-26,1942,1970,1942,1970,19591,11550.0,5500000.0
2015-01-27,1965,1979,1951,1975,22001,11578.0,5500000.0
2015-01-28,1946,1975,1946,1975,68776,11578.0,5500000.0
2015-01-29,1970,1975,1970,1970,28597,11550.0,5500000.0
2015-01-30,1989,2007,1975,1989,13693,11660.0,5500000.0
2015-02-02,2017,2017,1984,1994,23955,11688.0,5500000.0
2015-02-03,1998,2050,1998,2050,23109,12018.0,5500000.0
2015-02-04,2050,2064,2045,2059,12932,12072.0,5500000.0
2015-02-05,2064,2064,2036,2059,9061,12072.0,5500000.0
2015-02-06,2059,2059,2050,2059,2080,12072.0,5500000.0
2015-02-09,2031,2082,2026,2069,20346,12128.0,5500000.0
2015-02-10,2068,2068,1970,1989,200111,11660.0,5500000.0
2015-02-11,1984,2021,1984,2017,28801,11825.0,5500000.0
2015-02-12,1984,1989,1965,1989,31289,11660.0,5500000.0
2015-02-13,1989,2017,1970,2017,25550,11825.0,5500000.0
2015-02-16,2017,2017,1975,1994,24550,11688.0,5500000.0
2015-02-17,2003,2026,1989,2003,47821,11742.0,5500000.0
2015-02-23,2040,2040,2012,2027,21789,11880.0,5500000.0
2015-02-24,2045,2054,2031,2036,14082,11935.0,5500000.0
2015-02-25,2045,2054,2007,2027,41290,11880.0,5500000.0
2015-02-26,2026,2054,2026,2055,30654,12045.0,5500000.0
2015-02-27,2045,2073,2045,2055,19340,12045.0,5500000.0
2015-03-02,2064,2082,2054,2074,23999,12155.0,5500000.0
2015-03-03,2059,2073,2059,2064,30852,12100.0,5500000.0
2015-03-04,2064,2082,2059,2069,40139,12128.0,5500000.0
2015-03-05,2068,2096,2068,2078,41042,12182.0,5500000.0
2015-03-06,2106,2120,2082,2116,42238,12402.0,5500000.0
