한컴MDS(086960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-09-26,13358,15343,12290,15343,1971229,119483.0,5944444.0
2006-09-27,15725,16106,13740,13969,750913,108783.0,5944444.0
2006-09-28,14503,15572,14198,14923,525274,116214.0,5944444.0
2006-09-29,14885,15076,13816,13816,206147,107594.0,5944444.0
2006-10-02,13893,14045,12900,13053,181752,101650.0,5944444.0
2006-10-04,12748,13053,12252,12404,139378,96597.0,5944444.0
2006-10-09,11908,12442,10572,10572,226673,82331.0,5944444.0
2006-10-10,10572,11679,10572,11144,106204,86789.0,5944444.0
2006-10-11,10878,12557,10725,11831,176828,92139.0,5944444.0
2006-10-12,11679,12252,11603,11793,43141,91842.0,5944444.0
2006-10-13,11984,12023,11412,11602,71420,90356.0,5944444.0
2006-10-16,11603,12252,11603,12060,82812,93922.0,5944444.0
2006-10-17,11946,12175,11374,11869,88576,92436.0,5944444.0
2006-10-18,11755,12022,11450,11755,57308,91544.0,5944444.0
2006-10-19,12061,13358,11832,12556,298992,97786.0,5944444.0
2006-10-20,12748,13206,12557,12938,107112,100758.0,5944444.0
2006-10-23,13129,13358,12595,12595,91807,98083.0,5944444.0
2006-10-24,12900,14122,12748,13434,245140,104622.0,5944444.0
2006-10-25,13511,14160,13206,13243,156797,103136.0,5944444.0
2006-10-26,12900,13702,12862,13701,516766,106703.0,5944444.0
2006-10-27,13702,14465,13473,14236,401766,110864.0,5944444.0
2006-10-30,14198,14732,14198,14388,213057,112053.0,5944444.0
2006-10-31,14580,14694,14122,14236,183241,110864.0,5944444.0
2006-11-01,14351,14923,14084,14923,201968,116214.0,5944444.0
2006-11-02,14770,14999,14503,14732,97281,114728.0,5944444.0
2006-11-03,14694,14885,14313,14541,152913,113242.0,5944444.0
2006-11-06,14542,14885,14236,14885,123913,115917.0,5944444.0
2006-11-07,14999,16030,14999,15877,256017,126880.0,6100000.0
2006-11-08,15992,15992,15496,15495,85277,123830.0,6100000.0
2006-11-09,15534,16488,15534,16488,194887,131760.0,6100000.0
2006-11-10,16221,16641,16145,16373,114976,130845.0,6100000.0
2006-11-13,16374,16374,15572,16030,106863,128100.0,6100000.0
2006-11-14,16030,16412,15725,15724,88702,125660.0,6100000.0
2006-11-15,16030,16259,15419,16106,132524,128710.0,6100000.0
2006-11-16,16106,16297,15267,15457,171974,123525.0,6100000.0
2006-11-17,15458,15954,15152,15686,159424,125355.0,6100000.0
2006-11-20,15877,16297,15458,15495,137797,123830.0,6100000.0
2006-11-21,15725,15725,14961,15343,97553,122610.0,6100000.0
2006-11-22,15267,15496,15076,15495,88341,123830.0,6100000.0
2006-11-23,15648,15648,15190,15343,82204,122610.0,6100000.0
2006-11-24,15267,15457,15152,15304,63167,122305.0,6100000.0
2006-11-27,15305,15992,14961,15991,150190,127795.0,6100000.0
2006-11-28,15763,17099,15534,16373,281100,130845.0,6100000.0
2006-11-29,16831,16946,16183,16335,222341,130540.0,6100000.0
2006-11-30,16793,17022,16373,16449,140366,131455.0,6100000.0
2006-12-01,16450,16984,16374,16984,121766,135725.0,6100000.0
2006-12-04,17175,17404,16755,16793,74483,134200.0,6100000.0
2006-12-05,16793,16946,16106,16488,98977,131760.0,6100000.0
2006-12-06,16221,16335,15534,15762,110393,125965.0,6100000.0
2006-12-07,15648,15839,15229,15381,92338,122915.0,6100000.0
2006-12-08,15267,15381,14122,14846,142532,118645.0,6100000.0
2006-12-11,14656,15152,14312,14961,51928,119560.0,6100000.0
2006-12-12,14885,15038,14313,14465,54520,115595.0,6100000.0
2006-12-13,14351,14885,14313,14656,54552,117120.0,6100000.0
2006-12-14,14694,15152,14694,14885,43462,118950.0,6100000.0
2006-12-15,14809,15267,14542,14579,42202,116510.0,6100000.0
2006-12-18,14618,14618,14198,14350,59214,114680.0,6100000.0
2006-12-19,14274,14847,13740,13969,142759,111630.0,6100000.0
2006-12-20,14122,14313,14007,14007,46927,111935.0,6100000.0
2006-12-21,14007,14198,13511,13701,71498,109495.0,6100000.0
2006-12-22,13664,14160,13168,13969,55490,111630.0,6100000.0
2006-12-26,14427,14427,13587,13587,43914,108580.0,6100000.0
2006-12-27,13435,13816,13435,13740,21871,109800.0,6100000.0
2006-12-28,13893,14007,13015,13587,41757,108580.0,6100000.0
2007-01-02,13473,13740,13206,13243,25765,105835.0,6100000.0
2007-01-03,13282,13587,12862,12862,49442,102785.0,6100000.0
2007-01-04,12938,12938,12366,12442,95621,99430.0,6100000.0
2007-01-05,12557,12595,11755,12366,60143,98820.0,6100000.0
