싸이토젠(217330),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-22,17800,18000,15450,15600,3238564,87888.0,5633864.0
2018-11-23,15700,16050,13900,13900,821812,78311.0,5633864.0
2018-11-26,14050,14200,13300,13500,378234,76057.0,5633864.0
2018-11-27,13500,13900,13400,13650,364947,76902.0,5633864.0
2018-11-28,13800,14600,13550,14050,698674,79156.0,5633864.0
2018-11-29,14050,14450,13600,14100,377438,79437.0,5633864.0
2018-11-30,14750,15750,14100,14150,832861,79719.0,5633864.0
2018-12-03,14150,14600,13550,14600,394189,82254.0,5633864.0
2018-12-04,14500,14750,14050,14100,254610,79437.0,5633864.0
2018-12-05,13800,14250,13700,13750,132714,77466.0,5633864.0
2018-12-06,13750,13850,13050,13050,159365,73522.0,5633864.0
2018-12-07,13100,13400,12850,13000,139559,73240.0,5633864.0
2018-12-10,12800,12850,11800,12000,202854,67606.0,5633864.0
2018-12-11,12050,12150,11350,11650,244669,65635.0,5633864.0
2018-12-12,12000,12250,11650,11850,165043,66761.0,5633864.0
2018-12-13,12000,12550,11900,12000,151830,67606.0,5633864.0
2018-12-14,12150,12550,11700,11800,168990,66480.0,5633864.0
2018-12-17,11750,11750,10900,11000,105979,61973.0,5633864.0
2018-12-18,10750,11100,10500,10850,76502,61127.0,5633864.0
2018-12-19,11000,11300,10600,11300,65671,63663.0,5633864.0
2018-12-20,11150,11600,10850,11000,99232,61973.0,5633864.0
2018-12-21,11150,11900,10800,11400,173041,64226.0,5633864.0
2018-12-24,11450,11700,10850,10850,73118,61127.0,5633864.0
2018-12-26,10450,10650,10050,10350,116103,58310.0,5633864.0
2018-12-27,10750,10850,10400,10450,53246,58874.0,5633864.0
2018-12-28,10650,11350,10400,11000,95206,61973.0,5633864.0
2019-01-02,11400,11400,10850,10900,50145,61409.0,5633864.0
2019-01-03,10950,11050,10200,10450,61922,58874.0,5633864.0
2019-01-04,10350,10900,10350,10750,43098,60564.0,5633864.0
2019-01-07,10900,11950,10550,11750,192672,66198.0,5633864.0
2019-01-08,11600,11650,10950,11050,153040,62254.0,5633864.0
2019-01-09,11150,11450,10900,11400,66294,64226.0,5633864.0
2019-01-10,11450,11600,10950,11050,80761,62254.0,5633864.0
