유바이오로직스(206650),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-01-24,5600,6150,4845,5070,6158719,122856.0,24231986.0
2017-01-25,4960,4995,4170,4265,2122278,103349.0,24231986.0
2017-01-26,4340,5290,4095,4845,16628695,117404.0,24231986.0
2017-01-31,4830,4895,4490,4610,2074161,111709.0,24231986.0
2017-02-01,4655,5550,4620,4960,11450520,120191.0,24231986.0
2017-02-02,4860,5180,4740,5070,2118902,122856.0,24231986.0
2017-02-03,5200,5930,4975,5070,7830288,122856.0,24231986.0
2017-02-06,5190,5760,5040,5400,5151549,130853.0,24231986.0
2017-02-07,5400,5650,5300,5420,2306919,131337.0,24231986.0
2017-02-08,5430,5590,5110,5110,1567134,123825.0,24231986.0
2017-02-09,5260,5750,4855,5220,5476549,126491.0,24231986.0
2017-02-10,5220,5270,4990,5010,1530968,121402.0,24231986.0
2017-02-13,5020,5300,4915,4935,1188668,119585.0,24231986.0
2017-02-14,5020,5070,4775,4800,806907,116314.0,24231986.0
2017-02-15,4725,4895,4725,4755,514753,115223.0,24231986.0
2017-02-16,4735,4810,4460,4505,953528,109165.0,24231986.0
2017-02-17,4475,4600,4370,4400,469444,106621.0,24231986.0
2017-02-20,4405,4445,4185,4195,590687,101653.0,24231986.0
2017-02-21,4200,4285,4115,4250,570065,102986.0,24231986.0
2017-02-22,4240,4325,4225,4245,383128,102865.0,24231986.0
2017-02-23,4210,4720,4200,4350,2431906,105409.0,24231986.0
2017-02-24,4380,4380,4130,4145,652474,100442.0,24231986.0
2017-02-27,4150,4185,4025,4050,281057,98140.0,24231986.0
2017-02-28,4030,4530,4030,4220,2607819,102259.0,24231986.0
2017-03-02,4220,4495,4220,4300,533297,104198.0,24231986.0
2017-03-03,4330,4330,4100,4100,382017,99351.0,24231986.0
2017-03-06,4130,4250,4080,4175,158283,101169.0,24231986.0
2017-03-07,4300,4865,4230,4400,3932188,106621.0,24231986.0
2017-03-08,4420,4440,4295,4380,454596,106136.0,24231986.0
2017-03-09,4445,4455,4280,4310,394107,104440.0,24231986.0
2017-03-10,4265,4305,4130,4230,413993,102501.0,24231986.0
2017-03-13,4230,4350,4170,4335,345621,105046.0,24231986.0
2017-03-14,4350,4475,4320,4345,632877,105288.0,24231986.0
2017-03-15,4370,4370,4200,4205,257484,101896.0,24231986.0
2017-03-16,4225,4360,4205,4285,191357,103834.0,24231986.0
2017-03-17,4390,4465,4250,4400,412085,106621.0,24231986.0
2017-03-20,4450,4480,4335,4345,288363,105288.0,24231986.0
2017-03-21,4320,4385,4225,4240,263276,102744.0,24231986.0
2017-03-22,4240,4260,4150,4180,154118,101290.0,24231986.0
2017-03-23,4180,4365,4130,4200,268867,101774.0,24231986.0
2017-03-24,4200,4295,4150,4270,191347,103471.0,24231986.0
2017-03-27,4270,4350,4175,4180,279063,101290.0,24231986.0
2017-03-28,4180,4260,4150,4180,139534,101290.0,24231986.0
2017-03-29,4185,4215,4135,4135,111870,100199.0,24231986.0
2017-03-30,4130,4160,4060,4070,204631,98624.0,24231986.0
2017-03-31,4060,4170,4050,4100,100713,99351.0,24231986.0
2017-04-03,4105,4225,4070,4120,183975,99836.0,24231986.0
2017-04-04,4195,4235,3900,4020,287354,97413.0,24231986.0
2017-04-05,4035,4095,4030,4045,107080,98018.0,24231986.0
2017-04-06,4090,4090,4015,4050,74891,98140.0,24231986.0
2017-04-07,4050,4070,4020,4035,82315,97776.0,24231986.0
2017-04-10,4030,4030,3830,3885,239176,94141.0,24231986.0
2017-04-11,3920,3920,3700,3810,316602,92324.0,24231986.0
2017-04-12,3820,3825,3650,3650,198332,88447.0,24231986.0
2017-04-13,3700,4100,3650,3820,735593,92566.0,24231986.0
2017-04-14,3800,3885,3690,3695,154303,89537.0,24231986.0
2017-04-17,3710,3790,3660,3745,67927,90749.0,24231986.0
2017-04-18,3705,3770,3680,3750,103883,90870.0,24231986.0
2017-04-19,3770,4140,3700,3835,665888,92930.0,24231986.0
2017-04-20,3870,3945,3815,3865,121929,93657.0,24231986.0
2017-04-21,3900,3965,3830,3865,86157,93657.0,24231986.0
2017-04-24,3865,3865,3805,3810,62292,92324.0,24231986.0
2017-04-25,3780,3935,3780,3815,46489,92445.0,24231986.0
2017-04-26,3825,3845,3785,3840,81413,93886.0,24449486.0
2017-04-27,3840,3870,3785,3785,83220,92541.0,24449486.0
2017-04-28,3765,3815,3745,3770,41389,92175.0,24449486.0
2017-05-02,3770,3795,3725,3765,35468,92052.0,24449486.0
2017-05-04,3700,3780,3700,3750,29097,91686.0,24449486.0
2017-05-08,3720,3920,3715,3880,90744,94864.0,24449486.0
2017-05-10,3880,3955,3825,3850,80803,94131.0,24449486.0
2017-05-11,3940,3940,3795,3805,54360,93030.0,24449486.0
2017-05-12,3800,3860,3780,3850,74133,94131.0,24449486.0
2017-05-15,3810,3950,3800,3885,94371,94986.0,24449486.0
2017-05-16,3885,4000,3820,3990,148826,97553.0,24449486.0
2017-05-17,3990,3990,3900,3950,62158,96575.0,24449486.0
2017-05-18,3950,3950,3850,3910,52555,95597.0,24449486.0
2017-05-19,3945,3950,3875,3915,49730,95720.0,24449486.0
2017-05-22,3865,3940,3865,3895,43927,95231.0,24449486.0
2017-05-23,3875,4090,3875,3990,181907,97553.0,24449486.0
2017-05-24,3990,4250,3990,4250,526205,103910.0,24449486.0
2017-05-25,4240,4240,4110,4230,187608,103421.0,24449486.0
2017-05-26,4260,4260,4160,4170,78363,101954.0,24449486.0
2017-05-29,4170,4200,4100,4100,92521,100243.0,24449486.0
2017-05-30,4100,4170,4030,4060,78966,99265.0,24449486.0
2017-05-31,4290,4310,4160,4310,415858,105377.0,24449486.0
2017-06-01,4340,4645,4265,4330,1003765,105866.0,24449486.0
2017-06-02,4370,4400,4300,4300,145938,105133.0,24449486.0
2017-06-05,4305,4470,4300,4400,224296,107578.0,24449486.0
2017-06-07,4480,4655,4400,4520,400412,110512.0,24449486.0
2017-06-08,4535,4585,4405,4455,193177,108922.0,24449486.0
2017-06-09,4500,5400,4500,4690,3084436,114668.0,24449486.0
2017-06-12,4715,4745,4620,4740,305481,115891.0,24449486.0
2017-06-13,4740,4965,4680,4940,474749,120780.0,24449486.0
2017-06-14,4870,5050,4870,5020,345553,122736.0,24449486.0
2017-06-15,5030,5050,4800,4930,258171,120536.0,24449486.0
2017-06-16,4910,4930,4695,4700,256334,114913.0,24449486.0
2017-06-19,4835,4985,4710,4910,172190,120047.0,24449486.0
2017-06-20,4995,5090,4775,4795,137489,117235.0,24449486.0
2017-06-21,4750,4930,4630,4795,123968,117235.0,24449486.0
2017-06-22,4890,4890,4670,4740,143345,115891.0,24449486.0
2017-06-23,4695,5530,4695,4850,2194864,118580.0,24449486.0
2017-06-26,4925,5040,4770,4985,310836,121881.0,24449486.0
2017-06-27,4985,5060,4930,4945,164731,120903.0,24449486.0
2017-06-28,4830,4980,4830,4885,75642,119436.0,24449486.0
2017-06-29,4845,5080,4845,5010,185136,122492.0,24449486.0
2017-06-30,4990,5000,4905,4930,71100,120536.0,24449486.0
2017-07-03,4970,5030,4910,4920,53899,120291.0,24449486.0
2017-07-04,5000,5000,4890,4910,73171,120047.0,24449486.0
2017-07-05,4905,5000,4900,4980,101376,121758.0,24449486.0
2017-07-06,5110,5500,5020,5220,1275552,127626.0,24449486.0
2017-07-07,5220,5320,5130,5220,182348,127626.0,24449486.0
2017-07-10,5200,5230,5000,5060,175714,123714.0,24449486.0
2017-07-11,5060,5140,5010,5050,109178,123470.0,24449486.0
2017-07-12,5010,5050,4915,4960,123455,121269.0,24449486.0
2017-07-13,4960,5010,4815,4915,172961,120169.0,24449486.0
2017-07-14,4950,5010,4850,4870,63206,119069.0,24449486.0
2017-07-17,4950,4950,4800,4875,61285,119191.0,24449486.0
2017-07-18,4850,4880,4800,4830,70514,118091.0,24449486.0
2017-07-19,4820,4850,4795,4830,71265,118091.0,24449486.0
2017-07-20,4835,4995,4835,4970,91330,121514.0,24449486.0
2017-07-21,4970,5000,4890,4980,77138,121758.0,24449486.0
2017-07-24,5040,5040,4940,4990,66057,122003.0,24449486.0
2017-07-25,4990,4990,4895,4930,46189,120536.0,24449486.0
2017-07-26,4900,4990,4810,4870,51471,119069.0,24449486.0
2017-07-27,4830,4950,4810,4900,31287,119802.0,24449486.0
2017-07-28,4860,4940,4780,4795,68339,117235.0,24449486.0
2017-07-31,4795,4830,4680,4755,72225,116257.0,24449486.0
2017-08-01,4670,4930,4670,4790,31898,117113.0,24449486.0
2017-08-02,4710,4850,4710,4770,31124,116624.0,24449486.0
2017-08-03,4765,4765,4650,4660,51120,113935.0,24449486.0
2017-08-04,4645,4770,4645,4650,18737,113690.0,24449486.0
2017-08-07,4630,4770,4625,4720,32748,115402.0,24449486.0
2017-08-08,4720,4750,4650,4730,37800,115646.0,24449486.0
2017-08-09,4770,4770,4675,4680,14722,114424.0,24449486.0
2017-08-10,4650,4730,4550,4630,66516,113201.0,24449486.0
2017-08-11,4590,4640,4490,4535,63295,110878.0,24449486.0
2017-08-14,4620,5890,4460,5890,8468799,144007.0,24449486.0
2017-08-16,5640,5720,5320,5480,4003592,133983.0,24449486.0
2017-08-17,5440,5530,5180,5310,2736246,129827.0,24449486.0
2017-08-18,5250,5250,5020,5190,1575569,126893.0,24449486.0
2017-08-21,5310,5340,5150,5180,1569276,126648.0,24449486.0
2017-08-22,5170,5310,5160,5280,884339,129093.0,24449486.0
2017-08-23,5320,5340,5010,5040,996044,123225.0,24449486.0
2017-08-24,5010,5110,4920,5070,590879,123959.0,24449486.0
2017-08-25,5030,5100,4965,5080,331766,124203.0,24449486.0
2017-08-28,5030,5200,5030,5160,554882,126159.0,24449486.0
2017-08-29,5100,5220,5050,5120,506003,125181.0,24449486.0
2017-08-30,5150,5230,5110,5120,379368,125181.0,24449486.0
2017-08-31,5140,5270,5070,5270,440467,128849.0,24449486.0
2017-09-01,5240,5270,5130,5130,337813,125426.0,24449486.0
2017-09-04,4890,5170,4885,5150,355727,125915.0,24449486.0
2017-09-05,5180,5180,5000,5050,252094,123470.0,24449486.0
2017-09-06,5000,5110,5000,5020,117773,122736.0,24449486.0
2017-09-07,5020,5170,5000,5110,214812,124937.0,24449486.0
2017-09-08,5110,5130,5020,5100,150248,124692.0,24449486.0
2017-09-11,5080,5220,5030,5220,245057,127626.0,24449486.0
2017-09-12,5260,5270,5100,5100,292882,124692.0,24449486.0
2017-09-13,5090,5150,5030,5040,131490,123225.0,24449486.0
2017-09-14,5010,5070,4980,5010,227326,122492.0,24449486.0
2017-09-15,4980,5100,4980,5100,184942,124692.0,24449486.0
2017-09-18,5020,5250,5020,5230,347329,127871.0,24449486.0
2017-09-19,5230,5280,5140,5270,197216,128849.0,24449486.0
2017-09-20,5310,5400,5190,5280,593039,129093.0,24449486.0
2017-09-21,5300,5300,5120,5170,242837,126404.0,24449486.0
2017-09-22,5130,5170,5020,5040,162580,123225.0,24449486.0
2017-09-25,5040,5040,4800,4800,287169,117358.0,24449486.0
2017-09-26,4740,4900,4740,4830,63584,118091.0,24449486.0
2017-09-27,4800,4955,4800,4915,65136,120169.0,24449486.0
2017-09-28,4930,5010,4850,4865,42508,118947.0,24449486.0
2017-09-29,4865,4945,4835,4870,62108,119069.0,24449486.0
2017-10-10,4895,5000,4800,4880,59263,119313.0,24449486.0
2017-10-11,4905,5110,4885,4975,129787,121636.0,24449486.0
2017-10-12,4970,5070,4920,5020,118161,122736.0,24449486.0
2017-10-13,5020,5100,4810,4900,124970,119802.0,24449486.0
2017-10-16,4950,4950,4755,4825,103715,117969.0,24449486.0
2017-10-17,4825,4870,4815,4840,39769,118336.0,24449486.0
2017-10-18,4840,4895,4750,4760,74370,116380.0,24449486.0
2017-10-19,4730,4875,4730,4800,52964,117358.0,24449486.0
2017-10-20,4850,4875,4795,4860,82748,118825.0,24449486.0
2017-10-23,4860,5000,4860,4950,117683,121025.0,24449486.0
2017-10-24,5000,5010,4890,4900,57847,119802.0,24449486.0
2017-10-25,4885,4950,4860,4885,47244,119436.0,24449486.0
2017-10-26,4885,4900,4800,4900,68600,119802.0,24449486.0
2017-10-27,4900,4965,4850,4945,100585,120903.0,24449486.0
2017-10-30,4945,5160,4900,5020,228672,122736.0,24449486.0
2017-10-31,4920,5080,4910,5040,90722,123225.0,24449486.0
