이글루시큐리티(067920),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-08-04,10499,10499,8958,8958,435737,80625.0,7500000.0
2010-08-05,7883,8666,7724,7917,3702864,71250.0,7500000.0
2010-08-06,8000,8258,7475,7583,1093816,68250.0,7500000.0
2010-08-09,7633,7775,7416,7500,624293,67500.0,7500000.0
2010-08-10,7541,7725,7425,7508,632838,67575.0,7500000.0
2010-08-11,7450,7508,7000,7000,526051,63000.0,7500000.0
2010-08-12,6850,6850,6408,6458,337153,58125.0,7500000.0
2010-08-13,6666,7425,6625,7425,1043792,66825.0,7500000.0
2010-08-16,7550,7616,7133,7333,829435,66000.0,7500000.0
2010-08-17,7416,7441,7183,7192,287746,64725.0,7500000.0
2010-08-18,7241,7325,6941,6942,499165,62475.0,7500000.0
2010-08-19,6958,7108,6808,6817,214321,61350.0,7500000.0
2010-08-20,6775,6983,6750,6767,113757,60900.0,7500000.0
2010-08-23,6758,7458,6758,6900,346198,62100.0,7500000.0
2010-08-24,6925,7000,6808,6808,129559,61275.0,7500000.0
2010-08-25,6858,6875,6650,6667,139056,60000.0,7500000.0
2010-08-26,6800,6908,6658,6708,101168,60375.0,7500000.0
2010-08-27,6641,6741,6600,6600,70136,59400.0,7500000.0
2010-08-30,6666,6741,6600,6700,57212,60300.0,7500000.0
2010-08-31,6625,6666,6550,6583,61815,59250.0,7500000.0
2010-09-01,6583,6708,6558,6583,59962,59250.0,7500000.0
2010-09-02,6700,6700,6575,6575,56104,59175.0,7500000.0
2010-09-03,6583,6641,6566,6642,55153,59775.0,7500000.0
2010-09-06,6641,6691,6608,6650,59774,59850.0,7500000.0
2010-09-07,6691,6708,6583,6583,66234,59250.0,7500000.0
2010-09-08,6583,6583,6458,6458,84234,58125.0,7500000.0
2010-09-09,6458,6500,6416,6442,53448,57975.0,7500000.0
2010-09-10,6491,6533,6425,6425,59223,57825.0,7500000.0
2010-09-13,6550,6550,6333,6400,57809,57600.0,7500000.0
