케어젠(214370),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-11-17,101500,111600,99900,107000,1005226,1145970.0,10710000.0
2015-11-18,107900,120000,103400,116600,474416,1248786.0,10710000.0
2015-11-19,118800,118800,113300,115000,118701,1231650.0,10710000.0
2015-11-20,114000,115600,109800,110000,101355,1178100.0,10710000.0
2015-11-23,110000,110500,107000,109100,83237,1168461.0,10710000.0
2015-11-24,109600,113600,109000,109100,76342,1168461.0,10710000.0
2015-11-25,109500,111600,107000,107800,48330,1154538.0,10710000.0
2015-11-26,108900,114000,106000,110500,129209,1183455.0,10710000.0
2015-11-27,110300,111000,106700,107000,38436,1145970.0,10710000.0
2015-11-30,106700,106800,101200,101200,44015,1083852.0,10710000.0
2015-12-01,102000,104000,99200,99200,46909,1062432.0,10710000.0
2015-12-02,99600,104000,99100,102500,56415,1097775.0,10710000.0
2015-12-03,102500,103700,101400,102500,27517,1097775.0,10710000.0
2015-12-04,100500,103500,100000,100900,37446,1080639.0,10710000.0
2015-12-07,102800,103100,100500,101400,23794,1085994.0,10710000.0
2015-12-08,101400,101400,94200,95300,77289,1020663.0,10710000.0
2015-12-09,94500,97800,93800,94000,47229,1006740.0,10710000.0
2015-12-10,93800,94800,89600,92200,32115,987462.0,10710000.0
2015-12-11,91800,93100,87200,89700,44466,960687.0,10710000.0
2015-12-14,87100,88600,82000,88400,116504,946764.0,10710000.0
2015-12-15,88400,88600,86400,87500,20149,937125.0,10710000.0
2015-12-16,88700,90600,87400,88700,64163,949977.0,10710000.0
2015-12-17,88000,96700,87800,91000,164492,974610.0,10710000.0
2015-12-18,91000,96100,90000,96000,78363,1028160.0,10710000.0
2015-12-21,96000,102000,95300,100000,90018,1071000.0,10710000.0
2015-12-22,100100,100100,97400,98000,39684,1049580.0,10710000.0
2015-12-23,98100,99700,95600,96400,52496,1032444.0,10710000.0
2015-12-24,96500,97900,94600,95300,47629,1020663.0,10710000.0
2015-12-28,94200,95300,89600,90100,105679,964971.0,10710000.0
2015-12-29,91000,97300,91000,97300,41544,1042083.0,10710000.0
2015-12-30,97300,102000,95400,102000,50960,1092420.0,10710000.0
2016-01-04,104900,104900,100000,101900,61677,1091349.0,10710000.0
2016-01-05,99900,106500,99300,104400,51407,1118124.0,10710000.0
2016-01-06,105000,109500,104200,106700,59847,1142757.0,10710000.0
2016-01-07,106000,109700,105600,108700,68296,1164177.0,10710000.0
2016-01-08,106300,111600,106300,109900,75376,1177029.0,10710000.0
2016-01-11,109900,110800,103400,106500,75907,1140615.0,10710000.0
2016-01-12,106700,107000,101000,103800,76642,1111698.0,10710000.0
2016-01-13,105100,110600,105100,110000,95023,1178100.0,10710000.0
2016-01-14,108700,114500,107400,113100,105219,1211301.0,10710000.0
2016-01-15,114500,115000,106600,108000,171975,1156680.0,10710000.0
2016-01-18,109500,116000,105000,116000,117657,1242360.0,10710000.0
2016-01-19,117000,118000,114700,116900,114293,1251999.0,10710000.0
2016-01-20,117300,117900,111700,115600,105912,1238076.0,10710000.0
2016-01-21,117000,117900,112300,117000,84295,1253070.0,10710000.0
2016-01-22,118000,125000,117600,122400,164197,1310904.0,10710000.0
2016-01-25,124500,130500,122200,129300,181532,1384803.0,10710000.0
2016-01-26,129600,131100,127500,130400,92418,1396584.0,10710000.0
2016-01-27,129800,130300,125600,127100,124890,1361241.0,10710000.0
2016-01-28,127000,131900,125600,129100,89733,1382661.0,10710000.0
2016-01-29,129200,130100,125200,129100,57920,1382661.0,10710000.0
2016-02-01,129200,129300,126300,128500,66148,1376235.0,10710000.0
2016-02-02,128500,128500,125500,125500,55233,1344105.0,10710000.0
2016-02-03,124100,124300,119700,122400,109257,1310904.0,10710000.0
2016-02-04,123000,124400,119700,120300,57497,1288413.0,10710000.0
2016-02-05,119600,123300,114900,123200,118466,1319472.0,10710000.0
2016-02-11,116800,123900,116600,119900,73604,1284129.0,10710000.0
2016-02-12,120100,120100,101000,106100,170366,1136331.0,10710000.0
2016-02-15,106100,107500,100500,104000,93107,1113840.0,10710000.0
2016-02-16,104700,109400,104500,107500,63348,1151325.0,10710000.0
2016-02-17,107500,108000,99300,99700,75263,1067787.0,10710000.0
2016-02-18,101900,102500,100000,101900,48209,1091349.0,10710000.0
2016-02-19,101500,102100,99800,100800,42580,1079568.0,10710000.0
2016-02-22,100500,106100,99400,105700,53581,1132047.0,10710000.0
2016-02-23,107600,107800,102000,103000,42047,1103130.0,10710000.0
2016-02-24,102500,105300,101600,104500,53411,1119195.0,10710000.0
2016-02-25,103700,106200,102400,104500,40279,1119195.0,10710000.0
2016-02-26,106400,110400,104400,108500,61439,1162035.0,10710000.0
2016-02-29,109000,110300,107400,109200,33954,1169532.0,10710000.0
2016-03-02,110800,110800,108300,109500,34071,1172745.0,10710000.0
2016-03-03,108800,113400,108500,112500,69215,1204875.0,10710000.0
2016-03-04,114000,115200,111500,113400,56454,1214514.0,10710000.0
2016-03-07,116400,118800,113300,114200,67328,1223082.0,10710000.0
2016-03-08,114400,115000,110900,113100,32482,1211301.0,10710000.0
2016-03-09,113100,118500,113100,118000,57323,1263780.0,10710000.0
2016-03-10,119500,124400,118400,123900,174355,1326969.0,10710000.0
2016-03-11,124100,130000,122200,128000,199255,1370880.0,10710000.0
2016-03-14,128400,129500,124800,126100,74706,1350531.0,10710000.0
2016-03-15,125300,127400,124700,126100,69992,1350531.0,10710000.0
2016-03-16,127800,130500,122100,126000,94669,1349460.0,10710000.0
2016-03-17,127100,127100,122600,123100,51228,1318401.0,10710000.0
2016-03-18,124000,127000,120000,126000,78689,1349460.0,10710000.0
2016-03-21,127500,127600,125000,127600,73871,1366596.0,10710000.0
2016-03-22,127600,127600,124500,124500,43731,1333395.0,10710000.0
2016-03-23,123600,123800,120000,120300,59631,1288413.0,10710000.0
2016-03-24,120100,121100,118900,120100,39941,1286271.0,10710000.0
2016-03-25,120900,120900,118900,119900,39992,1284129.0,10710000.0
2016-03-28,120000,120800,115100,115100,57239,1232721.0,10710000.0
2016-03-29,117100,120100,115000,120100,64514,1286271.0,10710000.0
2016-03-30,121200,122400,118200,120500,43357,1290555.0,10710000.0
2016-03-31,121400,121800,118600,121100,25526,1296981.0,10710000.0
2016-04-01,121100,121700,119100,119100,34042,1275561.0,10710000.0
2016-04-04,119500,126400,116700,125500,60600,1344105.0,10710000.0
2016-04-05,125500,125800,118700,119200,57383,1276632.0,10710000.0
2016-04-06,118900,118900,114100,116000,90993,1242360.0,10710000.0
2016-04-07,116200,117900,114600,114700,35958,1228437.0,10710000.0
2016-04-08,114400,114500,110300,112200,58010,1201662.0,10710000.0
2016-04-11,110600,116600,110600,113500,61189,1215585.0,10710000.0
2016-04-12,113400,118800,113400,118000,52673,1263780.0,10710000.0
2016-04-14,117600,121000,116900,117800,41613,1261638.0,10710000.0
2016-04-15,120200,122600,118600,119800,38140,1283058.0,10710000.0
2016-04-18,119800,119800,113500,115900,68902,1241289.0,10710000.0
2016-04-19,115700,120500,115000,118700,54443,1271277.0,10710000.0
2016-04-20,118700,121100,116600,118000,35212,1263780.0,10710000.0
2016-04-21,118000,119200,115800,116100,29616,1243431.0,10710000.0
2016-04-22,115900,116100,112400,113500,53586,1215585.0,10710000.0
2016-04-25,114500,114500,107800,107900,91815,1155609.0,10710000.0
2016-04-26,108100,110000,108000,108300,31864,1159893.0,10710000.0
2016-04-27,109000,110200,105400,105900,34705,1134189.0,10710000.0
2016-04-28,106300,109200,105900,108000,21873,1156680.0,10710000.0
2016-04-29,107300,109100,105000,108500,24982,1162035.0,10710000.0
2016-05-02,108300,109500,105400,106100,19940,1136331.0,10710000.0
2016-05-03,106000,111300,105600,111100,30615,1189881.0,10710000.0
2016-05-04,111100,112700,107700,108900,39378,1166319.0,10710000.0
2016-05-09,111100,111100,108200,108800,21059,1165248.0,10710000.0
2016-05-10,108100,111500,106800,110600,45132,1184526.0,10710000.0
2016-05-11,111600,116600,111000,116200,72433,1244502.0,10710000.0
2016-05-12,116200,118200,113600,116900,43733,1251999.0,10710000.0
2016-05-13,116400,123200,116400,119600,116528,1280916.0,10710000.0
2016-05-16,121000,122300,119100,120200,40031,1287342.0,10710000.0
2016-05-17,120900,120900,118800,119400,32759,1278774.0,10710000.0
2016-05-18,118900,119500,115400,115400,36271,1235934.0,10710000.0
2016-05-19,116300,116500,113000,113500,29674,1215585.0,10710000.0
2016-05-20,112600,115800,112200,114000,15628,1220940.0,10710000.0
2016-05-23,115000,116900,114000,115200,26408,1233792.0,10710000.0
2016-05-24,115600,116400,112000,112900,31720,1209159.0,10710000.0
2016-05-25,114100,114800,111700,113500,32340,1215585.0,10710000.0
2016-05-26,113500,117500,112200,116700,50922,1249857.0,10710000.0
2016-05-27,116600,119100,115300,116900,53679,1251999.0,10710000.0
2016-05-30,116500,116800,113500,114100,35728,1222011.0,10710000.0
2016-05-31,114400,115400,112000,115000,80077,1231650.0,10710000.0
2016-06-01,114200,120400,112600,115700,53165,1239147.0,10710000.0
2016-06-02,116500,119900,115400,119600,122579,1280916.0,10710000.0
2016-06-03,122100,124600,120400,120800,203056,1293768.0,10710000.0
2016-06-07,121400,124000,120600,123700,65030,1324827.0,10710000.0
2016-06-08,123900,124900,121700,123600,51894,1323756.0,10710000.0
2016-06-09,123300,123900,116000,119000,106140,1274490.0,10710000.0
2016-06-10,119700,120300,117000,119200,48243,1276632.0,10710000.0
2016-06-13,118800,119000,116000,117400,50167,1257354.0,10710000.0
2016-06-14,118000,119200,116300,118200,53181,1265922.0,10710000.0
2016-06-15,118300,118700,116300,116400,40161,1246644.0,10710000.0
2016-06-16,117100,120500,115200,120000,150229,1285200.0,10710000.0
2016-06-17,121000,122700,115500,116500,171466,1247715.0,10710000.0
2016-06-20,117100,117100,114700,115500,57351,1237005.0,10710000.0
2016-06-21,116800,116800,114300,114700,37246,1228437.0,10710000.0
2016-06-22,115100,117500,115000,117100,43506,1254141.0,10710000.0
2016-06-23,117500,118200,114800,117100,34110,1254141.0,10710000.0
2016-06-24,118900,119200,107900,109300,101629,1170603.0,10710000.0
2016-06-27,105100,109300,103000,105700,97900,1132047.0,10710000.0
2016-06-28,105000,110700,104000,109100,66607,1168461.0,10710000.0
2016-06-29,111200,115500,110000,114400,58418,1225224.0,10710000.0
2016-06-30,115200,120700,115200,117500,106049,1258425.0,10710000.0
2016-07-01,116600,127000,116500,125400,177185,1343034.0,10710000.0
2016-07-04,126900,136600,126900,133400,296659,1428714.0,10710000.0
2016-07-05,135900,140200,134400,136900,152875,1466199.0,10710000.0
2016-07-06,136800,138400,133000,135000,75329,1445850.0,10710000.0
2016-07-07,137000,145000,136600,145000,174833,1552950.0,10710000.0
2016-07-08,147500,148100,139300,144100,119098,1543311.0,10710000.0
2016-07-11,142000,143800,136200,137600,131929,1473696.0,10710000.0
2016-07-12,138000,141400,136800,138500,58114,1483335.0,10710000.0
2016-07-13,140900,142500,139300,141300,53361,1513323.0,10710000.0
2016-07-14,141300,141800,138200,140600,43894,1505826.0,10710000.0
2016-07-15,141600,141600,136500,136600,72967,1462986.0,10710000.0
2016-07-18,135000,137500,134200,137200,40720,1469412.0,10710000.0
2016-07-19,136700,137300,132500,132800,80152,1422288.0,10710000.0
2016-07-20,133400,141400,133000,140600,101754,1505826.0,10710000.0
2016-07-21,143000,146300,138000,142400,105346,1525104.0,10710000.0
2016-07-22,142300,145200,140100,143000,52208,1531530.0,10710000.0
2016-07-25,144500,146400,142800,144400,58022,1546524.0,10710000.0
2016-07-26,143900,144500,139300,143000,94767,1531530.0,10710000.0
2016-07-27,143000,143000,135800,137000,89372,1467270.0,10710000.0
2016-07-28,137100,138600,134700,134800,41648,1443708.0,10710000.0
2016-07-29,134800,138600,134700,137700,23817,1474767.0,10710000.0
2016-08-01,138700,139000,133600,134700,38753,1442637.0,10710000.0
2016-08-02,134100,136600,130500,130900,50497,1401939.0,10710000.0
2016-08-03,130900,137900,129500,136500,37323,1461915.0,10710000.0
2016-08-04,136600,136600,132100,133800,36270,1432998.0,10710000.0
2016-08-05,132300,133300,125900,128600,176152,1377306.0,10710000.0
2016-08-08,127100,130200,125500,129000,50538,1381590.0,10710000.0
2016-08-09,128600,132700,128600,129600,39892,1388016.0,10710000.0
2016-08-10,129800,136400,129100,135600,72961,1452276.0,10710000.0
2016-08-11,135400,135500,129700,131400,81550,1407294.0,10710000.0
2016-08-12,132300,132900,129500,130000,51926,1392300.0,10710000.0
2016-08-16,130000,131600,128300,129100,41931,1382661.0,10710000.0
2016-08-17,129300,131000,127500,127900,41829,1369809.0,10710000.0
2016-08-18,128000,129900,127900,129500,35865,1386945.0,10710000.0
2016-08-19,129900,130500,127300,127500,38769,1365525.0,10710000.0
2016-08-22,127100,127500,121500,121700,72281,1303407.0,10710000.0
